assessment_id,study,outcome,window,comparison,population,d1,d2,d3,d4,d5,overall,provenance,source,human_signoff_date,result_id,d1_rationale,d2_rationale,d3_rationale,d4_rationale,d5_rationale,overall_rationale,reviewer,review_date,effect_of_interest,source_pdf,source_sha256,source_text,result_location
CORRECTED-V34-001,Yang 2020,Time to first postoperative flatus,Time to event,EA + usual care vs usual care,EA 29 / UC 28,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,Corrected RoB 2 Replacement Batch 1,v34 master: Corrected_RoB2 row2,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
CORRECTED-V34-002,Seevaunnamtum 2016,Cumulative IV PCA morphine,0-24 h,EA + standard care vs standard care,32 / 32,Some concerns,Low,Low,Low,Some concerns,Some concerns,Corrected RoB 2 Replacement Batch 1,v34 master: Corrected_RoB2 row3,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
CORRECTED-V34-003,Lin 2002,Cumulative IV PCA morphine delivered,24-h test period,Four-arm: control / sham / low-EA / high-EA,25 per arm,Some concerns,Low,Low,Low,Some concerns,Some concerns,Corrected RoB 2 Replacement Batch 1,v34 master: Corrected_RoB2 row4,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
CORRECTED-V34-004,Yao 2015,Global QoR-40,24 h,TEAS vs no-current control,35 / 36,Low,Some concerns,Low,High,Some concerns,High,Corrected RoB 2 Replacement Batch 2,v34 master: Corrected_RoB2 row5,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
CORRECTED-V34-005,Yu 2020,Global QoR-40,POD1 (~24 h),TEAS vs no-current control,30 / 30,Some concerns,Low,Low,High,Some concerns,High,Corrected RoB 2 Replacement Batch 2,v34 master: Corrected_RoB2 row6,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
CORRECTED-V34-006,Pan 2023,Time to first postoperative flatus,Time to event,TEAS vs no-TEAS control,52 / 53,Some concerns,High,High,Some concerns,Some concerns,High,Corrected RoB 2 Replacement Batch 2,v34 master: Corrected_RoB2 row7,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
CORRECTED-V34-007,Zhu 2022,Postoperative vomiting,6-24 h postoperatively,EA day before surgery vs usual care,Pre 101; usual care 101,Low,Some concerns,Low,Low,Some concerns,Some concerns,De novo source-grounded replacement; four-arm design retained,v34 master: Corrected_RoB2 row8,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
CORRECTED-V34-008,Zhou 2025,Global QoR-15,POD1,PACU TEAS vs sham/no current,48 vs 49,Low,Some concerns,Low,High,Some concerns,High,De novo source-grounded replacement; patient-reported outcome with uncertain sensory masking,v34 master: Corrected_RoB2 row9,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
CORRECTED-V34-009,Zhou 2021,Time to first flatus,Postoperative,Postoperative TEAS + ERAS vs ERAS/usual care,41 vs 40,Some concerns,Some concerns,Low,High,Some concerns,High,De novo source-grounded replacement; open-label/no sham and likely participant-reported GI endpoint,v34 master: Corrected_RoB2 row10,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
CORRECTED-V34-010,Zheng 2025,Any PONV,Within 24 h,Perioperative TEAS vs sham/no current,42 vs 43,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,De novo source-grounded replacement; 3 post-randomization exclusions and uncertain sensory masking,v34 master: Corrected_RoB2 row11,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
