"previous_screening_sequence","previous_covidence_number","next_screening_sequence","next_covidence_number","gap_size","previous_vote_registered","queue_count_changed","next_citation_distinct","visible_citation_bypassed","notes"
"5","6","6","8","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"8","10","9","13","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"11","15","12","18","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"16","22","17","24","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"19","26","20","28","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"35","43","36","45","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"36","45","37","48","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"39","50","40","53","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"40","53","41","55","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"45","59","46","62","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"46","62","47","64","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"48","65","49","67","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"55","73","56","75","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"56","75","57","77","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"66","86","67","88","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"72","93","73","95","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"76","98","77","100","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"84","107","85","109","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
