record_id,comparison_id,study,endpoint_family,outcome,window,time_class,statistic_type,modality,comparator_type,intervention,comparator,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,eligibility,reason,rob2,analysis_population,source,source_location,selected_model,effect,se,measure,effect_note,scale_factor,hedges_g,hedges_se
V33-OD-0271,WU16_TAES_vs_ACTIVE_LOS,Wu 2016,LOS,Hospital length of stay,Postoperative hospitalization,postoperative hospitalization,Mean/SD,MODALITY_REVIEW_REQUIRED,CONTROL_TYPE_REVIEW_REQUIRED,Perioperative true-acupoint TAES (LI4/PC6/SI3/SJ6),Active nonacupoint electrical stimulation (identical 2/100-Hz current),days,27,27,8.7,1.9,11.5,1.6,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1CXkJN0GF45qOQtRcL7EbgmbypBrNnmri/view?usp=drivesdk,Results / hospital stays,,-2.8,0.478036,MD,Native MD; no pooled interpretation without compatible model.,1,-1.571051,0.311332
V33-OD-0272,WU16_TAES_vs_UC_LOS,Wu 2016,LOS,Hospital length of stay,Postoperative hospitalization,postoperative hospitalization,Mean/SD,MODALITY_REVIEW_REQUIRED,CONTROL_TYPE_REVIEW_REQUIRED,Perioperative true-acupoint TAES (LI4/PC6/SI3/SJ6),No-TAES thoracotomy control,days,27,27,8.7,1.9,10.3,1.5,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1CXkJN0GF45qOQtRcL7EbgmbypBrNnmri/view?usp=drivesdk,Results / hospital stays,,-1.6,0.465872,MD,Native MD; no pooled interpretation without compatible model.,1,-0.921183,0.286236
V33-OD-0362,ZHANG18_TEA_vs_SHAM_LOS,Zhang 2018,LOS,Postoperative hospital length of stay,Postoperative,postoperative,Graph-only mean±SE,MODALITY_REVIEW_REQUIRED,CONTROL_TYPE_REVIEW_REQUIRED,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,days,21,21,,,,,,,GRAPH ONLY,No new graph digitization; historical digitized data require their original validation before pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1ZcLvQiw1bigHUYQTjwWPa8f1D2UrkAwl/view?usp=drivesdk,Figure 2b / Results,,,,,,1,,
AUDIT-0094,V34_B1_093,Yang 2020,LOS,Hospital stay,Postoperative hospitalization,postoperative hospitalization,Mean/SD,EA,Usual care,EA group,UC group,days,29.0,28.0,6.1,2.15,6.5,2.05,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Available-case,https://drive.google.com/file/d/1hsQR_K6W-5QNP4rqkVxHQaopRp4f1XF0/view?usp=drivesdk,e920648-6; Table 4,,-0.4,0.556315,MD,Native MD; no pooled interpretation without compatible model.,1,-0.187732,0.26553
AUDIT-0110,V34_B1_109,Pan 2023,LOS,Postoperative hospitalization time,Postoperative hospitalization,postoperative hospitalization,Mean/SD,TEAS,Usual care,Group T — TEAS,Group C — control,days,52.0,53.0,4.1,2.3,4.1,1.5,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Unstated,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,p. 816; Table 9,,0.0,0.379715,MD,Native MD; no pooled interpretation without compatible model.,1,0.0,0.195189
AUDIT-0150,V34_B1_149,Li 2021,LOS,Length of postoperative hospital stay,From date of surgery to discharge,from date of surgery to discharge,Mean/SD,TEAS,Sham,Group T — TEAS,Group S — sham,days,140.0,140.0,6.2,3.3,8.1,3.6,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Unstated,https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,p. 215; Table 6,,-1.9,0.412743,MD,Native MD; no pooled interpretation without compatible model.,1,-0.548719,0.121751
AUDIT-0168,V34_B2_018,Huang 2025,LOS,Hospital length of stay,Postoperative hospitalization,postoperative hospitalization,Mean/SD,EA,Usual care,Postoperative EA + ERAS,ERAS/standard care,days,43.0,45.0,6.1,1.7,6.2,1.3,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Available-case/completer analysis,https://drive.google.com/file/d/1Pds-8nLj18yvRm3C7eQHq5fZ8rRhecQ0/view?usp=drivesdk,p. 2749; Table 4,,-0.1,0.323674,MD,Native MD; no pooled interpretation without compatible model.,1,-0.065704,0.213313
AUDIT-0182,V34_B2_032,Jiang 2026,LOS,Postoperative hospital stay,Postoperative hospitalization,postoperative hospitalization,Median/IQR,TEAS,Sham,Perioperative TEAS,Sham/no-current TEAS,days,294.0,293.0,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,Per-protocol for secondary outcomes,https://drive.google.com/file/d/1nujlP9A_IMWUfd3HdCD2rOxTc9-I8v92/view?usp=drivesdk,PDF p. 5; Table 4,,,,,,1,,
AUDIT-0194,V34_B2_044,Wang 2023,LOS,Postoperative hospitalization,Postoperative hospitalization,postoperative hospitalization,Mean/SD,TEAS,Sham,Nighttime TEAS,Sham/no-current TEAS,days,40.0,43.0,8.6,3.86,8.65,3.47,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Available-case/completer analysis after protocol breaches,https://drive.google.com/file/d/177A4aH42GD90DhsvvtD-VOBSChBBpIWL/view?usp=drivesdk,p. 713; Table 1,,-0.05,0.807781,MD,Native MD; no pooled interpretation without compatible model.,1,-0.013523,0.219675
AUDIT-0307,V34_B3_109,Long 2025,LOS,Hospital stay,Postoperative hospitalization,postoperative hospitalization,Mean/SD,EA,Sham,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),days,27.0,26.0,13.37,3.03,14.77,3.57,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Available-case analysis; source denominator inconsistencies noted,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,"Injury 56 (2025), p. 9; Table 7",,-1.4,0.911165,MD,Native MD; no pooled interpretation without compatible model.,1,-0.417246,0.277743
