study,comparison_id,modality,comparator_text,comparator_category,n_intervention,n_comparator,outcome_reported,time_window,original_unit,reporting_format,value_intervention,variance_intervention,value_comparator,variance_comparator,exact_0_24h,transformation_required,assumptions_required,mme_conversion_factor,mme_factor_source,tier_mme,smd_eligible,eligible_main_S0,reason,v32_primary_eligibility,v32_analysis_readiness,v32_pipeline_inc_primary,v32_pipeline_inc_sens,source_qc_issue,verified_against_pdf,source_url
Seevaunnamtum 2016,SEEVA16_EA_vs_UC,EA,Standard care,3_usual_care,32,32,Cumulative IV PCA morphine requirement,First 24 h postoperatively,mg morphine,Mean/SD,21.38,14.38,33.94,20.24,Yes,unit x 1.0 mg IV MME,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,A,Yes,Yes,"Exact 0-24 h cumulative endpoint, mean/SD, sourced absolute MME conversion.",Yes,INCLUDE,1,0,No allocation-concealment method reported,not individually PDF-verified in this pass,https://drive.google.com/file/d/1OhuqhDUCEmOij7fZFhHHCJNwfQ9xpMzd/view?usp=drivesdk
Chen 1998,CHEN98_NONACU_vs_SHAM,TEAS,Sham ST36 TENS (0 mA),1_sham_placebo,25,25,Cumulative IV PCA hydromorphone,First 24 h postoperatively,mg hydromorphone,Mean/SD,10.5,6.2,10.7,5,Yes,unit x 5.0 mg IV MME,,5.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,A,Yes,Yes,"Exact 0-24 h cumulative endpoint, mean/SD, sourced absolute MME conversion.",Yes,INCLUDE,,,Four-arm RCT; shared sham control must be handled correctly,not individually PDF-verified in this pass,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk
Chen 1998,CHEN98_DERM_vs_SHAM,TEAS,Sham ST36 TENS (0 mA),1_sham_placebo,25,25,Cumulative IV PCA hydromorphone,First 24 h postoperatively,mg hydromorphone,Mean/SD,6.8,4.2,10.7,5,Yes,unit x 5.0 mg IV MME,,5.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,A,Yes,Yes,"Exact 0-24 h cumulative endpoint, mean/SD, sourced absolute MME conversion.",Yes,INCLUDE,,,Four-arm RCT; shared sham control must be handled correctly,not individually PDF-verified in this pass,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk
Chen 1998,CHEN98_ACU_vs_SHAM,TEAS,Sham ST36 TENS (0 mA),1_sham_placebo,25,25,Cumulative IV PCA hydromorphone,First 24 h postoperatively,mg hydromorphone,Mean/SD,6.5,3.5,10.7,5,Yes,unit x 5.0 mg IV MME,,5.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,A,Yes,Yes,"Exact 0-24 h cumulative endpoint, mean/SD, sourced absolute MME conversion.",Yes,INCLUDE,1,0,Four-arm RCT; shared sham control must be handled correctly,not individually PDF-verified in this pass,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk
Chen 2020,CHEN20_TEAS_vs_SHAM,TEAS,Sham low/zero-current protocol,1_sham_placebo,40,40,Cumulative sufentanil,24 h postoperatively,µg sufentanil,Mean/SD,72.43,4.78,100.62,10.2,Yes,unit x 1.0 mg IV MME,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,A,Yes,Yes,"Exact 0-24 h cumulative endpoint, mean/SD, sourced absolute MME conversion.",Yes,INCLUDE,1,0,Sham was 4 mA pre/postoperatively but 0 mA intraoperatively; preserve this nuance,not individually PDF-verified in this pass,https://drive.google.com/file/d/1y0_cC1NCl5g2vYxDMOtYmxVA_YEE-rsR/view?usp=drivesdk
Coura 2011,COURA11_EA_vs_SHAM,EA,Sham stimulation,1_sham_placebo,13,9,Cumulative fentanyl,First 24 h postoperatively,µg/kg fentanyl,Mean/SD,13.1,2.2,16.3,1.6,Yes,ug/kg -> absolute ug would require body weight.,"Body weights not reported; a 70 kg assumption is explicitly prohibited. Additionally the source permitted 'supplementary doses of morphine or fentanyl', so reported fentanyl is not complete opioid exposure.",,weight-normalized unit; absolute dose needs individual body weights,E,"Yes (ug/kg, mean/SD)",No,"Weight-normalized and incomplete-capture; excluded from the absolute-MME primary. Legitimate on the scale-invariant SMD metric, with the incomplete-capture caveat.",Conditional,CONDITIONAL,0,1,10/32 post-randomization exclusions; supplemental morphine/fentanyl inclusion unclear,covidence_819_full_article.pdf: 'Table 2 Fentanyl dosage during first 24 h after operation'; 13.1+/-2.2 vs 16.3+/-1.6 ug/kg; 'supplementary doses of morphine or fentanyl were allowed',https://drive.google.com/file/d/120NJxCmxsdiyqWTXzjmaUWAaVa1i8iZz/view?usp=drivesdk
Ao 2021,AO21_TEAS_vs_SHAM_OPIOID24,TEAS,Sham/no current,1_sham_placebo,32,33,Cumulative postoperative sufentanil,Exact 0-24 h,µg sufentanil,Not reported,,,,,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,PCA followed for 48 h; no extractable cumulative 0-24-h total,not individually PDF-verified in this pass,https://drive.google.com/file/d/1tNFnY0fJpx53hrtY4DIaE1RsNjE55Xvd/view?usp=drivesdk
Zhou 2025,ZHOU25_TEAS_vs_SHAM_OPIOID24,TEAS,Sham/no current,1_sham_placebo,48,49,Exact cumulative postoperative opioid dose,0-24 h,mg/µg,Not reported,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,Standard perioperative sufentanil plus PRN tramadol; exact 0-24-h cumulative dose not reported,not individually PDF-verified in this pass,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk
Zhou 2021,ZHOU21_TEAS_vs_UC_OPIOIDUSE,TEAS,ERAS/usual care,3_usual_care,41,40,Any postoperative opioid use,Postoperative window not clearly defined as 0-24 h,participants,Events/total,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,CONDITIONAL,0,0,Exact postoperative time window is not clearly stated,not individually PDF-verified in this pass,https://drive.google.com/file/d/1PxYyULBv_ZjWeqAm_bNYkDn_j2_lNYLq/view?usp=drivesdk
Zheng 2025,ZHENG25_TEAS_vs_SHAM_OPIOID24,TEAS,Sham/no current,1_sham_placebo,42,43,Exact cumulative postoperative sufentanil mass,0-24 h,µg sufentanil,Not reported,,,,,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,Final PCIA volume/concentration and exact cumulative sufentanil mass are not reported,not individually PDF-verified in this pass,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk
Zhan 2020,ZHAN20_TAPTEAS_vs_TAP_OPIOID24,TEAS,TAP block,9_unclassified,30,30,Actual cumulative postoperative sufentanil consumption,0-24 h,µg sufentanil,Not reported,,,,,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,Only programmed PCIA reservoir/basal settings are reported; actual group-specific delivered opioid is NR,not individually PDF-verified in this pass,https://drive.google.com/file/d/1GYG7JxUOQxbt724-Ng7dWv3sYeC8dDSr/view?usp=drivesdk
Zhang 2025,ZHANG25_TEAS_vs_SHAM_SUFPOD1,TEAS,Sub-sensory sham,1_sham_placebo,45,48,Total sufentanil consumption,POD1; approximately 24 h but exact clock window not explicit,µg sufentanil,Mean/SD,50.53,4.46,53.79,5.14,Conditional,None available. The reported window is not the estimand's window.,"Treating POD 1 as the cumulative first 24 h is unsupported: the source defines 'postoperative days (PODs) 0 (day of surgery), 1, and 2', so POD 1 is a separate calendar day that excludes day-of-surgery consumption and extends past 24 h post-incision by an unknown amount.",1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,E,No (window mismatch),No,"Window mismatch, not a reporting-format problem. Must be removed from ALL 0-24 h analyses including the broader SMD set that currently contains it.",Conditional,CONDITIONAL,0,1,"Endpoint is directly reported as POD1, not explicitly clock-defined 0-24 h; 15/108 excluded after randomization","109551.pdf: 'assessed on postoperative days (PODs) 0 (day of surgery), 1, and 2'; 'total sufentanil consumption ... on POD 1'; Table 50.53+/-4.46 vs 53.79+/-5.14",https://drive.google.com/file/d/1eHx6Hk16vmIfMgoiZ5eNae4zmCR5ktwJ/view?usp=drivesdk
Zhang 2023,ZHANG23_TEAS_vs_SHAM_MME48,TEAS,Sham/no current,1_sham_placebo,922,916,Postoperative IV morphine-equivalent consumption,Within 48 h,mg IV morphine-equivalent,Median/IQR,110,80–110,110,90–110,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — NOT PRIMARY 24H OPIOID,,,Authors converted opioids using ClinCalc; exact 24-h postoperative dose is not reported,not individually PDF-verified in this pass,https://drive.google.com/file/d/1LXNXNhVJaOcYXBODulFUuMD4FQXC5dph/view?usp=drivesdk
Zhang 2023,ZHANG23_TEAS_vs_SHAM_OPIOID24,TEAS,Sham/no current,1_sham_placebo,922,916,Exact cumulative postoperative opioid dose,0-24 h,mg IV morphine-equivalent,Not reported,,,,,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,Only a postoperative 48-h opioid-equivalent endpoint is reported,not individually PDF-verified in this pass,https://drive.google.com/file/d/1LXNXNhVJaOcYXBODulFUuMD4FQXC5dph/view?usp=drivesdk
Zhang 2014,ZHANG14_TEAS_vs_SHAM_OPIOID24,TEAS,Sham/no current,1_sham_placebo,33,32,Exact cumulative postoperative opioid dose,0-24 h,mg/µg,Not reported,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,Study reports intraoperative remifentanil rate but no exact postoperative opioid-consumption total,not individually PDF-verified in this pass,https://drive.google.com/file/d/1lws1zFpIE-wbLY8X9ewYyTuIP-WySa-c/view?usp=drivesdk
Yang 2024,YANG24_EA_vs_UC_MORPH24,EA,Usual care,3_usual_care,90,90,Morphine use via IV PCA,First 24 h / POD1,mg morphine,Mean/SD,43.7,4.7,44,4.9,Yes,unit x 1.0 mg IV MME,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,A,Yes,Yes,"Exact 0-24 h cumulative endpoint, mean/SD, sourced absolute MME conversion.",Yes,INCLUDE,1,0,All 180 randomized participants retained in ITT; open-label patients but objective PCA drug-use record,not individually PDF-verified in this pass,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk
Xiong 2021,XIONG21_TEAS_vs_CTRL_POSTOPMME,TEAS,Dexamethasone + tropisetron,9_unclassified,31,31,Postoperative opioid consumption,Postoperative window unclear,mg morphine-equivalent/kg,Mean/SD,0.6,0.2,0.6,0.1,No,,,,weight-normalized unit; absolute dose needs individual body weights,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — NOT PRIMARY 24H OPIOID,,,Exact postoperative interval is not stated; route terminology in Results is internally inconsistent,not individually PDF-verified in this pass,https://drive.google.com/file/d/1sNaquYeWpsts7_e3XYP9c0CwM-tbQS6T/view?usp=drivesdk
Xiong 2021,XIONG21_TEAS_vs_CTRL_OPIOID24,TEAS,Dexamethasone + tropisetron,9_unclassified,31,31,Exact cumulative postoperative opioid dose,0-24 h,mg morphine-equivalent/kg,Not reported,,,,,No,,,,weight-normalized unit; absolute dose needs individual body weights,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,Published opioid-equivalent result lacks a fixed time window,not individually PDF-verified in this pass,https://drive.google.com/file/d/1sNaquYeWpsts7_e3XYP9c0CwM-tbQS6T/view?usp=drivesdk
