assessment_id,result_id,study,question_id,short_question,answer,justification,domain_judgment
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,1.1,Random sequence?,Y,Computer sequence and nurse-mediated assignment are reported; a tamper-resistant concealment mechanism is not described.,Some concerns
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,1.2,Concealed allocation?,NI,Computer sequence and nurse-mediated assignment are reported; a tamper-resistant concealment mechanism is not described.,Some concerns
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,1.3,Baseline pattern suggests randomization failure?,PN,Computer sequence and nurse-mediated assignment are reported; a tamper-resistant concealment mechanism is not described.,Some concerns
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,2.1,Participant aware?,PY,"Standardized care, masked clinical personnel and all 60 participants analyzed as assigned. No trial-context departures affecting recovery are reported; awareness alone is not such a departure.",Low
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,2.2,Care personnel aware?,PN,"Standardized care, masked clinical personnel and all 60 participants analyzed as assigned. No trial-context departures affecting recovery are reported; awareness alone is not such a departure.",Low
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,2.3,Trial-context deviations?,PN,"Standardized care, masked clinical personnel and all 60 participants analyzed as assigned. No trial-context departures affecting recovery are reported; awareness alone is not such a departure.",Low
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,2.4,Deviations affect outcome?,NA,"Standardized care, masked clinical personnel and all 60 participants analyzed as assigned. No trial-context departures affecting recovery are reported; awareness alone is not such a departure.",Low
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,2.5,Deviations balanced?,NA,"Standardized care, masked clinical personnel and all 60 participants analyzed as assigned. No trial-context departures affecting recovery are reported; awareness alone is not such a departure.",Low
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,2.6,Assignment-effect analysis appropriate?,Y,"Standardized care, masked clinical personnel and all 60 participants analyzed as assigned. No trial-context departures affecting recovery are reported; awareness alone is not such a departure.",Low
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,2.7,Analysis departure materially consequential?,NA,"Standardized care, masked clinical personnel and all 60 participants analyzed as assigned. No trial-context departures affecting recovery are reported; awareness alone is not such a departure.",Low
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,3.1,All or nearly all outcome data?,Y,Complete datasets are explicitly reported for all 60 randomized participants; 30 per arm.,Low
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,3.2,Evidence missingness does not bias result?,NA,Complete datasets are explicitly reported for all 60 randomized participants; 30 per arm.,Low
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,3.3,Missingness could depend on outcome?,NA,Complete datasets are explicitly reported for all 60 randomized participants; 30 per arm.,Low
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,3.4,Such dependence likely?,NA,Complete datasets are explicitly reported for all 60 randomized participants; 30 per arm.,Low
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,4.1,Measurement method inappropriate?,N,Patient-reported QoR-40 with 12-15 mA preanesthetic twitching versus no current. Identical electrodes and a masked interviewer do not demonstrate patient masking; influence on reporting remains possible rather than proven.,Some concerns
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,4.2,Measurement differs between arms?,PN,Patient-reported QoR-40 with 12-15 mA preanesthetic twitching versus no current. Identical electrodes and a masked interviewer do not demonstrate patient masking; influence on reporting remains possible rather than proven.,Some concerns
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,4.3,Outcome assessor aware?,PY,Patient-reported QoR-40 with 12-15 mA preanesthetic twitching versus no current. Identical electrodes and a masked interviewer do not demonstrate patient masking; influence on reporting remains possible rather than proven.,Some concerns
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,4.4,Awareness could influence measurement?,Y,Patient-reported QoR-40 with 12-15 mA preanesthetic twitching versus no current. Identical electrodes and a masked interviewer do not demonstrate patient masking; influence on reporting remains possible rather than proven.,Some concerns
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,4.5,Influence likely?,NI,Patient-reported QoR-40 with 12-15 mA preanesthetic twitching versus no current. Identical electrodes and a masked interviewer do not demonstrate patient masking; influence on reporting remains possible rather than proven.,Some concerns
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,5.1,Prospective analysis plan verified?,NI,"POD1/POD2 global QoR named in methods; no verified prospective analysis plan. Published repeated-measures/adjusted P values are not the unadjusted endpoint contrast used here, and are not substituted for its calculated uncertainty.",Some concerns
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,5.2,Result selected from multiple measurements?,PN,"POD1/POD2 global QoR named in methods; no verified prospective analysis plan. Published repeated-measures/adjusted P values are not the unadjusted endpoint contrast used here, and are not substituted for its calculated uncertainty.",Some concerns
QORLATER-V33-OD-0009-LATER,V33-OD-0009-LATER,Yu 2020,5.3,Result selected from multiple analyses?,PN,"POD1/POD2 global QoR named in methods; no verified prospective analysis plan. Published repeated-measures/adjusted P values are not the unadjusted endpoint contrast used here, and are not substituted for its calculated uncertainty.",Some concerns
QORLATER-V33-OD-0381-LATER,V33-OD-0381-LATER,Liang 2021,1.1,Random sequence?,Y,Independent computer-generated sequence and identical sealed envelopes support probably concealed allocation. No imbalance pattern suggesting failure was identified.,Low
QORLATER-V33-OD-0381-LATER,V33-OD-0381-LATER,Liang 2021,1.2,Concealed allocation?,PY,Independent computer-generated sequence and identical sealed envelopes support probably concealed allocation. No imbalance pattern suggesting failure was identified.,Low
QORLATER-V33-OD-0381-LATER,V33-OD-0381-LATER,Liang 2021,1.3,Baseline pattern suggests randomization failure?,PN,Independent computer-generated sequence and identical sealed envelopes support probably concealed allocation. No imbalance pattern suggesting failure was identified.,Low
QORLATER-V33-OD-0381-LATER,V33-OD-0381-LATER,Liang 2021,2.1,Participant aware?,NI,"Anesthetist and follow-up investigator are masked. Dummy electrodes and patient masking are not established, and five randomized patients are removed. No documented material differential cointervention, but trial-context deviation information is incomplete.",Some concerns
QORLATER-V33-OD-0381-LATER,V33-OD-0381-LATER,Liang 2021,2.2,Care personnel aware?,PN,"Anesthetist and follow-up investigator are masked. Dummy electrodes and patient masking are not established, and five randomized patients are removed. No documented material differential cointervention, but trial-context deviation information is incomplete.",Some concerns
QORLATER-V33-OD-0381-LATER,V33-OD-0381-LATER,Liang 2021,2.3,Trial-context deviations?,NI,"Anesthetist and follow-up investigator are masked. Dummy electrodes and patient masking are not established, and five randomized patients are removed. No documented material differential cointervention, but trial-context deviation information is incomplete.",Some concerns
QORLATER-V33-OD-0381-LATER,V33-OD-0381-LATER,Liang 2021,2.4,Deviations affect outcome?,NI,"Anesthetist and follow-up investigator are masked. Dummy electrodes and patient masking are not established, and five randomized patients are removed. No documented material differential cointervention, but trial-context deviation information is incomplete.",Some concerns
QORLATER-V33-OD-0381-LATER,V33-OD-0381-LATER,Liang 2021,2.5,Deviations balanced?,NI,"Anesthetist and follow-up investigator are masked. Dummy electrodes and patient masking are not established, and five randomized patients are removed. No documented material differential cointervention, but trial-context deviation information is incomplete.",Some concerns
QORLATER-V33-OD-0381-LATER,V33-OD-0381-LATER,Liang 2021,2.6,Assignment-effect analysis appropriate?,PY,"Anesthetist and follow-up investigator are masked. Dummy electrodes and patient masking are not established, and five randomized patients are removed. No documented material differential cointervention, but trial-context deviation information is incomplete.",Some concerns
QORLATER-V33-OD-0381-LATER,V33-OD-0381-LATER,Liang 2021,2.7,Analysis departure materially consequential?,NA,"Anesthetist and follow-up investigator are masked. Dummy electrodes and patient masking are not established, and five randomized patients are removed. No documented material differential cointervention, but trial-context deviation information is incomplete.",Some concerns
QORLATER-V33-OD-0381-LATER,V33-OD-0381-LATER,Liang 2021,3.1,All or nearly all outcome data?,PN,"Flowchart distinguishes 80 screened from 75 randomized (37/38), with 35/35 analyzed. Two procedural/blood-sampling losses and three changed surgeries do not establish ignorable missing QoR outcomes.",Some concerns
QORLATER-V33-OD-0381-LATER,V33-OD-0381-LATER,Liang 2021,3.2,Evidence missingness does not bias result?,NI,"Flowchart distinguishes 80 screened from 75 randomized (37/38), with 35/35 analyzed. Two procedural/blood-sampling losses and three changed surgeries do not establish ignorable missing QoR outcomes.",Some concerns
QORLATER-V33-OD-0381-LATER,V33-OD-0381-LATER,Liang 2021,3.3,Missingness could depend on outcome?,PY,"Flowchart distinguishes 80 screened from 75 randomized (37/38), with 35/35 analyzed. Two procedural/blood-sampling losses and three changed surgeries do not establish ignorable missing QoR outcomes.",Some concerns
QORLATER-V33-OD-0381-LATER,V33-OD-0381-LATER,Liang 2021,3.4,Such dependence likely?,NI,"Flowchart distinguishes 80 screened from 75 randomized (37/38), with 35/35 analyzed. Two procedural/blood-sampling losses and three changed surgeries do not establish ignorable missing QoR outcomes.",Some concerns
QORLATER-V33-OD-0381-LATER,V33-OD-0381-LATER,Liang 2021,4.1,Measurement method inappropriate?,N,"Validated patient-reported QoR-40. No-current usual-care description does not document a credible sham; patient awareness at assessment is unclear. Interviewer masking cannot resolve this, so Some concerns rather than assuming either successful masking or definite influence.",Some concerns
