study_unit,comparison_id,intervention,comparator,outcome,time_window,data_type,n_i,n_c,mean_i,sd_i,median_i,q1_i,q3_i,events_i,mean_c,sd_c,median_c,q1_c,q3_c,events_c,unit,v20_primary_decision,provisional_primary_include,provisional_sensitivity_include,hard_hold,rob_overall,conversion_needed,sensitivity_flag,duplicate_multiarm_handling,source_qc,source_url
Seevaunnamtum 2016,SEEVA16_EA_vs_UC,Intraoperative EA,Standard care,Cumulative IV PCA morphine requirement,First 24 h postoperatively,Mean/SD,32,32,21.38,14.38,,,,,33.94,20.24,,,,,mg morphine,INCLUDE IN PRIMARY,1,0,0,Some concerns,None,,Count this study once per synthesis unless a valid multi-arm method is used.,No allocation-concealment method reported,https://drive.google.com/file/d/1OhuqhDUCEmOij7fZFhHHCJNwfQ9xpMzd/view?usp=drivesdk
Chen 1998,CHEN98_ACU_vs_SHAM,Active ST36 acupoint TENS,Sham ST36 TENS (0 mA),Cumulative IV PCA hydromorphone,First 24 h postoperatively,Mean/SD,25,25,6.5,3.5,,,,,10.7,5,,,,,mg hydromorphone,INCLUDE IN PRIMARY,1,0,0,Some concerns,Opioid/MME conversion required using prespecified review conversion,Four-arm study; alternative active-site contrasts belong in sensitivity/mechanistic analyses.,"Use one Chen 1998 contrast in a simple pairwise meta-analysis, or use a valid multi-arm method.",Four-arm RCT; shared sham control must be handled correctly,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk
Chen 2020,CHEN20_TEAS_vs_SHAM,Perioperative TEAS,Sham low/zero-current protocol,Cumulative sufentanil,24 h postoperatively,Mean/SD,40,40,72.43000000000001,4.78,,,,,100.62,10.2,,,,,µg sufentanil,INCLUDE IN PRIMARY,1,0,0,Some concerns,Opioid/MME conversion required using prespecified review conversion,,Count this study once per synthesis unless a valid multi-arm method is used.,Sham was 4 mA pre/postoperatively but 0 mA intraoperatively; preserve this nuance,https://drive.google.com/file/d/1y0_cC1NCl5g2vYxDMOtYmxVA_YEE-rsR/view?usp=drivesdk
Yang 2024,YANG24_EA_vs_UC_MORPH24,Perioperative EA + usual care,Usual care,Morphine use via IV PCA,First 24 h / POD1,Mean/SD,90,90,43.7,4.7,,,,,44,4.9,,,,,mg morphine,INCLUDE IN PRIMARY,1,0,0,Some concerns,None,,Count this study once per synthesis unless a valid multi-arm method is used.,All 180 randomized participants retained in ITT; open-label patients but objective PCA drug-use record,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk
He 2026 (hepatectomy/JIS),HEJIS26_TEAS_vs_CTRL_MME24,Intraoperative PC6 TEAS,No-current PC6 control,Total postoperative opioid consumption in morphine equivalents,0-24 h,Mean/SD,80,79,20,2.5,,,,,20.6,4.5,,,,,mg MME,INCLUDE IN PRIMARY,1,0,0,Some concerns,None,,Count this study once per synthesis unless a valid multi-arm method is used.,Supplemental eTable 1 directly reports MME; mITT excludes one canceled surgery and one consent withdrawal after randomization,https://drive.google.com/file/d/1VgOxIOrGe7ZVevkKEVP7G-0V1DXPU0Gf/view?usp=drivesdk
El-Rakshy 2009,ELR09_EA_vs_CTRL_MORPH24,Intraoperative EA + PCA,PCA alone/no acupuncture,Total IV morphine analgesia,First 24 h,Mean/SD,42,53,35.3,18,,,,,36.9,18,,,,,mg IV morphine,INCLUDE IN PRIMARY WITH SENSITIVITY EXCLUSION,1,1,0,High,Use native IV morphine; convert to review-standard MME only per prespecified rule,High RoB / denominator inconsistency: rerun meta-analysis excluding this study.,Count this study once per synthesis unless a valid multi-arm method is used.,Publication has irreconcilable allocation/analyzed group labels. Use Table 2 n=42 EA and n=53 control for this result; do not substitute overall study denominators.,https://drive.google.com/file/d/12AfIox-MgnMU15U-mdvZgaTKnukXKvAR/view?usp=drivesdk
Coura 2011,COURA11_EA_vs_SHAM,Preoperative EA,Sham stimulation,Cumulative fentanyl,First 24 h postoperatively,Mean/SD,13,9,13.1,2.2,,,,,16.3,1.6,,,,,µg/kg fentanyl,CONDITIONAL — CONVERSION/ATTRITION,0,1,0,High,Opioid/MME conversion required using prespecified review conversion,High RoB; include only if the protocol prespecifies handling of weight-normalized opioid doses.,Count this study once per synthesis unless a valid multi-arm method is used.,10/32 post-randomization exclusions; supplemental morphine/fentanyl inclusion unclear,https://drive.google.com/file/d/120NJxCmxsdiyqWTXzjmaUWAaVa1i8iZz/view?usp=drivesdk
Zhang 2025,ZHANG25_TEAS_vs_SHAM_SUFPOD1,Perioperative TEAS,Sub-sensory sham,Total sufentanil consumption,POD1; approximately 24 h but exact clock window not explicit,Mean/SD,45,48,50.53,4.46,,,,,53.79,5.14,,,,,µg sufentanil,CONDITIONAL — POD1 ≠ STRICT CLOCK 24H,0,1,0,High,Opioid/MME conversion required using prespecified review conversion,High RoB from post-randomization exclusions; use only if POD1 is accepted as the 24-h window.,Count this study once per synthesis unless a valid multi-arm method is used.,"Endpoint is directly reported as POD1, not explicitly clock-defined 0-24 h; 15/108 excluded after randomization",https://drive.google.com/file/d/1eHx6Hk16vmIfMgoiZ5eNae4zmCR5ktwJ/view?usp=drivesdk
Sim 2002,SIM02_PREOP_vs_PLACEBO_MORPH24,Preoperative EA,Placebo EA,Cumulative postoperative IV PCA morphine,0-24 h,Mean/SD,30,30,.52,.19,,,,,.68,.38,,,,,mg/kg morphine,CONDITIONAL — WEIGHT-NORMALIZED + MULTI-ARM,0,1,0,Some concerns,Weight-normalized endpoint; do not reconstruct absolute dose from group mean weight,Do not reconstruct absolute mg from mean body weight.,Choose a prespecified timing arm or apply a multi-arm model; do not count both active timing arms as separate studies.,Do not convert mg/kg to absolute mg using group mean body weight; aggregate means cannot reconstruct individual absolute dose,https://drive.google.com/file/d/1YsNHL-J3Kgfu8mCanRrNu_bHk_roj0w6/view?usp=drivesdk
Chen 2015,CHEN15Q_TEAS_vs_CTRL_RESCUEMORPH24,Preoperative TEAS,Electrodes/device with no stimulation,Cumulative rescue IV morphine dose derived from fixed 2-mg rescue administrations,0-24 h,Median/IQR,41,42,,,2,2,6,,,,7,4,14,,mg IV morphine,CONDITIONAL — DERIVED MEDIAN/IQR,0,1,0,High,Use native IV morphine; convert to review-standard MME only per prespecified rule,Use only if derived dose endpoints are permitted and median/IQR synthesis is prespecified.,Count this study once per synthesis unless a valid multi-arm method is used.,"Source reports rescue-administration count 1 (1-3) vs 3.5 (2-7); each rescue administration was fixed at morphine 2 mg. Linear conversion to mg is exact, but the source itself reports counts rather than dose.",https://drive.google.com/file/d/1ZtE8GImDcpDJH1tOvzqazoh_S4Gd67oH/view?usp=drivesdk
