IssueID,Studyresult,OriginalP1issue,Dispositionclass,Quantitativeaction,CanStataproceed,Globalfinallockblocker,Remainingsourceauthorneed,Decisionrule,SourceURLs,Dispositionstatus,Notes
P1-01,Yeh 2010 ATHM / Yeh 2011 IJNS,Potential overlapping/companion cohort; identical sham PCA/morphine values and near-identical active/control values.,HARD_HOLD_DEPENDENCY,Exclude both publications from any common pooled model until overlap is adjudicated; keep one unresolved publication-family study unit.,YES — for all other studies; NO — for including either Yeh report,NO,"Confirm whether cohorts overlap wholly/partly. If unresolved, retain both on duplicate-family hold.",Exact identical sham PCA values + near-identical active/control data make independence unsafe.,https://drive.google.com/file/d/1a1s31PQPWGnaVkYUtNUxO22F3QFTcwmi/view ; https://drive.google.com/file/d/1ZJ60ZvJ5Q7sRu1iptK_tLLfBXxZZ_Hwl/view,HARD HOLD,v20/v22 primary opioid sheets already exclude both reports from independent pooling.
P1-02,Liu 2026 burn remifentanil,Abstract medians/IQR differ from main Results/Figure 4.,RESOLVED_BY_SOURCE_HIERARCHY,Use main Results/Figure 4 values: 0.70 (0.50–1.10) vs 0.90 (0.65–1.25) mg; retain abstract discrepancy as QC; sensitivity-only per AF lock.,YES,NO,Author correction desirable but not required for provisional sensitivity analysis.,Main Results/Figure takes precedence over conflicting abstract summary.,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,DISPOSITIONED,
P1-03,Liu 2026 burn rescue dezocine,Same 3/43 vs8/43 counts have P=0.106 in Table 2 vs P=0.430 in prose.,RESOLVED_BY_RAW_DATA_RULE,Use raw events 3/43 vs 8/43 to calculate RR/CI in Stata; do not use either published P value as the meta-analytic effect.,YES,NO,Correct publication P value is useful only for narrative reporting.,Binary meta-analysis is calculated from events/denominators.,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,DISPOSITIONED,
P1-04,Yao 2015,Cumulative rescue count has P=0.004 in Table 3 vs0.04 in prose.,RESOLVED_BY_NATIVE_DATA_RULE,Retain median/IQR rescue-administration counts 1 (1–3) vs 3.5 (2–7.8); do not infer effect from the conflicting P value. Pool only with a prespecified method suitable for non-normal count data.,YES,NO,Correct P value useful for narrative only.,Native distribution data govern extraction; publication P discrepancy does not alter group values.,https://drive.google.com/file/d/1OhcqPgP7chnaiBaZBPBAy4PQlSFMelfh/view?usp=drivesdk,DISPOSITIONED,
P1-05,Zhang 2025,"14/45 vs29/48; endpoint mixes PACU sufentanil and ward indomethacin; printed RR0.70 (0.44–1.10), P=0.005 is incompatible with raw counts.",RESOLVED_BY_EXCLUSION,Exclude from opioid-specific rescue pooling. Retain 14/45 vs 29/48 only in mixed/undefined rescue evidence map; do not use printed RR/CI.,YES,NO,Separate PACU sufentanil and ward indomethacin counts would be needed to reclassify.,Undefined mixed rescue endpoint cannot support an opioid-specific estimand.,https://drive.google.com/file/d/1eHx6Hk16vmIfMgoiZ5eNae4zmCR5ktwJ/view?usp=drivesdk,DISPOSITIONED,
P1-06,Lu 2021,Rescue parecoxib table P=0.35 vs narrative P=0.58.,RESOLVED_BY_RAW_DATA_RULE,For parecoxib rescue use raw counts 4/190 vs 7/188; calculate RR/CI directly. Ignore conflicting publication P=.35/.58 for quantitative synthesis.,YES,NO,Correct source P value optional for narrative.,Binary effect comes from raw event counts.,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,DISPOSITIONED,
P1-07,He 2026 hepatectomy,48-h mean effective deliveries slightly exceed mean attempts in TEAS arm; exact MME totals only in unavailable supplement.,RESOLVED_BY_PARTIAL_EXCLUSION,Use verified 24-h PCA attempts/deliveries only. Exclude unresolved 48-h counter values and unavailable 48-h MME detail until supplement clarification.,YES,NO,eTable 1 / corrected 48-h pump counters if a 48-h PCA analysis is later required.,Outcome/timepoint-specific exclusion does not invalidate the verified 24-h result.,https://drive.google.com/file/d/1VgOxIOrGe7ZVevkKEVP7G-0V1DXPU0Gf/view?usp=drivesdk,DISPOSITIONED,
P1-08,Xie 2014,Published 'up to postoperative48 h' total may include 30-min pre-end-of-surgery sufentanil; 2.25 vs2.5 μg/h infusion conflict.,RESOLVED_BY_SENSITIVITY,Keep total sufentanil only in broader/sensitivity 48-h analysis; exclude from strict postoperative-only 0–48-h primary model.,YES,NO,Author clarification required only to promote Xie into the strict Target-A pool.,Published total may include 30-min pre-end-of-surgery opioid exposure.,https://drive.google.com/file/d/17faY_h0rMJTuhjPOC5PL_S59jYmHDPee/view?usp=drivesdk,DISPOSITIONED,
P1-09,Zhou 2021 gastric,Exact opioid-consumption time window unclear; morphine-equivalent conversion differs between Methods and Table footnote.,RESOLVED_BY_EXCLUSION,Exclude from fixed 24/48/72-h opioid pools. Retain binary opioid-use and author-defined MME only in evidence map/native-scale descriptive analyses.,YES,NO,Exact time window and actual conversion rule required for fixed-window MME synthesis.,Unclear time window + inconsistent MME conversion prevents harmonized fixed-time pooling.,https://drive.google.com/file/d/1PxYyULBv_ZjWeqAm_bNYkDn_j2_lNYLq/view?usp=drivesdk,DISPOSITIONED,
P1-10,Liang 2021 extra analgesia,"3.8(1.9) vs5.0(2.9) has no drug, unit, time window or interpretable metric.",RESOLVED_BY_EXCLUSION,Exclude from quantitative synthesis; retain source text 3.8(1.9) vs 5.0(2.9) as unresolved descriptive result.,YES,NO,"Drug, unit, metric, trigger, and time window required for re-entry.",Undefined metric cannot be converted or classified safely.,https://drive.google.com/file/d/1guriAcqNbJNXpfd_UjYwevULLVSeiHXS/view?usp=drivesdk,DISPOSITIONED,
P1-11,Liang 2021,Printed intraoperative sufentanil 0.1 mg/kg per30 min appears implausible.,RESOLVED_BY_FIELD_EXCLUSION,Do not use the implausibly printed sufentanil dosing statement. The separately verified remifentanil result remains usable in its own sensitivity stratum.,YES,NO,Author correction only if intraoperative sufentanil itself is to be analyzed.,One erroneous/unresolved source field does not invalidate a distinct source-supported remifentanil result.,https://drive.google.com/file/d/1guriAcqNbJNXpfd_UjYwevULLVSeiHXS/view?usp=drivesdk,DISPOSITIONED,
P1-12,Wang 2023 rescue,"Cumulative rescue-dose count reported, but drug, dose and trigger unspecified.",RESOLVED_BY_EXCLUSION,Retain rescue-dose-count result in mixed/undefined evidence map only; do not classify as opioid or non-opioid rescue.,YES,NO,"Rescue drug, dose, route, trigger and prescriber/blinding required for reclassification.",Drug identity is essential to an opioid-specific rescue estimand.,https://drive.google.com/file/d/177A4aH42GD90DhsvvtD-VOBSChBBpIWL/view?usp=drivesdk,DISPOSITIONED,
P1-13,Huang 2024 TKA,Additional PCA-dose unit/drug/concentration not defined; POD2 anchored to first EA rather than surgery.,RESOLVED_BY_EXCLUSION,Keep additional-PCA metric as descriptive native-scale result only; do not convert to opioid dose or assign to surgery-to-24-h pool.,YES,NO,PCA drug/concentration/settings/unit and exact surgery-to-measurement interval.,Undefined PCA physical unit prevents opioid-dose conversion.,https://drive.google.com/file/d/1z-76QoxqmtMRV32wOpem7jAyDnuD6fb8/view?usp=drivesdk,DISPOSITIONED,
P1-14,Zheng 2025,Total/effective PCIA use reported without exact cumulative time window.,RESOLVED_BY_EXCLUSION,Retain PCIA-use counts in evidence map; do not assign to 24-h or 48-h PCA stratum.,YES,NO,Exact cumulative observation window and device-counter definitions.,Time-window uncertainty blocks fixed-time pooling only.,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk,DISPOSITIONED,
P1-15,Ntritsou 2014,"Rescue algorithm reported and significant, but exact group rescue quantities not given.",RESOLVED_BY_NARRATIVE_ONLY,Narrative/supportive rescue evidence only; no quantitative rescue effect because exact group rescue quantities are absent.,YES,NO,Group-level rescue tramadol/morphine counts or doses required for pooling.,Statistical significance alone is not an extractable treatment effect.,https://drive.google.com/file/d/1u_kNuuXF8upB3gJA2aDq8NldYDfhnWy3/view?usp=drivesdk,DISPOSITIONED,
P1-16,Gu 2019,Exact 24-h mixed-PCIA volume is graph-only; text only gives4/8/36 h.,RESOLVED_BY_TIMEPOINT_EXCLUSION,"Use exact text-reported 4-, 8-, and 36-h mixed-PCIA volumes only where relevant; exclude exact 24-h analysis unless a prespecified validated digitization is performed.",YES,NO,Exact 16/24-h numerical values or validated graph digitization for those timepoints.,Do not invent graph-only point estimates.,https://drive.google.com/file/d/1ipQFXfERgAVmgNKMpLkvaaecYJVSTDiw/view?usp=drivesdk,DISPOSITIONED,
P1-17,An 2014,Reported total fentanyl means approach/exceed nominal reservoir implied by weight-based formulation.,RESOLVED_BY_MANDATORY_SENSITIVITY,"Retain source-reported 48-h fentanyl result in Target-A strict dataset, but require a leave-one-study-out/sensitivity model excluding An 2014 because of the reservoir plausibility concern.",YES,NO,Reservoir preparation/accounting clarification would remove the plausibility flag.,Source value is reported and extractable; plausibility uncertainty is handled transparently by sensitivity analysis.,https://drive.google.com/file/d/1Ygu3g28udKuPe0OS95oge2ryIGNeJ0te/view?usp=drivesdk,DISPOSITIONED,
P1-18,Jiang 2026,Anesthesiologist masking and explicit remifentanil titration algorithm not reported; analyzed denominator smaller than randomized.,RESOLVED_BY_STRATIFICATION,Keep as intraoperative opioid exposure only; do not pool with clean protocol-titrated opioid-requirement studies.,YES,NO,Anesthesiologist masking/titration algorithm needed only to promote into titrated-requirement stratum.,Clinician-controlled exposure with incomplete titration reporting is a different estimand/quality stratum.,https://drive.google.com/file/d/1nujlP9A_IMWUfd3HdCD2rOxTc9-I8v92/view?usp=drivesdk,DISPOSITIONED,
