previous_covidence_number,next_covidence_number,missing_number_or_range,screening_sequence,previous_vote_registered,queue_order_confirmed,visible_record_bypassed,status,action_taken,timestamp,notes
"434","437","435-436","18","yes","yes","no","explained_as_queue_number_gap","Continued to the next distinct citation after confirming #434 detached and #437 became first pending.","2026-07-26T10:42:48.911Z","Covidence numbers need not be consecutive; no visible unscreened citation was bypassed."
"446","448","447","28","yes","yes","no","explained_as_queue_number_gap","Continued to distinct #448 after #446 detached.","2026-07-26T10:46:09.820Z","No visible unscreened citation was bypassed."
"449","451","450","30","yes","yes","no","explained_as_queue_number_gap","Continued to distinct #451 after #449 detached.","2026-07-26T10:46:47.411Z","No visible unscreened citation was bypassed."
"462","464","463","42","yes","yes","no","explained_as_queue_number_gap","Continued to distinct #464 after #462 detached.","2026-07-26T10:49:58.131Z","No visible unscreened citation was bypassed."
"470","472","471","49","yes","yes","no","explained_as_queue_number_gap","Continued to distinct #472 after #470 detached.","2026-07-26T10:52:05.748Z","No visible unscreened citation was bypassed."
"473","526","474-525","51","yes","yes","no","explained_as_queue_number_gap","Continued to distinct #526 after #473 detached and the active queue remained ascending.","2026-07-26T10:53:01.580Z","No visible unscreened citation was bypassed; Covidence numbers need not be consecutive."
"534","536","535","60","yes","yes","no","explained_as_queue_number_gap","Continued to distinct #536 after #534 detached.","2026-07-26T10:55:39.830Z","No visible unscreened citation was bypassed."
"537","539","538","62","yes","yes","no","explained_as_queue_number_gap","Continued to distinct #539 after #537 detached.","2026-07-26T10:56:18.171Z","No visible unscreened citation was bypassed."
"546","549","547-548","70","yes","yes","no","explained_as_queue_number_gap","Continued to distinct #549 after #546 detached.","2026-07-26T10:58:35.338Z","No visible unscreened citation was bypassed."
"562","564","563","84","yes","yes","no","explained_as_queue_number_gap","Continued to distinct #564 after #562 detached.","2026-07-26T11:02:47.910Z","No visible unscreened citation was bypassed."
"566","568","567","87","yes","yes","no","explained_as_queue_number_gap","Continued to distinct #568 after #566 detached.","2026-07-26T11:03:48.504Z","No visible unscreened citation was bypassed."
