result_id,outcome,timepoint,contrast,population,n_i,n_c,rob2_assessment_id,linkage_status,overall,d1,d2,d3,d4,d5,selection_rule,alternative_assessments,provenance,human_final_signoff,models
V33-OD-0002,Time to first postoperative flatus,From surgery to first flatus,YANG20_EA_vs_UC,Outcome-specific analyzed population,29.0,28.0,CORRECTED-V34-001,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Some concerns,Low,Some concerns,Some concerns,Exact result applicability manually mapped to latest consolidated corrected record; supersedes legacy selector.,AF26-E-002,v34 master: Corrected_RoB2 row2,NOT INDEPENDENTLY DOCUMENTED,;flatus_EA_usual;flatus_EA_usual_SMD_sensitivity
V33-OD-0003,Cumulative IV PCA morphine requirement,First 24 h postoperatively,SEEVA16_EA_vs_UC,Outcome-specific analyzed population,32.0,32.0,CORRECTED-V34-002,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Some concerns,Low,Low,Low,Some concerns,Exact result applicability manually mapped to latest consolidated corrected record; supersedes legacy selector.,AF26-F-postop-dose-001,v34 master: Corrected_RoB2 row3,NOT INDEPENDENTLY DOCUMENTED,;opioid24_EA_usual;opioid24_EA_usual_without_ElRakshy;opioid24_EA_usual_expanded
V33-OD-0004,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),LIN02_HIGH_vs_CONTROL,Outcome-specific analyzed population,25.0,25.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,;opioid_partial_EA_usual
V33-OD-0005,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),LIN02_LOW_vs_CONTROL,Outcome-specific analyzed population,25.0,25.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,;opioid_partial_EA_usual
V33-OD-0006,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),LIN02_HIGH_vs_SHAM,Outcome-specific analyzed population,25.0,25.0,AF26-F-postop-dose-005,LINKED EXISTING RESULT ASSESSMENT,High,Some concerns,Some concerns,Low,High,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-postop-dose-005,NOT INDEPENDENTLY DOCUMENTED,;opioid_partial_EA_sham
V33-OD-0007,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),LIN02_LOW_vs_SHAM,Outcome-specific analyzed population,25.0,25.0,AF26-F-postop-dose-005,LINKED EXISTING RESULT ASSESSMENT,High,Some concerns,Some concerns,Low,High,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-postop-dose-005,NOT INDEPENDENTLY DOCUMENTED,;opioid_partial_EA_sham
V33-OD-0008,Global QoR-40,24 h postoperatively,YAO15_TEAS_vs_CONTROL,Outcome-specific analyzed population,35.0,36.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0009,Global QoR-40,Postoperative day 1 (~24 h),YU20_TEAS_vs_CONTROL,Outcome-specific analyzed population,30.0,30.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0010,Time to first postoperative flatus,Postoperative recovery endpoint,PAN23_TEAS_vs_CONTROL,Outcome-specific analyzed population,52.0,53.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0011,Cumulative IV PCA hydromorphone,First 24 h postoperatively,CHEN98_NONACU_vs_SHAM,Outcome-specific analyzed population,25.0,25.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0012,Cumulative IV PCA hydromorphone,First 24 h postoperatively,CHEN98_DERM_vs_SHAM,Outcome-specific analyzed population,25.0,25.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0013,Cumulative IV PCA hydromorphone,First 24 h postoperatively,CHEN98_ACU_vs_SHAM,Outcome-specific analyzed population,25.0,25.0,CORRECTED-V34-058,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Some concerns,Some concerns,Low,Low,Some concerns,Exact result applicability manually mapped to latest consolidated corrected record; supersedes legacy selector.,AF26-F-postop-dose-004,v34 master: Corrected_RoB2 row59,NOT INDEPENDENTLY DOCUMENTED,;opioid24_TEAS_sham_expanded_suf0.25;opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020;opioid24_TEAS_sham_expanded_suf0.5;opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020;opioid24_TEAS_sham_expanded_suf1;opioid24_TEAS_sham_expanded_suf1_without_Chen2020
V33-OD-0014,Cumulative sufentanil,24 h postoperatively,CHEN20_TEAS_vs_SHAM,Outcome-specific analyzed population,40.0,40.0,CORRECTED-V34-059,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Low,Low,Low,Some concerns,Exact result applicability manually mapped to latest consolidated corrected record; supersedes legacy selector.,,v34 master: Corrected_RoB2 row60,NOT INDEPENDENTLY DOCUMENTED,;opioid24_TEAS_sham_expanded_suf0.25;opioid24_TEAS_sham_expanded_suf0.5;opioid24_TEAS_sham_expanded_suf1
V33-OD-0015,VAS pain intensity,24 h postoperatively,CHEN20_TEAS_vs_SHAM_VAS,Outcome-specific analyzed population,40.0,40.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,;pain24_unclassified_TEAS_sham
V33-OD-0016,Cumulative fentanyl,First 24 h postoperatively,COURA11_EA_vs_SHAM,Outcome-specific analyzed population,13.0,9.0,CORRECTED-V34-057,LINKED EXISTING RESULT ASSESSMENT,High,Some concerns,Low,High,Low,Some concerns,Exact result applicability manually mapped to latest consolidated corrected record; supersedes legacy selector.,AF26-F-postop-dose-006,v34 master: Corrected_RoB2 row58,NOT INDEPENDENTLY DOCUMENTED,;opioid24_EA_sham_fentanyl_per_kg
V33-OD-0017,VAS pain intensity,24 h postoperatively,AO21_TEAS_vs_SHAM_VAS,Outcome-specific analyzed population,32.0,33.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0018,Cumulative postoperative sufentanil,Exact 0-24 h,AO21_TEAS_vs_SHAM_OPIOID24,Outcome-specific analyzed population,32.0,33.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0019,Postoperative nausea,6-24 h postoperatively,ZHU22_PRE_vs_USUAL_PON,Outcome-specific analyzed population,101.0,101.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,;nausea6to24_EA_usual
V33-OD-0020,Postoperative vomiting,6-24 h postoperatively,ZHU22_PRE_vs_USUAL_POV,Outcome-specific analyzed population,101.0,101.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,;vomiting6to24_EA_usual
V33-OD-0021,Postoperative nausea,6-24 h postoperatively,ZHU22_30_vs_USUAL_PON,Outcome-specific analyzed population,98.0,101.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,;nausea6to24_EA_usual
V33-OD-0022,Postoperative vomiting,6-24 h postoperatively,ZHU22_30_vs_USUAL_POV,Outcome-specific analyzed population,98.0,101.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,;vomiting6to24_EA_usual
V33-OD-0023,Postoperative nausea,6-24 h postoperatively,ZHU22_COMB_vs_USUAL_PON,Outcome-specific analyzed population,100.0,101.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,;nausea6to24_EA_usual
V33-OD-0024,Postoperative vomiting,6-24 h postoperatively,ZHU22_COMB_vs_USUAL_POV,Outcome-specific analyzed population,100.0,101.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,;vomiting6to24_EA_usual
V33-OD-0025,Global QoR-15,POD1,ZHOU25_TEAS_vs_SHAM_QOR15,Outcome-specific analyzed population,48.0,49.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0026,Resting pain VAS,POD1,ZHOU25_TEAS_vs_SHAM_PAINREST,Outcome-specific analyzed population,48.0,49.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0027,PONV incidence,POD1,ZHOU25_TEAS_vs_SHAM_PONV,Outcome-specific analyzed population,48.0,49.0,AF26-D-005,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Low,Low,Some concerns,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_D_ponv.csv#D-005,NOT INDEPENDENTLY DOCUMENTED,;ponv24_TEAS_sham;ponv24_TEAS_sham_point_window_sensitivity;ponv24_TEAS_broad_sham_sensitivity
V33-OD-0028,Time to first flatus,Postoperative,ZHOU25_TEAS_vs_SHAM_FLATUS,Outcome-specific analyzed population,48.0,49.0,AF26-E-001,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Some concerns,Low,Some concerns,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_E_flatus.csv#E-001,NOT INDEPENDENTLY DOCUMENTED,;flatus_TEAS_sham;flatus_TEAS_sham_SMD_sensitivity;flatus_TEAS_sham_without_Zheng2025
V33-OD-0029,Any rescue analgesia,POD1-POD3,ZHOU25_TEAS_vs_SHAM_RESCUE,Outcome-specific analyzed population,48.0,49.0,AF26-F-rescue-opioid-009,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Low,Low,Some concerns,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-rescue-opioid-009,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0030,Exact cumulative postoperative opioid dose,0-24 h,ZHOU25_TEAS_vs_SHAM_OPIOID24,Outcome-specific analyzed population,48.0,49.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0031,Average postoperative pain,POD1-POD5 average,ZHOU21_TEAS_vs_UC_PAIN,Outcome-specific analyzed population,41.0,40.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0032,Any postoperative opioid use,Postoperative window not clearly defined as 0-24 h,ZHOU21_TEAS_vs_UC_OPIOIDUSE,Outcome-specific analyzed population,41.0,40.0,AF26-F-mixed/undefined-007,LINKED EXISTING RESULT ASSESSMENT,High,Some concerns,Some concerns,Low,High,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-mixed/undefined-007,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0033,Any PONV,Within 24 h postoperatively,ZHENG25_TEAS_vs_SHAM_PONV,Outcome-specific analyzed population,42.0,43.0,CORRECTED-V34-010,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Some concerns,Low,Some concerns,Some concerns,Exact result applicability manually mapped to latest consolidated corrected record; supersedes legacy selector.,AF26-D-001,v34 master: Corrected_RoB2 row11,NOT INDEPENDENTLY DOCUMENTED,;ponv24_TEAS_sham;ponv24_TEAS_sham_point_window_sensitivity;ponv24_TEAS_broad_sham_sensitivity
V33-OD-0034,Total intraoperative remifentanil consumption,Intraoperative,ZHENG25_TEAS_vs_SHAM_REMI,Outcome-specific analyzed population,42.0,43.0,AF26-F-intra-009,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Some concerns,Low,Low,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-intra-009,NOT INDEPENDENTLY DOCUMENTED,;intraop_remifentanil_TEAS_sham
V33-OD-0035,Total PCIA button presses,Postoperative; exact pump duration NR,ZHENG25_TEAS_vs_SHAM_PCA_PRESS,Outcome-specific analyzed population,42.0,43.0,AF26-F-PCA-006,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Some concerns,Low,Low,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-PCA-006,NOT INDEPENDENTLY DOCUMENTED,
