record_id,comparison_id,study,endpoint_family,outcome,window,time_class,statistic_type,modality,comparator_type,intervention,comparator,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,eligibility,reason,rob2,analysis_population,source,source_location,selected_model,effect,se,measure,effect_note,scale_factor,hedges_g,hedges_se
V33-OD-0002,YANG20_EA_vs_UC,Yang 2020,GI — first flatus,Time to first postoperative flatus,From surgery to first flatus,from surgery to first flatus,Mean/SD,EA,Usual care,EA + usual care,Usual care,hours,29,28,20.8,4.6,24.1,6.2,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1hsQR_K6W-5QNP4rqkVxHQaopRp4f1XF0/view?usp=drivesdk,GI recovery results/table,,-3.3,1.450004,MD,Native MD; no pooled interpretation without compatible model.,1,-0.59781,0.270799
V33-OD-0010,PAN23_TEAS_vs_CONTROL,Pan 2023,GI — first flatus,Time to first postoperative flatus,Postoperative recovery endpoint,postoperative recovery endpoint,Median/IQR,TEAS,Usual care,TEAS,Control/usual care,minutes,52,53,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,Postoperative recovery table,,,,,,1,,
V33-OD-0028,ZHOU25_TEAS_vs_SHAM_FLATUS,Zhou 2025,GI — first flatus,Time to first flatus,Postoperative,postoperative,Mean/SD,TEAS,Sham,PACU TEAS,Sham/no current,hours,48,49,14.1,3.19,15.88,3.78,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,Postoperative recovery-time table,,-1.78,0.709649,MD,Native MD; no pooled interpretation without compatible model.,1,-0.504466,0.206284
V33-OD-0053,YANG24_EA_vs_UC_FLATUS,Yang 2024,GI — first flatus,Time to first flatus,Postoperative,postoperative,Mean/SD,EA,Usual care,Perioperative EA + usual care,Usual care,hours,90,90,15.4,3.2,17,3.7,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,Table 2 / primary first-flatus outcome,,-1.6,0.515644,MD,Native MD; no pooled interpretation without compatible model.,1,-0.460604,0.151035
V33-OD-0054,YANG24_EA_vs_UC_DEFEC,Yang 2024,GI — first defecation,Time to first defecation,Postoperative,postoperative,Mean/SD,EA,Usual care,Perioperative EA + usual care,Usual care,hours,90,90,75.9,7.9,79.7,8.1,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,Table 2 / primary first-defecation outcome,gi_first_defecation,-3.8,1.192663,MD,Native MD; no pooled interpretation without compatible model.,1,-0.472959,0.151141
V33-OD-0062,XING22_NTG_vs_NG_FLATUS,Xing 2022,GI — first flatus,Time to first flatus,Postoperative,postoperative,Mean/SD,TEAS,Sham,TEAS + active TAPB,Sham TEAS + active TAPB,hours,29,29,32.57,6.94,36.83,6.19,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,Postoperative recovery results,,-4.26,1.726864,MD,Native MD; no pooled interpretation without compatible model.,1,-0.639124,0.269234
V33-OD-0082,WANG23_TEAS_vs_SHAM_FLATUS,Wang 2023,GI — first flatus,Time to first flatus,Postoperative,postoperative,Mean/SD,TEAS,Sham,Nighttime TEAS,Sham/no current,hours,40,43,54.57,16.62,60.7,19.1,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/177A4aH42GD90DhsvvtD-VOBSChBBpIWL/view?usp=drivesdk,Table 1 / postoperative first flatus,,-6.13,3.922953,MD,Native MD; no pooled interpretation without compatible model.,1,-0.338356,0.221236
V33-OD-0115,NG13_EA_vs_SHAM_BOWEL,Ng 2013,GI — first defecation,Time to first bowel motion / defecation,Postoperative,postoperative,Mean/SD,EA,Sham,Electroacupuncture,Sham acupuncture,hours,55,55,85.9,36.1,107.5,46.2,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1R1zCiyfWvuSp99Hi2U_K1__8kgdi90gd/view?usp=drivesdk,Primary outcome / first bowel motion,gi_first_defecation,-21.6,7.905867,MD,Native MD; no pooled interpretation without compatible model.,1,-0.517374,0.193857
V33-OD-0116,NG13_EA_vs_NOACU_BOWEL,Ng 2013,GI — first defecation,Time to first bowel motion / defecation,Postoperative,postoperative,Mean/SD,EA,Usual care,Electroacupuncture,No acupuncture,hours,55,55,85.9,36.1,122.1,53.5,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1R1zCiyfWvuSp99Hi2U_K1__8kgdi90gd/view?usp=drivesdk,Primary outcome / first bowel motion,,-36.2,8.702622,MD,Native MD; no pooled interpretation without compatible model.,1,-0.787696,0.197949
V33-OD-0117,NG13_EA_vs_SHAM_FLATUS,Ng 2013,GI — first flatus,Time to first flatus,Postoperative,postoperative,Mean/SD,EA,Sham,Electroacupuncture,Sham acupuncture,days,55,55,2,0.9,2.3,1.1,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1R1zCiyfWvuSp99Hi2U_K1__8kgdi90gd/view?usp=drivesdk,Secondary outcome / first flatus,,-0.3,0.191644,MD,Native MD; no pooled interpretation without compatible model.,1,-0.296433,0.191737
