screening_sequence,covidence_number,title,decision,uncertainty_reason,general_anaesthesia,timing_eligible,intervention_effect_separable,comparator,evidence_summary,notes
11,83,Efficacy of preoperative transcutaneous electrical acupoint stimulation in reducing postoperative delirium in older adults undergoing orthopedic surgery: a randomized controlled trial.,INCLUDE,Mixed anaesthetic techniques were used and outcomes were not reported separately by general-anaesthesia subgroup.,mixed; some participants received spinal anaesthesia,yes,yes,Visually identical modified device with no current on same schedule,"Randomized therapeutic TEAS trial with eligible clinical outcomes; retained because some patients clearly underwent GA, but mixed spinal/GA outcome separability is unresolved and was flagged for human review rather than used for exclusion.",Sensitivity-first retention under the protocol; requires adjudication of mixed-anaesthesia eligibility.
19,137,Randomized Trial on Electroacupuncture for Recovery of Postoperative Gastrointestinal Function Based on Long-Term Monitoring Device.,INCLUDE,General anaesthesia was not explicitly stated and airway/anaesthetic technique was not described; laparoscopic radical gastrectomy strongly suggests GA but is not sufficient for definitive classification without human adjudication.,unclear,yes,yes,Same needle procedure and electrodes with no current,"Randomized adult operative EA trial with eligible timing, comparator and clinical GI outcomes; retained with human-review flag because the full text does not explicitly establish general anaesthesia.",Sensitivity-first retention; NEEDS_HUMAN_REVIEW — anaesthesia type not explicitly reported.
23,176,"A Randomized Controlled Trial Assessing the Impact of Transcutaneous Electrical Acupoint Stimulation on Gastrointestinal Motility, Nutritional Status, and Immune Function in Patients Following Cerebrovascular Accident Surgery.",INCLUDE,"General anaesthesia was not explicitly reported, and TEAS timing was stated as within 24-48 h after cerebrovascular onset or before enteral feeding rather than relative to surgery; neither criterion could be definitively excluded.",unclear,unclear,yes,Same acupoint electrodes and duration as sham TEAS plus identical nutritional/ICU care,Randomized adult postoperative TEAS trial with separable sham comparison and eligible GI/ICU outcomes; retained with human-review flags because both GA and surgery-relative first-treatment timing remain unresolved.,Sensitivity-first retention; NEEDS_HUMAN_REVIEW — anaesthesia type and surgery-relative timing unreported.
36,351,"Effect of acupuncture on postoperative ileus after laparoscopic elective colorectal surgery: A prospective, randomised, controlled trial.",INCLUDE,"The full report does not explicitly identify the anaesthetic technique; it excludes patients receiving epidural anaesthesia, but laparoscopic colorectal surgery alone is insufficient to establish general anaesthesia.",unclear,yes,yes,Standardized postoperative ERAS care without EA or other bowel-motility intervention,"Randomized adult postoperative EA trial with eligible surgery, stimulation, comparator and clinical outcomes; retained sensitivity-first with human-review flag because general anaesthesia is not positively established.",NEEDS_HUMAN_REVIEW — anaesthesia type not explicitly reported; no inference made solely from laparoscopic colorectal surgery.
47,542,Electroacupuncture Improves Cerebral Vasospasm and Functional Outcome of Patients With Aneurysmal Subarachnoid Hemorrhage.,INCLUDE,The report includes both endovascular coiling and surgical clipping but never states the anaesthetic technique or provides outcome data separable by anaesthesia type; general anaesthesia therefore cannot be established.,unclear,yes,yes,Standard medical treatment without EA; abstract describes mock transcutaneous stimulation but Methods states no EA treatment,"Randomized postoperative EA trial after operative aneurysm treatment with eligible stimulation, comparator and functional outcome; retained sensitivity-first with human-review flag because general anaesthesia and subgroup separability are not established.",NEEDS_HUMAN_REVIEW — anaesthesia type not explicitly reported; no subgroup information invented.
50,426,Perioperative Electroacupuncture Can Accelerate the Recovery of Gastrointestinal Function in Cancer Patients Undergoing Pancreatectomy or Gastrectomy: A Randomized Controlled Trial.,INCLUDE,The complete full report does not explicitly state the anaesthetic technique or airway management; general anaesthesia cannot be inferred solely from pancreatectomy or gastrectomy.,unclear,yes,yes,Nonpenetrating blunt placebo needles with internally disconnected wire/no current on the same schedule,Randomized adult cancer-surgery needle-EA trial with credible nonpenetrating/no-current sham and clinical gastrointestinal recovery outcomes; retained sensitivity-first with human-review flag because general anaesthesia is unreported.,"NEEDS_HUMAN_REVIEW — anaesthesia type not explicitly reported; no inference made solely from pancreatectomy/gastrectomy. #1920 had been fully reviewed as a possible final decision but was no longer present in the Covidence vote-required queue, so no decision was cast for it."
55,311,Electroacupuncture Before Gastrectomy Accelerates Recovery from Gastrointestinal Dysfunction: A Feasibility Study.,INCLUDE,"UNCERTAIN_GENERAL_ANAESTHESIA: operative gastrectomy is clear, but the full report does not explicitly establish the anaesthetic technique sufficiently for unflagged inclusion.",unclear,yes,yes,Control/sham comparison described in Methods,Randomized adult operative preoperative-EA report with separable comparator and clinical postoperative outcomes; retained sensitivity-first with human review because GA is unresolved.,NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA.
56,333,"Electroacupuncture vs Sham Electroacupuncture in the Treatment of Postoperative Ileus After Laparoscopic Surgery for Colorectal Cancer: A Multicenter, Randomized Clinical Trial.",INCLUDE,"UNCERTAIN_TIMING: the first treatment is reported as postoperative day 1, which does not by itself establish whether it began within or beyond 24 hours.",yes,uncertain,yes,Sham electroacupuncture,Eligible randomized adult operative EA-versus-sham trial with clinical postoperative gastrointestinal outcomes; retained and flagged because postoperative day 1 does not establish the exact <=24-hour start.,NEEDS_HUMAN_REVIEW - UNCERTAIN_TIMING under the explicit postoperative-day-1 rule.
61,527,Effect of transcutaneous electrical acupoint stimulation on the EC50 of remifentanil suppressing responses to tracheal extubation in elderly patients.,INCLUDE,UNCERTAIN_OUTCOME_SCOPE: the principal endpoint concerns anaesthetic requirement and extubation response; clinical outcome scope warrants adjudication under the induction/extubation rule.,yes,yes,yes,Inactive control with balanced anaesthetic management,"Randomized adult operative TEAS report with eligible perioperative timing, separable comparison and clinical outcomes; retained sensitivity-first with the stated human-review uncertainty",NEEDS_HUMAN_REVIEW - UNCERTAIN_OUTCOME_SCOPE: the principal endpoint concerns anaesthetic requirement and extubation response; clinical outcome scope warrants adjudication under the induction/extubation rule.
62,557,Effects of transcutaneous acupoint electrical stimulation combined with low-dose sufentanil pretreatment on the incidence and severity of etomidate-induced myoclonus: A randomized controlled trial.,INCLUDE,UNCERTAIN_OUTCOME_SCOPE: etomidate-induced myoclonus is a clinical induction-phase adverse effect retained under the special outcome rule.,yes,yes,yes,Control arms permit an independently extractable TEAS effect,"Randomized adult operative TEAS report with eligible perioperative timing, separable comparison and clinical outcomes; retained sensitivity-first with the stated human-review uncertainty",NEEDS_HUMAN_REVIEW - UNCERTAIN_OUTCOME_SCOPE: etomidate-induced myoclonus is a clinical induction-phase adverse effect retained under the special outcome rule.
73,775,Electroacupuncture reduces duration of postoperative ileus after laparoscopic surgery for colorectal cancer.,INCLUDE,"UNCERTAIN_TIMING: the first session was on postoperative day 1, which does not establish whether treatment began within or beyond 24 hours.",yes,uncertain,yes,Sham acupuncture and no-acupuncture arms,Randomized adult colorectal-surgery EA trial under general anaesthesia with separable sham/no-acupuncture comparators and clinical recovery outcomes; retained and flagged because postoperative day 1 does not resolve the <=24-hour timing threshold.,NEEDS_HUMAN_REVIEW - UNCERTAIN_TIMING. Possible companion reports are recorded but not merged.
78,433,Effects of Transcutaneous Electrical Acupoint Stimulation (TEAS) on Postoperative Recovery in Patients with Gastric Cancer: A Randomized Controlled Trial.,INCLUDE,"UNCERTAIN_TIMING: the first treatment was at 08:00 on postoperative day 1, but the report does not establish whether this was within or beyond 24 hours of surgery.",yes,uncertain,yes,Same ERAS pathway without TEAS,Randomized adult gastrectomy trial under general anaesthesia with separable therapeutic TEAS and eligible clinical outcomes; retained and flagged because POD1 treatment timing does not resolve the <=24-hour threshold.,NEEDS_HUMAN_REVIEW - UNCERTAIN_TIMING. Exact duplicate #1141 should not be screened independently.
80,765,The Effect of Acupuncture on Relieving Pain after Inguinal Surgeries.,INCLUDE,OTHER_SPECIFIED_UNCERTAINTY: the enrolled population ranged from age 12 to 55 and adult results were not separately extractable; the protocol directs retention and human review for mixed adult/pediatric samples.,yes,yes,yes,Needles placed identically without electrical stimulation,"Randomized inguinal-surgery EA trial under explicit general anaesthesia with eligible preoperative electrical needle stimulation, inactive-current control and pain/opioid outcomes; retained and flagged because mixed adult/pediatric results are not separable.",NEEDS_HUMAN_REVIEW - mixed adult/pediatric population. Exact duplicate #1556 should not be screened independently.
81,812,Needle-Free Electroacupuncture for Postoperative Pain Management.,INCLUDE,OTHER_SPECIFIED_UNCERTAINTY: participants ranged from age 14 to 59 and adult results were not separately extractable; the protocol directs retention and human review for mixed adult/pediatric samples.,yes,yes,yes,No stimulation and sham surface electrodes at a nearby non-acupoint,"Randomized hysterectomy trial under explicit general anaesthesia with eligible preoperative therapeutic surface electrical acupoint stimulation, separable controls and 24-hour pain/opioid outcomes; retained and flagged because mixed adult/pediatric results are not separable.",NEEDS_HUMAN_REVIEW - mixed adult/pediatric population.
83,326,Efficacy of electroacupuncture combined with intravenous patient-controlled analgesia after cesarean delivery: a randomized clinical trial.,INCLUDE,UNCERTAIN_GENERAL_ANAESTHESIA: the full report describes cesarean delivery and postoperative PCIA but does not positively state the intraoperative anaesthesia type or provide a GA airway/regimen; GA cannot be inferred from surgery type.,uncertain,yes,yes,"Sham needles 20 mm from ST36/SP6 at <3 mm depth with no skin penetration, electricity or de qi","Randomized adult cesarean EA trial with eligible <=24-hour timing, separable sham and pain/opioid outcomes; retained and flagged because the full report does not establish whether general anaesthesia was used.",NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA.
85,3715,TRANSCUTANEOUS ELECTRICAL ACUSTIMULATION ENHANCES POSTOPERATIVE RECOVERY AFTER OPEN APPENDECTOMY.,INCLUDE,"UNCERTAIN_GENERAL_ANAESTHESIA; OTHER_SPECIFIED_UNCERTAINTY: this results-bearing conference report does not state anaesthesia type or participant ages, so adult-only enrollment and GA remain unresolved.",uncertain,yes,yes; randomized arms differ in TEA timing/site,Same electrical stimulation at non-acupoints; an intraoperative-only TEA arm was also separable,"Results-bearing randomized conference report with operative surgery, therapeutic needleless ST36 stimulation beginning intraoperatively, separable sham and clinical recovery outcomes; retained and flagged because adult-only enrollment and general anaesthesia are unresolved.",NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA and unreported adult-only population.
86,3157,EFFECTS AND MECHANISMS OF TRANSCUTANEOUS ELECTRICAL ACUSTIMULATION ON POSTOPERATIVE RECOVERY AFTER THORACOLUMBER VERTEBRAL FRACTURE.,INCLUDE,"UNCERTAIN_GENERAL_ANAESTHESIA; OTHER_SPECIFIED_UNCERTAINTY: this results-bearing conference report does not state anaesthesia type or participant ages, leaving adult-only enrollment and GA unresolved.",uncertain,yes,yes,Sham TEA at non-acupoints,"Results-bearing randomized surgical conference report with therapeutic ST36 stimulation beginning preoperatively, non-acupoint sham and clinical bowel-recovery/pain outcomes; retained and flagged because adult-only enrollment and general anaesthesia are unresolved.",NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA and unreported adult-only population.
87,3795,Needleless transcutaneous electrical acustimulation accelerates post-surgical recovery mediated via autonomic mechanisms in patients with gastrointestinal cancers.,INCLUDE,UNCERTAIN_GENERAL_ANAESTHESIA; UNCERTAIN_TIMING: anaesthesia type is not stated and the first TEA session was on postoperative day 1 without a clock time.,uncertain,uncertain,yes,Identical stimulation protocol at non-acupoints,"Results-bearing randomized adult surgical conference report with therapeutic ST36/PC6 electrical acustimulation, non-acupoint sham and clinical recovery/pain outcomes; retained and flagged because GA and <=24-hour POD1 timing are unresolved.",NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA and UNCERTAIN_TIMING; possible companion publication.
88,3690,Needleless transcutaneous electrical acustimulation: A pilot study evaluating improvement in post-operative recovery.,INCLUDE,UNCERTAIN_GENERAL_ANAESTHESIA; UNCERTAIN_TIMING: anaesthesia type is not stated and the first TEA session was on postoperative day 1 without a clock time.,uncertain,uncertain,yes,Sham TEA at non-acupoints,"Results-bearing randomized adult surgical conference report with therapeutic ST36/PC6 electrical acustimulation, non-acupoint sham and clinical recovery/pain outcomes; retained and flagged because GA and <=24-hour POD1 timing are unresolved.",NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA and UNCERTAIN_TIMING; possible companion publication.
94,4322,Electroacupuncture for postoperative ileus after laparoscopic colorectal surgery: An interim analysis of a randomized sham-controlled study.,INCLUDE,"UNCERTAIN_GENERAL_ANAESTHESIA; UNCERTAIN_TIMING; OTHER_SPECIFIED_UNCERTAINTY: the conference report does not state anaesthesia type, exact POD1 treatment clock time, or participant ages.",uncertain in this report,uncertain,yes,Sham acupuncture and no-acupuncture arms,"Results-bearing randomized interim report with operative colorectal surgery, inserted-needle EA, separable sham/no-acupuncture controls and clinical recovery outcomes; retained and flagged because adult-only enrollment, GA and <=24-hour POD1 timing are unresolved in this report.","NEEDS_HUMAN_REVIEW; possible companion publication, not merged."
95,2426,ELECTROACUPUNCTURE COMBINED WITH FAST-TRACK PERIOPERATIVE PROGRAM FOR REDUCING DURATION OF POSTOPERATIVE ILEUS AND HOSPITAL STAY AFTER LAPAROSCOPIC COLORECTAL SURGERY: a RANDOMIZED CONTROLLED TRIAL.,INCLUDE,"UNCERTAIN_GENERAL_ANAESTHESIA; UNCERTAIN_TIMING; OTHER_SPECIFIED_UNCERTAINTY: the results-bearing conference report does not state participant ages, anaesthesia type, or the first EA session timing/details.",uncertain,uncertain,yes,Identical fast-track programme without EA,"Results-bearing randomized surgical conference report with a separable EA addition to shared fast-track care and clinical recovery outcomes; retained and flagged because adult-only enrollment, GA, intervention detail and <=24-hour timing are unresolved.","NEEDS_HUMAN_REVIEW; possible companion publication, not merged."
