screening_sequence,covidence_number,title,first_author,publication_year,publication_language,abstract_available_yes_no,decision_yes_maybe_no,primary_reason_code,evidence_supporting_decision,concise_private_rationale,confidence_high_medium_low,protocol_or_results,general_anaesthesia_yes_no_unclear,randomized_yes_no_unclear,active_comparator_type,common_background_care_balanced_yes_no_unclear,ERAS_identical_between_groups_yes_no_not_applicable_unclear,intervention_effect_separable_yes_no_unclear,timing_eligible_yes_no_unclear,clinical_outcome_reported_yes_no_unclear,surrogate_only_yes_no_unclear,translation_required_yes_no,possible_companion_report_yes_no,post_vote_timestamp,interface_issue,notes
1,197,"Clinical Efficacy of Electroacupuncture at Sacral Four Points Combined with Moxibustion at Abdominal Three Points for Treating Post-Stroke Urinary Incontinence: Observations on Urodynamics, Quality of Life, and Safety.",Yi,2024,uncertain,yes,No,EXCLUDE_NON_SURGICAL,Post-stroke urinary incontinence is treated outside an operative perioperative episode.,Chronic non-operative post-stroke treatment is outside the review population.,high,results,no,unclear,electroacupuncture versus electroacupuncture plus moxibustion,no,not_applicable,no,no,yes,no,no,no,2026-07-23T12:55:40.125Z,,
2,199,Integrative Effects of Transcutaneous Electrical Acustimulation and Autonomic-Endocrine Mechanisms on Postprocedural Recovery in Patients With Endoscopic Retrograde Cholangio-Pancreatography.,Shen,2024,English,yes,No,EXCLUDE_NON_SURGICAL,"The study concerns ERCP, an endoscopic percutaneous procedure rather than operative surgery.",ERCP is outside the operative-surgery population despite eligible TEA terminology and randomization.,high,results,unclear,yes,sham transcutaneous electrical acustimulation,yes,not_applicable,yes,yes,yes,no,no,no,2026-07-23T12:56:19.272Z,,
3,200,Lateral quadratus lumborum block vs acupuncture for postcesarean analgesia: a randomized clinical trial.,Qin,2024,English,yes,No,EXCLUDE_NO_GENERAL_ANAESTHESIA,Cesarean delivery was explicitly performed under spinal-epidural anaesthesia.,The operation used neuraxial anaesthesia without general anaesthesia.,high,results,no,yes,lateral quadratus lumborum block,no,not_applicable,no,yes,yes,no,no,no,2026-07-23T12:56:55.988Z,,
4,201,[Mechanism of electroacupuncture for vascular dementia based on proteomics].,Chen,2024,Chinese,yes,No,EXCLUDE_ANIMAL,The experiment was conducted in male SD rats with an induced vascular-dementia model.,Non-human study.,high,results,unclear,unclear,model control,yes,not_applicable,yes,unclear,no,yes,yes,no,2026-07-23T12:57:31.840Z,,
5,202,Clinical Study on Low-Frequency Electrical Pulse Acupoint Stimulation Combined with Pelvic Floor Muscle Exercise in the Treatment of Urinary Incontinence after Radical Prostatectomy.,Huang,2024,uncertain,yes,No,EXCLUDE_NON_RANDOMIZED,The abstract explicitly reports retrospective clinical-data analysis with groups defined by treatment period.,Retrospective observational comparison rather than randomized allocation.,high,results,unclear,no,pelvic floor muscle exercise alone,yes,not_applicable,yes,unclear,yes,no,no,no,2026-07-23T12:58:09.064Z,,
6,203,Perioperative Transcutaneous Electrical Acupoint Stimulation Reduces Postoperative Pain in Patients Undergoing Thoracoscopic Surgery: A Randomized Controlled Trial.,Liu,2024,English,yes,Yes,INCLUDE_CLEAR,Randomized VATS trial compares perioperative TEAS at PC6 and LI4 with identical electrode placement without stimulation and reports clinical recovery outcomes.,Eligible perioperative TEAS with a separable inactive-stimulation control; general anaesthesia is highly evident from VATS and anaesthetic methods.,high,results,yes,yes,inactive electrode sham,yes,not_applicable,yes,yes,yes,no,no,no,2026-07-23T12:58:48.239Z,,
7,204,The use of transcutaneous electrical acupoint stimulation to reduce opioid consumption in patients undergoing off-pump CABG: a randomized controlled trial.,Zhang,2024,English,yes,Yes,INCLUDE_CLEAR,Multicenter randomized trial under explicit general anaesthesia compares two TEAS acupoint combinations with sham and reports opioid and recovery outcomes.,All core eligibility elements are explicit and the sham contrast is independently estimable.,high,results,yes,yes,sham TEAS,yes,not_applicable,yes,yes,yes,no,no,no,2026-07-23T12:59:22.165Z,,
8,205,"Preoperative electroacupuncture versus sham electroacupuncture for the treatment of postoperative ileus after laparoscopic surgery for colorectal cancer in China: a study protocol for a multicentre, randomised, sham-controlled trial.",Fu,2024,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,The title says study protocol and the abstract uses future-tense enrollment and outcomes.,Protocol without participant outcome results.,high,protocol,yes,yes,sham electroacupuncture,yes,yes,yes,yes,yes,no,no,no,2026-07-23T12:59:53.353Z,,ChiCTR2300077633
9,206,The impact of electrical stimulation at the back-shu acupoint with an extrinsic diaphragmatic pacing mode on respiratory function and extubation success rate in tracheostomized stroke patients: An observational study.,Zhang,2024,English,yes,No,EXCLUDE_NON_RANDOMIZED,The title explicitly identifies an observational study and groups were defined by whether electroacupuncture was used.,Observational treatment comparison without randomized allocation.,high,results,unclear,no,extrinsic diaphragmatic pacing alone,yes,not_applicable,yes,unclear,yes,no,no,no,2026-07-23T13:00:23.970Z,,
10,207,Electroacupuncture for slow flow/no-reflow phenomenon in patients with acute myocardial infarction undergoing percutaneous coronary intervention: protocol for a pilot randomized controlled trial.,Peng,2024,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,The title says protocol and the abstract describes patients who will be recruited and randomized.,Protocol without participant outcome results.,high,protocol,no,yes,standard PCI,yes,not_applicable,yes,yes,yes,no,no,no,2026-07-23T13:00:57.303Z,,ChiCTR2300072265
11,208,Effectiveness of Electroacupuncture for Managing Urinary Retention Post Lumbar Spine Surgery: a retrospective single-cohort study.,Tran,2024,English,yes,No,EXCLUDE_NON_RANDOMIZED,The title and methods explicitly describe retrospective medical-record review in a single treated cohort.,Retrospective uncontrolled study rather than an RCT.,high,results,unclear,no,no comparator,no,not_applicable,unclear,unclear,yes,no,no,no,2026-07-23T13:01:53.873Z,,
12,211,Effect of percutaneous electrical stimulation at the Baliao point on preventing postpartum urinary retention after labor analgesia.,Wang,2024,English,yes,No,EXCLUDE_NON_SURGICAL,Participants received labour analgesia for childbirth rather than operative surgery under general anaesthesia.,Non-operative obstetric population is outside scope.,high,results,no,unclear,biofeedback therapy alone,yes,not_applicable,yes,yes,yes,no,no,no,2026-07-23T13:02:40.949Z,,
13,212,Exploration of treatment strategies and susceptibility gene of postoperative nausea and vomiting in breast cancer patients: a randomised controlled trial.,Wang,2024,English,yes,Yes,INCLUDE_CLEAR,Within two pregnancy-nausea strata patients were randomized to identical ondansetron-dexamethasone prophylaxis with or without TEAS and clinical PONV was reported.,Eligible separable TEAS contrast with balanced medication background; general anaesthesia is strongly supported by breast surgery and induction methods.,high,results,yes,yes,usual care with identical antiemetics,yes,not_applicable,yes,yes,yes,no,no,no,2026-07-23T13:03:08.154Z,,
