audit_row,study,v33_study_rows_compared,closest_v33_rows,disposition,match_v33_row,rationale
2,Zhu 2022,12,19;21;23,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
3,Zhu 2022,12,19;21;23,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
4,Zhu 2022,12,19;21;23,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
5,Zhu 2022,12,376;377;378,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
6,Zhu 2022,12,376;377;378,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
7,Zhu 2022,12,376;377;378,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
8,Zhu 2022,12,376;377;378,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
9,Zhu 2022,12,376;377;378,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
10,Zhu 2022,12,376;377;378,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
11,Zhu 2022,12,376;377;378,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
12,Zhu 2022,12,376;377;378,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
13,Zhu 2022,12,376;377;378,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
14,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
