record_id,comparison_id,study,endpoint_family,outcome,window,time_class,statistic_type,modality,comparator_type,intervention,comparator,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,eligibility,reason,rob2,analysis_population,source,source_location,selected_model,effect,se,measure,effect_note,scale_factor,hedges_g,hedges_se
V33-OD-0029,ZHOU25_TEAS_vs_SHAM_RESCUE,Zhou 2025,Rescue analgesia — drug class unresolved,Any rescue analgesia,POD1-POD3,pod1-pod3,Events/total,TEAS,Sham,PACU TEAS,Sham/no current,participants,48,49,,,,,6,13,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,"Table 3, p8",,-0.752571,0.449831,logRR,Uncorrected log risk ratio,1,,
V33-OD-0035,ZHENG25_TEAS_vs_SHAM_PCA_PRESS,Zheng 2025,PCA/PCIA button presses,Total PCIA button presses,Postoperative; exact pump duration NR,postoperative; exact pump duration nr,Mean/SD,TEAS,Sham,Perioperative TEAS,Sham/no current,presses,42,43,6.3,2.2,10.7,3.9,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk,Postoperative PCIA results,,-4.4,0.684806,MD,Native MD; no pooled interpretation without compatible model.,1,-1.3728,0.241145
V33-OD-0040,ZHANG25_TEAS_vs_SHAM_RESCUE,Zhang 2025,Rescue analgesia — drug class unresolved,Any rescue analgesia demand,POD1 / postoperative period reported in Table 4,pod1 / postoperative period reported in table 4,Events/total,TEAS,Sham,Perioperative TEAS,Sub-sensory sham,participants,45,48,,,,,14,29,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1eHx6Hk16vmIfMgoiZ5eNae4zmCR5ktwJ/view?usp=drivesdk,"Table 4, p9",,-0.6637,0.250711,logRR,Uncorrected log risk ratio,1,,
V33-OD-0065,XING22_NTG_vs_NG_PRESS,Xing 2022,PCA/PCIA button presses,PCIA pump press count,48-h / 2-day PCIA period,48-h / 2-day pcia period,Mean/SD,TEAS,Sham,TEAS + active TAPB,Sham TEAS + active TAPB,presses,29,29,6.55,3.19,9.97,3.8,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,Table 3 / PCIA press count,,-3.42,0.92132,MD,Native MD; no pooled interpretation without compatible model.,1,-0.961721,0.277379
V33-OD-0081,WANG23_TEAS_vs_SHAM_RESCUEDOSE,Wang 2023,Rescue analgesia — drug class unresolved,Cumulative number of additional rescue-analgesia doses,0-72 h,0-72h,Mean/SD,TEAS,Sham,Nighttime TEAS,Sham/no current,rescue doses,40,43,0.53,0.55,0.98,0.96,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/177A4aH42GD90DhsvvtD-VOBSChBBpIWL/view?usp=drivesdk,Table 2 / rescue analgesia,,-0.45,0.170279,MD,Native MD; no pooled interpretation without compatible model.,1,-0.564594,0.224
V33-OD-0102,SUN17_TSS_vs_SSS_NSAID48,Sun 2017,Rescue analgesia,Supplemental flurbiprofen axetil requirement,Within 48 h,within 48h,Published percentage,TEAS,Sham,Preoperative true TEAS only,All-period sham TEAS (SSS),11.0% intervention vs 23.3% SSS,91,90,,,,,,,NARRATIVE ONLY,Printed percentage/CI retained; event counts not reverse-engineered.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk,Table 2 / supplemental analgesic requirement,,,,,,1,,
V33-OD-0103,SUN17_TTS_vs_SSS_NSAID48,Sun 2017,Rescue analgesia,Supplemental flurbiprofen axetil requirement,Within 48 h,within 48h,Published percentage,TEAS,Sham,Preoperative + intraoperative true TEAS,All-period sham TEAS (SSS),15.4% intervention vs 23.3% SSS,91,90,,,,,,,NARRATIVE ONLY,Printed percentage/CI retained; event counts not reverse-engineered.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk,Table 2 / supplemental analgesic requirement,,,,,,1,,
V33-OD-0104,SUN17_TST_vs_SSS_NSAID48,Sun 2017,Rescue analgesia,Supplemental flurbiprofen axetil requirement,Within 48 h,within 48h,Published percentage,TEAS,Sham,Preoperative + postoperative true TEAS,All-period sham TEAS (SSS),7.9% intervention vs 23.3% SSS,89,90,,,,,,,NARRATIVE ONLY,Printed percentage/CI retained; event counts not reverse-engineered.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk,Table 2 / supplemental analgesic requirement,,,,,,1,,
V33-OD-0113,NTRI14_EA_vs_SHAM_RESCUE,Ntritsou 2014,Rescue analgesia — drug class unresolved,Total rescue analgesia,First 24 h,first 24h,Qualitative / exact quantities unavailable,EA,Sham,Perioperative EA + tramadol/ketamine,Sham + tramadol/ketamine,tramadol 50 mg IV then morphine 2 mg IV as needed,35,35,,,,,,,HOLD,Nonstandard or incomplete statistic; no inferred quantities.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1u_kNuuXF8upB3gJA2aDq8NldYDfhnWy3/view?usp=drivesdk,Rescue analgesia results,,,,,,1,,
V33-OD-0136,LU22_TEAS_vs_CTRL_PCAATTEMPT24,Lu 2022,PCA/PCIA button presses,PCA attempts,24 h,24 h point,Median/IQR,TEAS,Sham,TEAS + ERAS,No-current control + ERAS,attempts,47,47,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,PCA table / 24-h attempts,,,,,,1,,
