study,kind,instrument,window,population,source_values,synthesis_disposition,pdf_pages,source_excerpt,source_pdf,source_pdf_sha256,source_text,source_text_sha256
Chen 2015,QoR,QoR-40,24 h,41 TEAS / 42 sham,Median (IQR): 183 (172–190) vs 168 (154–183),Report medians; ceiling/skew and absent means/SDs preclude direct inclusion in mean-difference pool.,4,"e QoR-40 score at 24 h after surgery are shown in Table 2. The median global QoR-40 score (IQR) was 183 (172-190) in the TEAS was prolonged, the amount of postoperative analgesic and general anesthesia related side effects were reduced by TEAS. Although the exact mechanism by which TEAS exerts its antiemetic act",037_chen_2015_thyroidectomy_lund.pdf,60361dc28f099a330d13fe98c9e96d8f94334920f0eaffd65c450ffd6dc87bfc,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Chen_2015.txt,37b87d059f4b25bb9ece8af035f6c340ce347d8c1739a2e4ce558214300f104a
Gao 2022,QoR,QoR-40 domains,24 h,827 TEAS / 828 sham (trial ITT),Domain findings reported; Supplementary Table 1 cited. No global mean/SD located in main article.,Report presence; retrieve the cited supplement before quantitative use. Do not sum domain SDs or substitute PONV subgroups for randomized arms.,6,"ients, the non-vomiting patients had significantly better scores in the same items (all P < 0.001) (Supplementary Table 1). Multivariate Binary Logistic and COX Regression Analysis for PONV Both TEAS and palonosetron were independently protective factors of PONV (Table 4). Compared with the Sham group, the TEAS group ha",TEAS EA Verification/Source PDFs/pdf-2.pdf,5cfa6412264e74d7e713676f049fb116278621263c2a13a84c82c48084231492,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Gao_2022.txt,2cd9b214d9b6941dab96535e9ef5efc9e76bbb9fdd87780b8bc172bc60c0b5ae
Grech 2016,QoR,QoR-9 (0–18),PACU and days 1–3,Women subgroup; exact per-time n not tabulated,Figure 1I: mean and SE for women; no numerical arm table located.,"Descriptive only: subgroup, graph-only values and uncertain outcome denominators. Not interchangeable with QoR-15/40.",3,". Pain score (0e10) was deter- mined using a visual analog scale. The Quality of Recovery scores, a nine-item validated tool (with a maximum best possible score of 18), was used to assess patient oriented outcomes postoperatively. 2.3. Serum analyses All blood samples were collected during general anesthesia from the radia",retrieved_pdfs/030_grech_2016_lund.pdf,3e8ef2e6a5e8768cc4f9c4635ed2156fe7d03d529e4d140df84d8789138f6a63,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Grech_2016.txt,dafecd9548fc5e20be738f15f959db42a79d3afed12ed09be3d123a697ef33f8
He 2026 (hepatectomy/JIS),QoR,QoR-15,24 / 48 h,80 TEAS / 79 sham,Median (range as printed): 24 h 105 (86) vs 105 (134); 48 h 118 (75) vs 116 (80),"Report as printed. Parentheses are labelled range, not SD or IQR. No defensible direct mean/SD extraction.",8,CA attempts 2.7 ± 3.3 3.5 ± 6.1 0.02 Effective PCA deliveries 2.6 ± 3.3 3.5 ± 6.0 0.02 QoR-15 score 105 (86) 105 (134) 0.93 48h after surgery VAS score of PONV 0 (5) 0 (5) 0.42 Scale of Nausea 0 (2) 0 (2) 0.42 Scale of vomiting 0 (1) 0 (2) 0.99 VAS score of pain 2 (8) 3 (8) 0.17 Total PCA attempts 4.7 ± 5.3,TEAS EA Verification/Source PDFs/covidence_25_verified.pdf,4fc22447f980bacde9572ec5b1998318f5c4c38aedd82b7809644644e00d7e96,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/He_2026_hepatectomy_JIS.txt,6c3919eefe5fdf3383eebd9d2a94a898af9c7eb91bbfaeb40d4ef86fd2a8d03b
Hou 2023,QoR,QoR-15,POD1 / POD3 / discharge,36 TEAS / 36 sham,Mean±SD: POD1 104.5±7.0 vs 99.1±10.0; POD3 108.5±7.4 vs 100.9±10.7; discharge 114.3±6.4 vs 112.4±11.6,"Numerically ready for separate POD1/POD3 sham pools, subject to exact-result RoB/GRADE. D2 means POD1, D3 means POD3, D4 means discharge.",7,"0.0 (20.0, 40.0) 20.0 (20.0, 30.0) 10.0 (0.0, 10.0) 0.010 QoR-15 [scores; mean (SD)] D2 99.1 ± 10.0 104.5 ± 7.0 −5.4 (−9.5, −1.4) 0.009 D3 100.9 ± 10.7 108.5 ± 7.4 −7.6 (−11.9, −3.2) 0.001 D4 112.4 ± 11.6 114.3 ± 6.4 −1.9 (−6.3, 2.5) 0.402 Notes: Values are presented as means (SD), n (%), or median (IQR). Abbr",retrieved_pdfs/007_hou_2023.pdf,e942cff2967fe015df636ad7e2c2070c665cdc8ac23b7dafab141d6d16cddbe6,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Hou_2023.txt,bbe80fd736c7d0e2bd0002b2dd8f8bbb61efdef209046e6fd05b82ae52b8f97f
Huang 2025,QoR,QoR-40,Discharge,43 EA / 45 usual care,Median (min–max): 196 (192–198) vs 192 (188–198),Single EA/usual-care discharge result; report medians. Not a fixed 24/48 h outcome.,7," 0.001 Postoperative 72 h 1 (0-2) 2 (1-3) < 0.001 QoR-40e scores, median (min-max) Day of discharge 196 (192-198) 192 (188-198) < 0.001 Length of hospital stay, mean (SD), d 6.1 (1.7) 6.2 (1.3) 0.793 Vomiting, n (%) 3 (7.0) 9 (20.0) 0.142 Use of additional analgesic, n (%) 1 (2.3) 4 (8.9) 0.385 Bowel obstruction",TEAS EA Verification/Source PDFs/covidence_131_verified.pdf,9868368dc35509a1f6a7618e93e28e16831aeb38eb1f3418ce56f55ecc8dd9fa,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Huang_2025.txt,c1fffd818287692202f9839d56ab456e9bd9e453582e516ebd38dbbb37103ba4
Liang 2021,QoR,QoR-40,24 / 48 h,35 TEAS / 35 usual care,Mean±SD: 24 h 191.7±4.4 vs 189.1±4.3; 48 h 195.3±1.9 vs 193.3±3.0,24 h numerically ready with Pan 2023 in usual-care stratum. 48 h separate. Do not use historical sham label.,6,.6%) 7 (20%) Extra analgesia 3.8 (1.9)∗ 5.0 (2.9) T0 T11 T12 T0 T11 T12 QoR-40 (scores) 199.0 (1.5) 191.7 (4.4)∗ 195.3 (1.9)∗ 198.7 (1.8) 189.1 (4.3) 193.3 (3.0) Data is presented as mean standard deviation and numbers (proportion). TEAS: transcutaneous electrical acupoint stimulation; MMSE: minimum mental sta,retrieved_pdfs/014_liang_2021.pdf,cf2cc8a627b115ade55a85190c39352aa1a8e63ff1974e4a33dc7b65f961a5a3,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liang_2021.txt,774810820c5e5ba80f1259fa1349bd6065859536d95dd2e001d02e8b80c21ef8
Lu 2022,QoR,QoR-15,24 / 48 / 72 h,47 TEAS / 47 sham,"Median (min,max): 24 h 54.5 (15,92) vs 59 (27,136); 48 h 59 (35,104) vs 62 (0,130); 72 h 67 (31,113) vs 67 (11,136)",Report medians. Wide/asymmetric ranges and bounded score make untested normal conversion unsuitable. Do not convert these ranges to IQRs.,6,"n=47) Control (n=47) P value Difference, 95% CI QoR −15 score, median (min, max) 24 h after surgery 54.5(15.0, 92.0) 59.0(27.0, 136.0) 0.01 / 48h after surgery 59.0(35.0, 104.0) 62.0(0.0, 130.0) 0.35 / 72h after surgery 67.0(31.0, 113.0) 67.0(11.0, 136.0) 0.75 / VSS score, median (min, max) 24 h after surgery 69.0(",TEAS EA Verification/Source PDFs/getfile.php-3.pdf,83439ead7b747aa55a3be6aab468dc4350619651c2dfd0c516ffbf47d7b16f7c,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Lu_2022.txt,1c6fd26d573b276abaff48364cd0a137e790b7aae8562cf7ac934a35ba0fdd73
Pan 2023,QoR,QoR-40,24 h,52 TEAS / 53 usual care,Mean±SD: 182.7±6.9 vs 176.4±7.1,"Numerically ready with Liang 2021 in usual-care stratum; global score only, not five correlated subscales as separate trials.",8,20.4±3.1 0.37 Psychological support 32.5±2.3 32.0±1.9 0.19 Pain 32.9±1.3 32.0±1.5 0.00* Total score 182.7±6.9 176.4±7.1 0.00* Notes: *Represents statistically significant differences compared to group. https://doi.org/10.2147/JPR.S399249 DovePress Journal of Pain Research 2023:16 816 Pan et al Dovepress Powe,TEAS EA Verification/Source PDFs/getfile.php-4.pdf,7f51a98abb60112923a7996495bc8d143af74aa710175a70c29894b62a64479d,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Pan_2023.txt,afaa51e8883649e5a3366e84e0d6a016c8ca737b38ad94552dd5bc944f8a7d91
Wu 2025,QoR,QoR-15,24 h,50 TEAS / 50 sham,Mean±SD: 130.8±9.0 vs 115.9±12.2,Post-treatment QoR is eligible for assessment despite pre-intervention intraoperative-opioid hold. Exact-result RoB/GRADE required.,6,0.298 12 h–24 h 2 (4.0%) 4 (8.0%) 0.674 QoR-15 Score at 24 h After Surgery Total score of all items 130.8 (9.0) 115.9 (12.2) <0.001 Sleep quality 5.9 (2.1) 4.3 (2.2) <0.001 Postoperative activity evaluation 15.3 (2.0) 13.6 (2.6) <0.001 Gastroenteric function 10.8 (3.1) 10.7 (2.8) 0.785 Psychological assessment,TEAS EA Verification/Source PDFs/103940.pdf,2fc3db1859c4af6dc85f9a357a2468eb54b002d2c7f87658c9113c207a8beb53,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Wu_2025.txt,aebc2703278c084d7aa54d27cd5ed11fb08e4efb39fa2dd5d2055572dd10bb0d
