study_unit,comparison_id,intervention,comparator,outcome,time_window,data_type,n_i,n_c,mean_i,sd_i,median_i,q1_i,q3_i,events_i,mean_c,sd_c,median_c,q1_c,q3_c,events_c,unit,v20_primary_decision,inc_primary,inc_sens,hard_hold,rob_overall,conversion_needed,sensitivity_flag,duplicate_multiarm_handling,source_qc,source_url,mme_factor,mean_i_mme,sd_i_mme,mean_c_mme,sd_c_mme,md_mme,se_mme,ci_low_mme,ci_upp_mme,s_pooled,d,j_corr,hedges_g,hedges_se,modality,comparator_type,study_label
Chen 2015,CHEN15Q_TEAS_vs_CTRL_RESCUEMORPH24,Preoperative TEAS,Electrodes/device with no stimulation,Cumulative rescue IV morphine dose derived from fixed 2-mg rescue administrations,0-24 h,Median/IQR,41,42,,,2,2,6,,,,7,4,14,,mg IV morphine,CONDITIONAL — DERIVED MEDIAN/IQR,0,1,0,High,Use native IV morphine; convert to review-standard MME only per prespecified rule,Use only if derived dose endpoints are permitted and median/IQR synthesis is prespecified.,Count this study once per synthesis unless a valid multi-arm method is used.,"Source reports rescue-administration count 1 (1-3) vs 3.5 (2-7); each rescue administration was fixed at morphine 2 mg. Linear conversion to mg is exact, but the source itself reports counts rather than dose.",https://drive.google.com/file/d/1ZtE8GImDcpDJH1tOvzqazoh_S4Gd67oH/view?usp=drivesdk,1,,,,,,,,,,,.99071205,,,TEAS,Usual Care / Control,Chen 2015
Chen 2015 (Hyperalgesia),CHEN15H_TEAS_vs_SHAM_SUFKG24,Preoperative TEAS,Electrodes/no-current sham,Derived cumulative sufentanil dose from fixed 0.05 µg/kg bolus,0-24 h,Median/IQR,29,30,,,.15,.1,.2,,,,.35,.3,.4,,µg/kg sufentanil,CONDITIONAL — WEIGHT-NORMALIZED DERIVED,0,1,0,Some concerns,Opioid/MME conversion required using prespecified review conversion,Do not convert to absolute µg/MME using group-average weight.,Count this study once per synthesis unless a valid multi-arm method is used.,Exact linear conversion from 0.05 µg/kg per bolus × reported bolus count. Do not convert to absolute µg or MME without individual body weights.,https://drive.google.com/file/d/13YKAZZsc2VQEPqkw1Ye40BYDZSRpI6N3/view?usp=drivesdk,,,,,,,,,,,,.98678416,,,TEAS,Usual Care / Control,Chen 2015 (Hyperalgesia)
Coura 2011,COURA11_EA_vs_SHAM,Preoperative EA,Sham stimulation,Cumulative fentanyl,First 24 h postoperatively,Mean/SD,13,9,13.1,2.2,,,,,16.3,1.6,,,,,µg/kg fentanyl,CONDITIONAL — CONVERSION/ATTRITION,0,1,0,High,Opioid/MME conversion required using prespecified review conversion,High RoB; include only if the protocol prespecifies handling of weight-normalized opioid doses.,Count this study once per synthesis unless a valid multi-arm method is used.,10/32 post-randomization exclusions; supplemental morphine/fentanyl inclusion unclear,https://drive.google.com/file/d/120NJxCmxsdiyqWTXzjmaUWAaVa1i8iZz/view?usp=drivesdk,,,,,,,,,,1.9819182,-1.6145974,.96202534,-1.5532837,.49281645,EA,Sham,Coura 2011
Jin 2023,JIN23_2HZ_vs_SHAM_VOL24,2-Hz postoperative EA,Sham nonpenetrating EA/no current,Published 'fentanyl consumption' / PCIA solution volume,24 h,Mean/SD,53,52,39.31,15.58,,,,,56.54,12.5,,,,,mL PCIA solution,EXCLUDE FROM DOSE; PCA VOLUME PROXY ONLY,0,0,0,High,Do not convert unless concentration and delivered dose are fully known,,"Three-arm frequency trial with shared sham; if used as a proxy, apply multi-arm handling.",Main article does not report fentanyl concentration. Do not convert mL to µg/mg/MME. 2-Hz vs 20/100-Hz inferential statistics conflict between table and prose,https://drive.google.com/file/d/1fkNAFra0gZ9jkWkzp_S0TWy-5zVrXCtj/view?usp=drivesdk,,,,,,,,,,14.139061,-1.2186099,.99270076,-1.209715,.21229064,EA,Sham,Jin 2023
Luo 2026,LUO26_TEAS_vs_SHAM_OPIOIDEQUIV,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,Published 'sufentanil equivalents' metric,Perioperative,Mean/SD,138,139,15.86,5.11,,,,,15.18,4.95,,,,,published as mg; definition/unit unresolved,EXCLUDE UNTIL UNIT/DEFINITION RESOLVED,0,0,1,Some concerns,None,,Count this study once per synthesis unless a valid multi-arm method is used.,Source labels approximately 15-16 as 'sufentanil equivalents (mg)' without explaining conversion; preserve verbatim,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,,,,,,,,,,5.0303454,.13517958,.99727023,.13481057,.12030555,TEAS,Sham,Luo 2026
Sim 2002,SIM02_PREOP_vs_PLACEBO_MORPH24,Preoperative EA,Placebo EA,Cumulative postoperative IV PCA morphine,0-24 h,Mean/SD,30,30,.52,.19,,,,,.68,.38,,,,,mg/kg morphine,CONDITIONAL — WEIGHT-NORMALIZED + MULTI-ARM,0,1,0,Some concerns,Weight-normalized endpoint; do not reconstruct absolute dose from group mean weight,Do not reconstruct absolute mg from mean body weight.,Choose a prespecified timing arm or apply a multi-arm model; do not count both active timing arms as separate studies.,Do not convert mg/kg to absolute mg using group mean body weight; aggregate means cannot reconstruct individual absolute dose,https://drive.google.com/file/d/1YsNHL-J3Kgfu8mCanRrNu_bHk_roj0w6/view?usp=drivesdk,,,,,,,,,,.30041638,-.53259414,.98701298,-.52567732,.26262039,EA,Sham,Sim 2002
Yeh lumbar-spine publication family — ONE study unit pending overlap adjudication,YEH11_AES_vs_SHAM_MORPH24,True-acupoint AES,Electrical sham/nonacupoint AES,24-h IV morphine PCA dose,First 24 postoperative hours,Mean/SD,30,30,19.3,9.699999999999999,,,,,21.6,13.1,,,,,mg IV morphine,HOLD — OVERLAPPING PUBLICATIONS,0,0,1,Some concerns,Use native IV morphine; convert to review-standard MME only per prespecified rule,Do not include either report until the publication/cohort linkage is adjudicated.,"Treat Yeh 2010 + Yeh 2011 as one unresolved study unit, not two independent RCTs.","Highly similar to Yeh 2010 in population, acupoints, comparator and 24-h opioid values; do not count independently until cohort/publication linkage is adjudicated.",https://drive.google.com/file/d/1ZJ60ZvJ5Q7sRu1iptK_tLLfBXxZZ_Hwl/view?usp=drivesdk,1,19.299999,9.6999998,21.6,13.1,-2.3000011,2.9760153,-8.132884,3.5328817,11.526057,-.19954786,.98701298,-.19695632,.25882414,,Usual Care / Control,Yeh lumbar-spine publication family — ONE study unit pending overlap adjudication
Zhang 2025,ZHANG25_TEAS_vs_SHAM_SUFPOD1,Perioperative TEAS,Sub-sensory sham,Total sufentanil consumption,POD1; approximately 24 h but exact clock window not explicit,Mean/SD,45,48,50.53,4.46,,,,,53.79,5.14,,,,,µg sufentanil,CONDITIONAL — POD1 ≠ STRICT CLOCK 24H,0,1,0,High,Opioid/MME conversion required using prespecified review conversion,High RoB from post-randomization exclusions; use only if POD1 is accepted as the 24-h window.,Count this study once per synthesis unless a valid multi-arm method is used.,"Endpoint is directly reported as POD1, not explicitly clock-defined 0-24 h; 15/108 excluded after randomization",https://drive.google.com/file/d/1eHx6Hk16vmIfMgoiZ5eNae4zmCR5ktwJ/view?usp=drivesdk,1,50.529999,4.46,53.790001,5.1399999,-3.2600021,.99621475,-5.2125473,-1.3074571,4.8231945,-.67590058,.99173552,-.67031461,.21323992,TEAS,Usual Care / Control,Zhang 2025
Zhou 2021,ZHOU21_TEAS_vs_UC_OPIOIDUSE,Postoperative TEAS + ERAS,ERAS/usual care,Any postoperative opioid use,Postoperative window not clearly defined as 0-24 h,Events/total,41,40,,,,,,18,,,,,,30,participants,EXCLUDE FROM CONTINUOUS DOSE; USE SEPARATE BINARY ANALYSIS,0,0,0,High,None,Can be analyzed separately as binary opioid-use incidence.,Count this study once per synthesis unless a valid multi-arm method is used.,Exact postoperative time window is not clearly stated,https://drive.google.com/file/d/1PxYyULBv_ZjWeqAm_bNYkDn_j2_lNYLq/view?usp=drivesdk,,,,,,,,,,,,.99047619,,,TEAS,Usual Care / Control,Zhou 2021
Chen 1998,CHEN98_ACU_vs_SHAM,Active ST36 acupoint TENS,Sham ST36 TENS (0 mA),Cumulative IV PCA hydromorphone,First 24 h postoperatively,Mean/SD,25,25,6.5,3.5,,,,,10.7,5,,,,,mg hydromorphone,INCLUDE IN PRIMARY,1,0,0,Some concerns,Opioid/MME conversion required using prespecified review conversion,Four-arm study; alternative active-site contrasts belong in sensitivity/mechanistic analyses.,"Use one Chen 1998 contrast in a simple pairwise meta-analysis, or use a valid multi-arm method.",Four-arm RCT; shared sham control must be handled correctly,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk,5,32.5,17.5,53.5,25,-21,6.1032777,-32.962204,-9.037796,4.3156691,-.97319788,.98429322,-.95791209,.29862344,TEAS,Sham,Chen 1998
