study,status,window,finding,denominator,limitation,pdf_pages,source_excerpt,source_pdf,source_pdf_sha256,source_text,source_text_sha256
Gao 2021,Explicit zero intervention-related events,Trial treatment/follow-up,"No TEAS-related events, e.g. skin allergy, reported.","303 TEAS / 307 sham, ITT",Zero reported is not proof of no possible harm or complete ascertainment.,3,"ients to the TEAS group. All 610 patients were included in the intention-to-treat analysis (Fig 1). No TEAS- related adverse events (eg, skin allergy) occurred in the study. Patients had good TEAS treatment compliance with stimulating intensity in the PACU ranging from 13.0 mA to 15.0 mA, which was 2 to 5 m",TEAS EA Verification/Source PDFs/covidence_400_full_article.pdf,9dccc7912cf6c84c466abdf8e09b879b53113bafa6d3d72306ad087bdc48e18a,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Gao_2021.txt,ade5a8cfcc5a4b68283b5d3fa30ef539b6b6156d6206a728afbda928573fb241
Gao 2022,Explicit zero intervention-related events,Trial; complications collected to day 30,No TEAS-related adverse effects reported.,"827 TEAS / 828 sham, ITT",Day-30 complications do not measure persistent opioid use beyond day 30.,6," to the TEAS group. All 1,655 patients were included in the intention-to-treat analysis (Figure 1). No TEAS-related adverse effects occurred in the study. The demographics, comorbidities, preoperative SAS anxiety score, surgical and anesthesia data, RASS scores after extubation, and PACU electrolyte index between the TEAS",TEAS EA Verification/Source PDFs/pdf-2.pdf,5cfa6412264e74d7e713676f049fb116278621263c2a13a84c82c48084231492,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Gao_2022.txt,2cd9b214d9b6941dab96535e9ef5efc9e76bbb9fdd87780b8bc172bc60c0b5ae
Guo 2023,Nonzero intervention-related events,12-month study,Electrode dermatitis 1 vs 1; electrical discomfort 2 vs 0; any AE 6 vs 9 includes unrelated events; no serious AEs reported.,55 TEAS / 55 sham; 128 randomized,Do not use 6 vs 9 as TEAS-related harm counts. Participant overlap across event types not established.,7,the lower extremity 0 1 (1.82%) Nausea and vomiting 2 (3.63%) 5 (9.09%) Related to the intervention Localized allergic dermatitis (For the electrode) 1 (1.82%) 1 (1.82%) Discomfort feeling (For the electric stimulation) 2 (3.63%) 0 F. Guo et al.,retrieved_pdfs/006_guo_2023.pdf,939a5c0639ee8f9d570b5f1de578831009fb452fc1caabbb1c7879faf8849434,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Guo_2023.txt,d5aae1d9d83f5b3168a1bb4a8f079e1dd4ea10a158c18fa429935ae7f5d8c45c
Huang 2024,Nonzero intervention-related events,POD1–3,"Contralateral EA: one bent needle, one flustered patient; ipsilateral EA: one curved needle; sham zero.",Table 4 n=36/37/35; randomized 38/38/38,"Table prints 2 (5.26%) despite n=36: 5.26% corresponds to 38. Keep counts, disclose denominator conflict, do not silently calculate comparative RR.",10,"y 3 90.97 ± 7.22 91.22 ± 7.32 87.26 ± 9.20 Assessment of blindingb 27 (71.05) 29 (76.32) 29 (76.32) Side effects of acupuncture 2 (5.26) 1 (2.70) 0 (0.00) Note: Data are mean ± SD or n (%). aRefer to the visual analog score (VAS), measured using a range of 0–100. bCases lost to follow-up were considered to represent blinding ",TEAS EA Verification/Source PDFs/covidence_245_full_article.pdf,728873a206e9cc158128f082bbe4a4cd75de6f417e9cd52738e8d1b23d883644,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Huang_2024.txt,16b7fdc84f1ceb6ccdf5ed4b96fdedb4d249cfd80431ee2ff7a4cd0073ed92ba
Huang 2025,Explicit zero serious/procedure-related events,Hospital course,No serious AEs/fatalities; no procedure-related complications reported. One postoperative bowel obstruction in EA arm.,43 EA / 45 usual care analysed,"Bowel obstruction is reported as postoperative complication, not established EA causation. Dropout criteria include serious complications.",6,"owing the doctor’s orders. She was discharged after symptomatic treatment. In both arms, there were no serious adverse events or fatalities. All 88 (100%) patients were discharged uneventfully. Discussion By evaluating the clinical effectiveness and safety of specific acupuncture combinations in patients foll",TEAS EA Verification/Source PDFs/covidence_131_verified.pdf,9868368dc35509a1f6a7618e93e28e16831aeb38eb1f3418ce56f55ecc8dd9fa,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Huang_2025.txt,c1fffd818287692202f9839d56ab456e9bd9e453582e516ebd38dbbb37103ba4
Jiang 2026,Nonzero local adverse events,Trial follow-up,Table 5: overall 8 vs 7; severe 0 vs 0; subcutaneous hematoma 0 vs 0; rubefaction 6 vs 6; hydroderma 2 vs 1.,294 TEAS / 293 sham in safety table,Table layout is malformed: visual review supports extraction order but last two labels/values are vertically misaligned. Overall counts are not an independently verified all-treated population; 614 randomized.,5,"verall, n (%) 8 (2.7) 7 (2.4) 0.799 Severe adverse events, n (%) 0 0 ​ Subcutaneous hematoma, n (%) Rubefaction, n (%) Hydroderma, n (%) 0 6 (2.0) 2 (0.7) 0 6 (2.0) 1 (0.3) 0.995 0.565 P values are two-sided, and p < 0.05 was considered statistically significant. TEAS: transcutaneous electrical acupoint stimul",TEAS EA Verification/Source PDFs/study_4_Jiang_2026.pdf,a980f1476ff869174b7b605dbceff078e5885e02049ca2ea0b95cc19e2a5ac66,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Jiang_2026.txt,fb6c67562b1f392b877cb1cb2ce50e7c0452442dec14a0e72916fabe4aee2549
Jin 2023,Nonzero events; existing eligibility hold,Trial follow-up,2Hz EA: skin bruising 1/53; 20/100Hz EA: hematoma 3/53; sham: hematoma 1/52. No severe events reported.,53 / 53 / 52 analysed,Retain GA/eligibility source hold. Describe separately; do not promote into eligible quantitative safety pool.,4,"e to first exhaust between the 2 EA groups and the sham EA group (P>.05) (Table 3). Safety Overall, 5 patients reported adverse events. Of note, 1 patient (1.89%) from the 2-Hz EA group reported skin bruis- ing at ST36, 3 patients (5.66%) from the 20/100−Hz EA group experienced sub- cutaneous hematoma at the puncture site, an",retrieved_pdfs/009_jin_2023.pdf,928c915846bbaba438191b56e2ce56d1cbfc88d52a6b213a40270366b05edf50,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Jin_2023.txt,b868e3f9664afd9c05b82e1c0eae1d247df956f7c35054f4d53a58a9f5684138
Liu 2025,Explicit zero local events,Trial follow-up,"No redness, swelling or inflammatory reactions at acupuncture site in recruited patients.",77 completed; statement says all recruited,Do not force an exact safety denominator from efficacy completers.,4,"toperatively (Figure 1). Finally, 77 patients finished the study and were included in the analysis. In all the patients recruited, adverse effects such as redness, swelling and inflammatory reactions were not observed at the acupuncture site. There were no significant differences between groups in baseline demographics and pati",TEAS EA Verification/Source PDFs/pdf.pdf,8d22773bc606f1237bace50aa5e6e9e1179a33e4a1d7ebd5e45d10f53167706a,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liu_2025.txt,5a801b60d1d84a61c912fb31090b264f4ee299d51aa920c16e0a7605c68f8460
Liu 2026 (burn),Nonzero intervention-related withdrawals,Electrode application,One patient in each arm withdrew for skin redness and itching. No SAEs reported.,44/44 randomized; 43/43 efficacy analysis,"For withdrawal event use 1/44 vs 1/44, not zero/43. Exclusion wording in narrative reconciled using allocation flow.",4,"ients declined to participate, 5 patients withdrew from the study due to surgical modification, and one patient in each of the two groups withdrew due to redness and itching on the skin while applying electrodes. Finally, 86 patients were enrolled in this study, with 43 patients in each group (Fig. 1). There were",TEAS EA Verification/Source PDFs/covidence_48_verified.pdf,ad454ee8b62ea93e4001edd3f7e8329ea09a0caaa10204d00e93b2f28891200d,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liu_2026_burn.txt,d910a5302242f7906ec5f806ce0a4b0a1823a45914f2db1d8cf87f05a3ee7921
Lu 2021,Nonzero intervention-related event,Trial treatment/follow-up,One single-acupoint participant reported electrode-site discomfort; no group difference stated.,198 single / 190 multiple / 188 sham analysed,No blanket zero assigned to other arms solely from no-difference sentence.,4,"iffer from those of the intention-to- treat analyses (Supplemental Material 3). 3.4. Adverse events One patient in the single acupoint group reported discomfort in the skin area attached to the electrodes. No differences were found among the three groups. 4. Discussion This multicenter, prospective, randomized, controlled trial revealed t",TEAS EA Verification/Source PDFs/covidence_414_full_article.pdf,7f03819dbf9b4b292cfed8ba78be7233349e036cc4f9cb144cfa1e0db17094a7,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Lu_2021.txt,f6cd5adfe410b378cfda06841e100b5c7e740d3cd3fc24a0a83a0231cf7265a9
