topic,status,decision,reviewer,date
Assignment effect and RoB,ADOPTED,Assess each exact outcome/window/arm/population for assignment effect. Awareness alone is not High D2; patient-reported nausea/pain differ from observable vomiting and recorded PCA dose. No invented independent human signatures.,AI assistant under user delegation,2026-09-20
GRADE,ADOPTED,"All 38 bodies independently considered: 34 rated, four empty. Explicit domain downgrades, not I²/P-value rules. No automatic single-trial downgrade; pain precision judged against registered +1 margin. No independent grades for diagnostics.",AI assistant under user delegation,2026-09-20
IV-MME,ADOPTED,"Central sufentanil factor 0.5mg IV morphine per microgram, with 0.25/1.0 sensitivities; uncertainty retained. Unknown oral/IV author-equivalent basis is diagnostic only.",AI assistant under user delegation,2026-09-20
Systemic versus device exposure,ADOPTED,"Admit delivered end-surgery–24h systemic totals, including quantified rescue. Chen1998/Yang2024/Lin2002 incomplete-rescue/window evidence stays sensitivity-only; never assume permitted rescue is zero.",AI assistant under user delegation,2026-09-20
Chen2020 / He hepatectomy,ADOPTED HOLD,Chen basal-dose contradiction and He unknown MME basis remain flagged diagnostics; no fabricated unit or dose correction.,AI assistant under user delegation,2026-09-20
El-Rakshy2009,ADOPTED,Retain outcome Table2 assignment in supportive EA/usual-care with High RoB and leave-out sensitivity. Do not silently swap arm labels or pretend flow contradiction resolved.,AI assistant under user delegation,2026-09-20
Song2020,ADOPTED,Matched active non-acupoint electrical control remains separate from inert sham; broad-sham diagnostic retained.,AI assistant under user delegation,2026-09-20
GI effect measure,ADOPTED,Use clinically interpretable hours MD within modality/control strata; SMD only diagnostic. Disclose posthoc choice; no effect-significance-based model selection.,AI assistant under user delegation,2026-09-20
Zheng2025 continuous results,ADOPTED HOLD,Remove three unreconciled continuous results from main analyses. Dispersion/P inconsistencies and flatus/stool construct ambiguity remain unresolved; retain values unchanged only in with-Zheng-as-printed diagnostics. Binary PONV remains eligible.,AI assistant under user delegation,2026-09-20
Wu2025 intraoperative dose,ADOPTED EXCLUSION FROM CAUSAL BODY,"Randomization/treatment starts on PACU arrival after the intraoperative dose. Keep only pre-intervention negative-control diagnostic, not treatment efficacy.",AI assistant under user delegation,2026-09-20
Other source holds,ADOPTED HOLD,"Yeh probable family counted once and excluded from models; Jin2023 anaesthesia/concentration, Long2025 needle/patch ambiguity and He breast dispersion remain held/diagnostic. No author response presumed.",AI assistant under user delegation,2026-09-20
Statistical inference,ADOPTED,"REML with safeguarded Hartung–Knapp for k≥2; k=1 within-study normal interval, not pooled. Prediction intervals only k≥5. Combine compatible active arms with shared control once. Separate TEAS/EA and comparator classes.",AI assistant under user delegation,2026-09-20
Moderators,ADOPTED,"Do not carry forward historical mixed-modality k=7 regression. Registered minimum counts (≥10 per predictor, ≥4 per level, ≥20 multivariable) plus source-verified covariates govern; no new valid moderator model established.",AI assistant under user delegation,2026-09-20
Clinical-importance criterion,ADOPTED,"Keep ≥10mg opioid sparing plus paired ~24h pain upper CI <+1. Separate pain bodies cannot supply Szmit paired pain. 8mg/30% are sensitivity thresholds, not replacements.",AI assistant under user delegation,2026-09-20
PRISMA,ADOPTED WITH PROVENANCE LIMIT,"Wu2016 citation route user-confirmed. Reconcile exported record dispositions locally, not by editing Covidence. 12 import references remain unmapped; preserve aggregate provenance.",AI assistant under user delegation,2026-09-20
Reviewer re-screening package,REMOVED FROM REQUESTED WORK,"User withdrew this deliverable. Use requested outcome-exclusion label, retain raw reasons, and disclose completeness limitation without treating it as an outstanding approval workflow.",AI assistant under user delegation,2026-09-20
External actions,NOT AUTHORIZED,"Author queries remain UNSENT; local dashboard update only, no commit/push/public deployment.",AI assistant under user delegation,2026-09-20
