record_id,study,family,outcome,window,intervention,comparator,modality_before,modality_after,modality_basis,comparator_before,comparator_after,comparator_basis,resolved
V33-OD-0332,Song 2020,adverse_events_and_cognition,Dizziness,0-24 h,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0333,Song 2020,adverse_events_and_cognition,Respiratory depression,0-24 h,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0334,Song 2020,adverse_events_and_cognition,Bradycardia,0-24 h,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0307,Oztas 2019,analgesic_proxies_and_nonopioid_rescue,Rescue IV dexketoprofen trometamol consumption,0-24 h,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',Usual care,Usual care,already set,YES
V33-OD-0308,Oztas 2019,analgesic_proxies_and_nonopioid_rescue,Rescue IV dexketoprofen trometamol consumption,0-24 h,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'incision-periphery tens',YES
V33-OD-0309,Oztas 2019,analgesic_proxies_and_nonopioid_rescue,Rescue IV dexketoprofen trometamol consumption,24-48 h,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',Usual care,Usual care,already set,YES
V33-OD-0310,Oztas 2019,analgesic_proxies_and_nonopioid_rescue,Rescue IV dexketoprofen trometamol consumption,24-48 h,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'incision-periphery tens',YES
V33-OD-0329,Song 2020,analgesic_proxies_and_nonopioid_rescue,PCA pump press number,0-24 h,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0330,Song 2020,analgesic_proxies_and_nonopioid_rescue,Nominal butorphanol PCA bolus component derived from reported pump presses,0-24 h,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0122,Ma 2026,functional_recovery_and_other,Athens Insomnia Scale,POD1,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,no-device marker 'no teas',YES
V33-OD-0335,Song 2020,functional_recovery_and_other,Sleep efficiency,First night before surgery after preoperative stimulation,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0336,Song 2020,functional_recovery_and_other,AIS score,First night before surgery after preoperative stimulation,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0337,Song 2020,functional_recovery_and_other,REM sleep,First night before surgery after preoperative stimulation,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0338,Song 2020,functional_recovery_and_other,Stable sleep,First night before surgery after preoperative stimulation,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0339,Song 2020,functional_recovery_and_other,Unstable sleep,First night before surgery after preoperative stimulation,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0340,Song 2020,functional_recovery_and_other,Sleep efficiency,First postoperative night,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0341,Song 2020,functional_recovery_and_other,AIS score,First postoperative night,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0342,Song 2020,functional_recovery_and_other,REM sleep,First postoperative night,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0343,Song 2020,functional_recovery_and_other,Stable sleep,First postoperative night,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0344,Song 2020,functional_recovery_and_other,Unstable sleep,First postoperative night,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0345,Song 2020,functional_recovery_and_other,Sleep efficiency,Third postoperative night,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0346,Song 2020,functional_recovery_and_other,AIS score,Third postoperative night,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0347,Song 2020,functional_recovery_and_other,REM sleep,Third postoperative night,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0348,Song 2020,functional_recovery_and_other,Stable sleep,Third postoperative night,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0349,Song 2020,functional_recovery_and_other,Unstable sleep,Third postoperative night,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0361,Zhang 2018,functional_recovery_and_other,Time to ambulation,Postoperative,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,MODALITY_REVIEW_REQUIRED,EA,needle marker 'needle',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'non-acupoint',YES
V33-OD-0357,Zhang 2018,gi_recovery,Time to first defecation,Postoperative,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,MODALITY_REVIEW_REQUIRED,EA,needle marker 'needle',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'non-acupoint',YES
V33-OD-0358,Zhang 2018,gi_recovery,Time to first flatus,Postoperative,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,MODALITY_REVIEW_REQUIRED,EA,needle marker 'needle',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'non-acupoint',YES
V33-OD-0359,Zhang 2018,gi_recovery,Time to resume diet,Postoperative,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,MODALITY_REVIEW_REQUIRED,EA,needle marker 'needle',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'non-acupoint',YES
V33-OD-0360,Zhang 2018,gi_recovery,Prolonged postoperative ileus / time to first defecation >96 h,Postoperative,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,MODALITY_REVIEW_REQUIRED,EA,needle marker 'needle',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'non-acupoint',YES
V33-OD-0091,Wang 2024,intraoperative_opioid,Total sufentanil,Intraoperative,SNVP: ondansetron+dexamethasone+TEAS,SNVP: ondansetron+dexamethasone,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
V33-OD-0092,Wang 2024,intraoperative_opioid,Total sufentanil,Intraoperative,MNVP: ondansetron+dexamethasone+TEAS,MNVP: ondansetron+dexamethasone,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
V33-OD-0324,Song 2020,intraoperative_opioid,Total intraoperative sufentanil consumption,Intraoperative,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0271,Wu 2016,los,Hospital length of stay,Postoperative hospitalization,Perioperative true-acupoint TAES (LI4/PC6/SI3/SJ6),Active nonacupoint electrical stimulation (identical 2/100-Hz current),MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0272,Wu 2016,los,Hospital length of stay,Postoperative hospitalization,Perioperative true-acupoint TAES (LI4/PC6/SI3/SJ6),No-TAES thoracotomy control,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Usual care,no-device marker 'no-taes',YES
V33-OD-0362,Zhang 2018,los,Postoperative hospital length of stay,Postoperative,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,MODALITY_REVIEW_REQUIRED,EA,needle marker 'needle',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'non-acupoint',YES
V33-OD-0123,Ma 2026,nausea,Nausea,24 h,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,no-device marker 'no teas',YES
V33-OD-0321,Oztas 2019,nausea,Nausea severity,0-24 h,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',Usual care,Usual care,already set,YES
V33-OD-0353,Szmit 2021,nausea,Nausea incidence,Postoperative observation period; PCA/TEAS discontinued at 24 h,Postoperative TEAS: bilateral LI4 + ipsilateral peri-incisional ashi points; alternating 2/100 Hz; 30 min every 2 h through 24 h,PCA only / no TEAS,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,no-device marker 'no teas',YES
V33-OD-0037,Zhan 2020,pain,VAS pain intensity,24 h postoperatively,TAP block + postoperative TEAS,TAP block,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
V33-OD-0121,Ma 2026,pain,Resting NRS pain,24 h,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,no-device marker 'no teas',YES
V33-OD-0187,Lee 2011,pain,VAS pain intensity,24 h,Low-frequency dense-sparse SSP,Sham SSP,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'ssp',Sham,Sham,already set,YES
V33-OD-0265,Wu 2016,pain,VAS pain intensity at rest,24 h postoperatively,Perioperative true-acupoint TAES (LI4/PC6/SI3/SJ6),Active nonacupoint electrical stimulation (identical 2/100-Hz current),MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0266,Wu 2016,pain,VAS pain intensity at rest,24 h postoperatively,Perioperative true-acupoint TAES (LI4/PC6/SI3/SJ6),No-TAES thoracotomy control,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Usual care,no-device marker 'no-taes',YES
V33-OD-0267,Wu 2016,pain,VAS pain intensity during coughing,24 h postoperatively,Perioperative true-acupoint TAES (LI4/PC6/SI3/SJ6),Active nonacupoint electrical stimulation (identical 2/100-Hz current),MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0268,Wu 2016,pain,VAS pain intensity during coughing,24 h postoperatively,Perioperative true-acupoint TAES (LI4/PC6/SI3/SJ6),No-TAES thoracotomy control,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Usual care,no-device marker 'no-taes',YES
V33-OD-0311,Oztas 2019,pain,Resting postoperative pain after stimulation,2 h after surgery / after intervention,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',Usual care,Usual care,already set,YES
V33-OD-0312,Oztas 2019,pain,Resting postoperative pain after stimulation,2 h after surgery / after intervention,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'incision-periphery tens',YES
V33-OD-0313,Oztas 2019,pain,Resting postoperative pain after stimulation,18 h after surgery / after intervention,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',Usual care,Usual care,already set,YES
V33-OD-0314,Oztas 2019,pain,Resting postoperative pain after stimulation,18 h after surgery / after intervention,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'incision-periphery tens',YES
V33-OD-0315,Oztas 2019,pain,Resting postoperative pain after stimulation,22 h after surgery / after intervention,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',Usual care,Usual care,already set,YES
