record_id,comparison_id,study,endpoint_family,outcome,window,time_class,statistic_type,modality,comparator_type,intervention,comparator,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,eligibility,reason,rob2,analysis_population,source,source_location,selected_model,effect,se,measure,effect_note,scale_factor,hedges_g,hedges_se
V33-OD-0008,YAO15_TEAS_vs_CONTROL,Yao 2015,QoR-40,Global QoR-40,24 h postoperatively,24 h point,Mean/SD,TEAS,Sham,Preoperative TEAS,Control/no current,QoR-40 points,35,36,176.5,10.2,164.8,14.7,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1OhcqPgP7chnaiBaZBPBAy4PQlSFMelfh/view?usp=drivesdk,24-h QoR-40 result,qor40_24h,11.7,2.995842,MD,Native MD; no pooled interpretation without compatible model.,1,0.912379,0.249422
V33-OD-0009,YU20_TEAS_vs_CONTROL,Yu 2020,QoR-40,Global QoR-40,Postoperative day 1 (~24 h),postoperative day 1 (~24h),Mean/SD,TEAS,Sham,Preoperative TEAS,Control/no current,QoR-40 points,30,30,175.33,9.66,166.07,8.44,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1fXpHc9FzhpPCkXto8c5lfcLoA3ROdOEz/view?usp=drivesdk,POD1 QoR-40 result,,9.26,2.342002,MD,Native MD; no pooled interpretation without compatible model.,1,1.00763,0.274094
V33-OD-0256,CHEN15Q_TEAS_vs_CTRL_QOR40,Chen 2015,QoR-40,Global QoR-40,24 h,24 h point,Median/IQR,TEAS,Sham,Preoperative TEAS,Electrodes/device with no stimulation,QoR-40 points,41,42,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1ZtE8GImDcpDJH1tOvzqazoh_S4Gd67oH/view?usp=drivesdk,Table 2 / global QoR-40,,,,,,1,,
V33-OD-0381,LIANG21_TEAS_vs_CTRL_QOR40_24H,Liang 2021,QoR-40,Global QoR-40,24 h (T11),24h (t11),Mean/SD,TEAS,Sham,Preoperative TEAS,Control/no stimulation,QoR-40 points,35,35,191.7,4.4,189.1,4.3,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,local: TEAS EA Verification/Source PDFs/014_liang_2021.pdf,Table 4; Results 3.3; Methods 2.7 (T11 definition),qor40_24h,2.6,1.039918,MD,Native MD; no pooled interpretation without compatible model.,1,0.591045,0.244209
V33-OD-0382,LIANG21_TEAS_vs_CTRL_QOR40_48H,Liang 2021,QoR-40,Global QoR-40,48 h (T12),48h (t12),Mean/SD,TEAS,Sham,Preoperative TEAS,Control/no stimulation,QoR-40 points,35,35,195.3,1.9,193.3,3,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,local: TEAS EA Verification/Source PDFs/014_liang_2021.pdf,Table 4; Results 3.3; Methods 2.7 (T12 definition),,2.0,0.600238,MD,Native MD; no pooled interpretation without compatible model.,1,0.787686,0.248142
AUDIT-0115,V34_B1_114,Pan 2023,QoR-40 subscale,Physical comfort,24 h after operation,24 h point,Mean/SD,TEAS,Usual care,Group T — TEAS,Group C — control,QoR-40 points,52.0,53.0,54.6,2.8,52.3,3.6,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Unstated,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,p. 816; Table 10,,2.3,0.628727,MD,Native MD; no pooled interpretation without compatible model.,1,0.707149,0.201196
AUDIT-0116,V34_B1_115,Pan 2023,QoR-40 subscale,Emotional state,24 h after operation,24 h point,Mean/SD,TEAS,Usual care,Group T — TEAS,Group C — control,QoR-40 points,52.0,53.0,41.7,2.3,39.7,2.9,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Unstated,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,p. 816; Table 10,,2.0,0.510304,MD,Native MD; no pooled interpretation without compatible model.,1,0.757746,0.202071
AUDIT-0117,V34_B1_116,Pan 2023,QoR-40 subscale,Physical independence,24 h after operation,24 h point,Mean/SD,TEAS,Usual care,Group T — TEAS,Group C — control,QoR-40 points,52.0,53.0,20.9,3.3,20.4,3.1,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Unstated,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,p. 816; Table 10,,0.5,0.625095,MD,Native MD; no pooled interpretation without compatible model.,1,0.155081,0.195482
AUDIT-0118,V34_B1_117,Pan 2023,QoR-40 subscale,Psychological support,24 h after operation,24 h point,Mean/SD,TEAS,Usual care,Group T — TEAS,Group C — control,QoR-40 points,52.0,53.0,32.5,2.3,32.0,1.9,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Unstated,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,p. 816; Table 10,,0.5,0.412121,MD,Native MD; no pooled interpretation without compatible model.,1,0.235509,0.195864
AUDIT-0119,V34_B1_118,Pan 2023,QoR-40 subscale,Pain subscale,24 h after operation,24 h point,Mean/SD,TEAS,Usual care,Group T — TEAS,Group C — control,QoR-40 points,52.0,53.0,32.9,1.3,32.0,1.5,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Unstated,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,p. 816; Table 10,,0.9,0.273775,MD,Native MD; no pooled interpretation without compatible model.,1,0.636104,0.200064
