dataset,analysis,study_count,effect_type,comparator,modality,exclusions,unresolved_holds,pooling_status,study_names
v34_intraop_remifentanil_TEAS_Sham.csv,intraop_remifentanil,6,MD,Sham,TEAS,Only explicit selected independent contrasts; see not-pooled register,New result-specific RoB pending; source-specific holds excluded,REML + Hartung-Knapp,Zheng 2025; Xing 2022; Wu 2022; Lu 2021; Guo 2023; Liang 2021
v34_intraop_remifentanil_EA_Sham.csv,intraop_remifentanil,1,MD,Sham,EA,Only explicit selected independent contrasts; see not-pooled register,New result-specific RoB pending; source-specific holds excluded,k=1: no pooled estimate,Ntritsou 2014
v34_intraop_remifentanil_EA_Usual_care.csv,intraop_remifentanil,1,MD,Usual care,EA,Only explicit selected independent contrasts; see not-pooled register,New result-specific RoB pending; source-specific holds excluded,k=1: no pooled estimate,Zhu 2022
v34_intraop_remifentanil_TEAS_Usual_care.csv,intraop_remifentanil,1,MD,Usual care,TEAS,Only explicit selected independent contrasts; see not-pooled register,New result-specific RoB pending; source-specific holds excluded,k=1: no pooled estimate,Pan 2023
v34_intraop_sufentanil_TEAS_CONTROL_TYPE_REVIEW_REQUIRED_SNVP_stratum.csv,intraop_sufentanil,1,MD,CONTROL_TYPE_REVIEW_REQUIRED,TEAS,Only explicit selected independent contrasts; see not-pooled register,New result-specific RoB pending; source-specific holds excluded,k=1: no pooled estimate,Wang 2024
v34_intraop_sufentanil_TEAS_CONTROL_TYPE_REVIEW_REQUIRED_MNVP_stratum.csv,intraop_sufentanil,1,MD,CONTROL_TYPE_REVIEW_REQUIRED,TEAS,Only explicit selected independent contrasts; see not-pooled register,New result-specific RoB pending; source-specific holds excluded,k=1: no pooled estimate,Wang 2024
v34_intraop_sufentanil_TEAS_Sham.csv,intraop_sufentanil,2,MD,Sham,TEAS,Only explicit selected independent contrasts; see not-pooled register,New result-specific RoB pending; source-specific holds excluded,REML (normal CI; k=2),Liu 2015; Liang 2021
v34_intraop_sufentanil_TEAS_CONTROL_TYPE_REVIEW_REQUIRED.csv,intraop_sufentanil,1,MD,CONTROL_TYPE_REVIEW_REQUIRED,TEAS,Only explicit selected independent contrasts; see not-pooled register,New result-specific RoB pending; source-specific holds excluded,k=1: no pooled estimate,Song 2020
v34_intraop_sufentanil_EA_Usual_care.csv,intraop_sufentanil,1,MD,Usual care,EA,Only explicit selected independent contrasts; see not-pooled register,New result-specific RoB pending; source-specific holds excluded,k=1: no pooled estimate,Zhu 2022
v34_qor40_24h_TEAS_Sham.csv,qor40_24h,2,MD,Sham,TEAS,Only explicit selected independent contrasts; see not-pooled register,New result-specific RoB pending; source-specific holds excluded,REML (normal CI; k=2),Yao 2015; Liang 2021
