study,audit_rows,v33_rows,v34_rows,net_added,existing_source_rows_updated,already_present,new_numeric_secondary_candidates,new_graph_only,new_not_reported,source_not_accessed_outcomes,new_holds,note
Zhu 2022,66,12,78,66,6,0,63,0,0,0,3,Drive search did not return a standalone supplementary file. Main article references Supplemental Tables 1–2 for ITT PON/POV analyses. Main-table extraction is per-protocol. Randomized arm sizes conflict between abstract and CONSORT figure.
Yang 2020,27,2,29,27,0,0,14,0,0,0,4,"59 randomized (30/29), 57 completed/analyzed (29/28). Rescue medication defined as bucinnazine 100 mg IM if VAS >3; exact rescue time window not attached to Table 3."
Pan 2023,26,2,28,26,0,0,15,0,2,0,6,"Paper has a participant-flow inconsistency: Methods mention 120 women, while abstract/results report 105 in the final study cohort (52/53). NRS is described in Results as measured in the mobile state. Table 7 parenthetical NRS statistic is not explicitly defined."
Lu 2022,17,6,23,17,0,0,4,0,0,0,1,Main paper references multiple Supplemental Digital Contents; no standalone supplement was located in Drive in the current search. Major internal 24-h QoR-15 conflict between Results prose and Table 3; table values retained and conflict flagged.
Li 2021,13,5,17,12,0,1,12,0,0,0,0,All six requested VAS≥4/PONV assessment timepoints are printed in Table 5. Analysis population is not explicitly labelled ITT/per-protocol in the publication.
Gu 2019,10,8,18,10,4,0,6,3,0,0,1,"117/120 completed (L-TEAS 58, C-TEAS 59). Exact VAS at 4/8/24 h is printed; 16/36 h are graph-only. Figure 5 gives PONV counts 7 vs 19. Satisfaction prose conflicts with Table 4. The 24-h PCIA point is graph-only and represents multimodal PCIA solution volume, not a printed exact sufentanil mass."
Huang 2025,12,3,15,12,0,0,5,0,0,0,0,"Randomized 51 vs 50; analyzed 43 vs 45. Source directly reports VAS and I-FEED at 24/48/72 h, QoR-40 at discharge, LOS, vomiting, additional ketorolac use and bowel obstruction. Results prose says QoR-40 was lower with EA, but Table 4 shows 196 vs 192; the table direction is preserved and the conflict is flagged."
Gao 2021,5,5,12,7,0,0,2,0,0,2,3,"610 randomized/analyzed (303 TEAS, 307 sham). Table III provides bowel-sound recovery plus abdominal pain, distention, nausea and vomiting-episode data. The main paper states no difference in 30-day complications or total LOS but directs exact values to Supplementary Table S4; those exact supplemental values are therefore SOURCE NOT ACCESSED, not NOT REPORTED."
Jiang 2026,10,5,15,10,0,0,6,0,0,0,1,"Secondary outcomes use PP n=294 vs 293; first-flatus ITT also exists separately. First defecation, abdominal distention, hospital cost, LOS and adverse events are directly printed. One NRS summary is printed without identifying whether it is the planned 6-, 24- or 48-h assessment; retained as AMBIGUOUS. Printed effect direction/CI oddities are preserved verbatim."
Wang 2023,11,5,16,11,0,0,5,6,0,0,0,Randomized 43 vs 45; analyzed 40 vs 43. POD3 PSQI/AIS and rest/activity VAS trajectories are graph-only where exact values are not printed; no visual digitization was performed. LOS and adverse-event counts are directly tabulated.
Tu 2024,10,5,15,10,2,0,5,0,0,0,0,"120 randomized; 115 analyzed (57 TEAS, 58 sham). Actual PDF confirms missing 0–2 h vomiting, nausea severity at all three intervals, early pain, metoclopramide rescue and zero TEAS AEs. The Results prose contains a typo for 2–6 h vomiting (P=0.47) while Table 3 and abstract report P=0.047; table value is authoritative for extraction."
Sun 2017,51,8,59,51,1,0,15,21,0,0,0,"380 randomized (95/arm); 361 analyzed: SSS 90, TSS 91, TTS 91, TST 89. Exact 1/6/48 h pain values are not printed and are retained GRAPH ONLY. Table 2 provides percentage/95%CI data for nausea, vomiting, rescue antiemetic and satisfaction; raw event counts were not reconstructed. Table 2 also gives arm-specific intraoperative opioid, extubation, PACU, flatus and defecation results."
Sim 2002,24,4,28,24,1,0,2,6,8,0,0,90 randomized/analyzed (30/group). Table 2 gives mean VAS over 24 h plus PONV/drowsiness/pruritus percentages. Individual 6-hourly VAS values are not numerically printed. Figure 3 gives interval morphine trajectories; exact non-6–12 h values are graph-only. Source provides exact Group III 6–12 h morphine and alfentanil values missing from v33.
Lu 2021,24,7,31,24,0,0,14,0,0,0,6,"Three-arm multicenter trial: sham 188, single-PC6 198, combined PC6+CV17 190. Main PDF directly supplies 24-h rest/cough NRS, rescue parecoxib, nausea, vomiting, PONV severity, satisfaction, immediate recovery, and 3/6-month pain data. There are internal P-value conflicts between Table 3 and Results prose for rest NRS, cough NRS and rescue analgesia; both are preserved."
Long 2025,12,7,19,12,3,0,10,0,0,0,1,"60 randomized, 53 analyzed. Table 7 gives 48-h VAS and LOS; Tables 5–6 give recovery and adverse-event data; Table 2 gives POD7 PND. Important source inconsistency: abstract reports 24-h EA VAS 2.65±0.94, whereas Table 7 reports 2.78±0.97; v33 uses the Table 7 value. PND percentages imply different denominators from the study-level analyzed group sizes and must remain flagged."
Wang 2024,12,9,21,12,0,0,7,0,5,0,0,"140 randomized by NVP-risk stratum; analyzed SNVP-ODT 33/35 and SNVP-OD 35/35, MNVP 35/35 per subgroup. Table 3 supplies all interval PONV counts. A combined 0–6 h vomiting comparison is printed for the SNVP stratum. Pain VAS was prespecified at the same postoperative assessment times but numerical pain results are not reported."
