"previous_covidence_number","next_covidence_number","missing_number_or_range","global_screening_sequence","segment_number","previous_vote_registered","queue_order_confirmed","visible_record_bypassed","status","action_taken","timestamp","notes"
"489","491","490","15","1","yes","yes","no","explained interface numbering gap","continued after confirming distinct next citation and detached prior card","2026-07-26T12:20:47.175Z","Non-consecutive Covidence ID in the ascending pending queue; no visible unscreened citation was bypassed."
"494","496","495","19","1","yes","yes","no","explained interface numbering gap","continued after confirming distinct next citation and detached prior card","2026-07-26T12:20:49.691Z","Non-consecutive Covidence ID in the ascending pending queue; no visible unscreened citation was bypassed."
"502","504","503","26","1","yes","yes","no","explained interface numbering gap","continued after confirming distinct next citation and detached prior card","2026-07-26T12:26:38.959Z","Non-consecutive Covidence ID in the ascending pending queue; no visible unscreened citation was bypassed."
"510","512","511","33","1","yes","yes","no","explained interface numbering gap","continued after confirming distinct next citation and detached prior card","2026-07-26T12:26:44.093Z","Non-consecutive Covidence ID in the ascending pending queue; no visible unscreened citation was bypassed."
"516","518","517","38","1","yes","yes","no","explained interface numbering gap","continued after confirming distinct next citation and detached prior card","2026-07-26T12:26:47.426Z","Non-consecutive Covidence ID in the ascending pending queue; no visible unscreened citation was bypassed."
"525","583","526-582","46","1","yes","yes","no","explained interface numbering gap","continued after confirming distinct next citation and detached prior card","2026-07-26T12:26:53.179Z","Non-consecutive Covidence ID in the ascending pending queue; no visible unscreened citation was bypassed."
"598","600","599","62","1","yes","yes","no","explained interface numbering gap","continued after confirming distinct next citation and detached prior card","2026-07-26T12:33:59.384Z","Non-consecutive Covidence ID in the ascending pending queue; no visible unscreened citation was bypassed."
"605","608","606-607","68","1","yes","yes","no","explained interface numbering gap","continued after confirming distinct next citation and detached prior card","2026-07-26T12:34:03.111Z","Non-consecutive Covidence ID in the ascending pending queue; no visible unscreened citation was bypassed."
"619","621","620","80","1","yes","yes","no","explained interface numbering gap","continued after confirming distinct next citation and detached prior card","2026-07-26T12:39:55.543Z","Non-consecutive Covidence ID in the ascending pending queue; no visible unscreened citation was bypassed."
"621","623","622","81","1","yes","yes","no","explained interface numbering gap","continued after confirming distinct next citation and detached prior card","2026-07-26T12:39:56.123Z","Non-consecutive Covidence ID in the ascending pending queue; no visible unscreened citation was bypassed."
"635","637","636","94","1","yes","yes","no","explained interface numbering gap","continued after confirming distinct next citation and detached prior card","2026-07-26T12:40:05.681Z","Non-consecutive Covidence ID in the ascending pending queue; no visible unscreened citation was bypassed."
"638","697","639-696","96","1","yes","yes","no","explained interface numbering gap","continued after confirming distinct next citation and detached prior card","2026-07-26T12:40:07.059Z","Non-consecutive Covidence ID in the ascending pending queue; no visible unscreened citation was bypassed."
"706","708","707","106","2","yes","yes","no","explained interface numbering gap","continued after confirming distinct next citation and detached prior card","2026-07-26T12:48:31.863Z","Non-consecutive Covidence ID in the ascending pending queue; no visible unscreened citation was bypassed."
"732","734","733","131","2","yes","yes","no","explained interface numbering gap","continued after confirming distinct next citation and detached prior card","2026-07-26T12:52:06.168Z","Non-consecutive Covidence ID in the ascending pending queue; no visible unscreened citation was bypassed."
"748","801","749-800","146","2","yes","yes","no","explained interface numbering gap","continued after confirming distinct next citation and detached prior card","2026-07-26T12:52:15.627Z","Non-consecutive Covidence ID in the ascending pending queue; no visible unscreened citation was bypassed."
"835","837","836","181","2","yes","yes","no","explained interface numbering gap","continued after confirming distinct next citation and detached prior card","2026-07-26T13:00:14.404Z","Non-consecutive Covidence ID in the ascending pending queue; no visible unscreened citation was bypassed."
"851","904","852-903","196","2","yes","yes","no","explained interface numbering gap","continued after confirming distinct next citation and detached prior card","2026-07-26T13:00:24.316Z","Non-consecutive Covidence ID in the ascending pending queue; no visible unscreened citation was bypassed."
