model_id,label,certainty,risk_of_bias,inconsistency,indirectness,imprecision,publication_bias,risk_of_bias_downgrades,inconsistency_downgrades,indirectness_downgrades,imprecision_downgrades,publication_bias_downgrades,reviewer,review_date,decision_status
opioid24_TEAS_sham,V38 DELEGATED AI REVIEW COMPLETE,Low,Serious: Szmit exact assessments have prespecification concerns; usual-care arm additionally has possible co-intervention differences. No missing linkage remains.,Not downgraded solely for one trial; consistency cannot be assessed.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Serious: body-specific N=48 or N=47 and intervals cross registered 10mg benefit threshold. Crossing the supportive 8mg threshold is not a second independent reason to downgrade.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,0,0,1,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
opioid24_EA_sham,V38 DELEGATED AI REVIEW COMPLETE,Not rated — insufficient evidence,No eligible quantitative evidence body.,No eligible quantitative evidence body.,No eligible quantitative evidence body.,No eligible quantitative evidence body.,No eligible quantitative evidence body.,0,0,0,0,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
opioid24_TEAS_usual,V38 DELEGATED AI REVIEW COMPLETE,Low,Serious: Szmit exact assessments have prespecification concerns; usual-care arm additionally has possible co-intervention differences. No missing linkage remains.,Not downgraded solely for one trial; consistency cannot be assessed.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Serious: body-specific N=48 or N=47 and intervals cross registered 10mg benefit threshold. Crossing the supportive 8mg threshold is not a second independent reason to downgrade.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,0,0,1,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
opioid24_EA_usual,V38 DELEGATED AI REVIEW COMPLETE,Very low,Serious: El-Rakshy High for informative attrition/conflicting population descriptions; Seeva Some concerns.,Serious: divergent effects under different perioperative regimens; k=2 cannot establish stable magnitude.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Very serious: safeguarded HK interval allows very large benefit and harm; N=159.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,1,0,2,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
ponv24_TEAS_sham,V38 DELEGATED AI REVIEW COMPLETE,Low,"Serious: all components reviewed; variable sensory masking, exclusions and prespecification concerns remain. He primary PONV is Low risk.",Serious: variation across surgery/prophylaxis and prediction interval near/beyond null make a new-setting magnitude uncertain.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.","Not downgraded: N=3447, average RR CI 0.52–0.79 supports reduction; across-setting uncertainty counted above.","No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,1,0,0,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
nausea24_EA_usual,V38 DELEGATED AI REVIEW COMPLETE,Very low,"Serious: open-label reporting (especially nausea), co-intervention and prespecification concerns.",No separate inconsistency downgrade: two studies cannot distinguish heterogeneity from very imprecise estimates.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Very serious: safeguarded k=2 intervals allow very large benefit and harm.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,0,0,2,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
vomiting24_EA_usual,V38 DELEGATED AI REVIEW COMPLETE,Very low,"Serious: open-label reporting (especially nausea), co-intervention and prespecification concerns.",No separate inconsistency downgrade: two studies cannot distinguish heterogeneity from very imprecise estimates.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Very serious: safeguarded k=2 intervals allow very large benefit and harm.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,0,0,2,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
nausea24_TEAS_sham,V38 DELEGATED AI REVIEW COMPLETE,Very low,Serious: result-specific missingness/prespecification concerns; nausea additionally vulnerable to sensory masking. Observable vomiting is not automatically High when patients know treatment.,Serious: effects and clinical contexts vary enough to undermine stable magnitude.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Serious: intervals allow substantial reductions and no benefit/increased risk.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,1,0,1,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
vomiting24_TEAS_sham,V38 DELEGATED AI REVIEW COMPLETE,Very low,Serious: result-specific missingness/prespecification concerns; nausea additionally vulnerable to sensory masking. Observable vomiting is not automatically High when patients know treatment.,Serious: effects and clinical contexts vary enough to undermine stable magnitude.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Serious: intervals allow substantial reductions and no benefit/increased risk.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,1,0,1,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
vomiting24_TEAS_usual,V38 DELEGATED AI REVIEW COMPLETE,Very low,Very serious: entire Pan body High for informative exclusions (external analgesia/PCIA) and internally conflicting flow counts; observed vomiting itself not High measurement risk.,Not downgraded solely for one trial; consistency cannot be assessed.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Serious: N=105/28 events; interval from large reduction to nearly no reduction.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",2,0,0,1,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
