screening_sequence,batch_checkpoint,covidence_number,title,first_author,publication_year,publication_language,abstract_available_yes_no,decision_yes_maybe_no,primary_reason_code,evidence_supporting_decision,concise_private_rationale,confidence_high_medium_low,record_type,protocol_or_results,actual_clinical_results_reported_yes_no_unclear,outcomes_planned_only_yes_no_not_applicable,general_anaesthesia_yes_no_unclear,randomized_yes_no_unclear,active_comparator_type,common_background_care_balanced_yes_no_unclear,ERAS_identical_between_groups_yes_no_not_applicable_unclear,intervention_effect_separable_yes_no_unclear,timing_eligible_yes_no_unclear,timing_description,surrogate_only_yes_no_unclear,translation_required_yes_no,possible_companion_report_yes_no,vote_registered_yes_no,post_vote_timestamp,interface_issue,notes
1,050,269,Transcutaneous electrical acupoint stimulation versus dexamethasone for prophylaxis of postoperative nausea and vomiting in breast surgery: A non-inferiority randomized controlled trial.,Zhang,2023,English,yes,No,EXCLUDE_INELIGIBLE_ACTIVE_COMPARATOR,The only two randomized arms were PC6 TEAS and intravenous dexamethasone; no sham TEAS usual-care or no-stimulation arm was reported.,Direct TEAS-versus-active-drug comparison without an eligible control contrast.,high,primary_results,results,yes,not_applicable,unclear,yes,dexamethasone,no,not_applicable,yes,yes,TEAS began 0.5 hours before anaesthesia induction and continued in PACU and ward.,no,no,no,yes,2026-07-23T14:22:12.650Z,,
2,050,270,Effects of transcutaneous electrical acupoint stimulation (TEAS) on postoperative pain in patients undergoing gastric and esophageal ESD surgery: a study protocol for a prospective randomized controlled trial.,Chang,2023,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,The title and abstract explicitly describe a planned trial and use future-tense methods without participant outcome results.,Study protocol rather than an original results publication.,high,protocol,protocol,no,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T14:23:00.405Z,,ChiCTR2100052837; planned study title matches the publication title; corresponding author not visible in the Covidence record.
3,050,271,"Effects of electroacupuncture at Baihui and Dazhui on perioperative neurocognitive impairment and S100-β, LC3-II, Beclin-1 in patients with colon cancer.",Ye,2023,English,yes,Maybe,UNCERTAIN_RANDOMIZATION,The concurrent EA and sham-EA groups otherwise appear eligible but the abstract only states that patients were placed in observation and control groups without describing random allocation.,Full text could plausibly confirm randomized allocation despite ambiguous group-assignment wording.,medium,primary_results,results,yes,not_applicable,yes,unclear,sham electroacupuncture,yes,not_applicable,yes,yes,Electroacupuncture was delivered as pre-stimulation before elective colon cancer surgery.,no,no,no,yes,2026-07-23T14:23:39.390Z,,
4,050,272,"[Clinical observation on electroacupuncture at ""four points of sacral region"" on moderate to severe stress urinary incontinence after radical prostatectomy].",Chu,2023,Chinese,yes,No,EXCLUDE_TIMING,Electroacupuncture was used as a prolonged treatment course for established postoperative stress urinary incontinence rather than during the acute perioperative window.,Treatment of a chronic postoperative condition after acute recovery does not meet the required start by 24 postoperative hours.,high,primary_results,results,yes,not_applicable,unclear,unclear,transurethral Erbium laser,unclear,not_applicable,yes,no,EA every other day for multiple 12-session courses after established post-prostatectomy incontinence.,no,yes,no,yes,2026-07-23T14:24:13.673Z,,
5,050,273,[Effects of transcutaneous electrical acupoint stimulation on the postoperative sleep quality and inflammatory factors in frail elderly patients].,Zhang,2023,Chinese,yes,Yes,INCLUDE_CLEAR,Frail older adults undergoing laparoscopic colorectal cancer surgery were randomized to perioperative TEAS at named acupoints or the same care without electrical stimulation and clinical outcomes were reported.,Eligible randomized perioperative TEAS with an independently estimable no-stimulation comparison.,high,primary_results,results,yes,not_applicable,yes,yes,no stimulation,yes,not_applicable,yes,yes,TEAS began 30 minutes before surgery and continued intraoperatively with another session on the day of surgery.,no,yes,no,yes,2026-07-23T14:24:46.498Z,,
6,050,274,Effect of transcutaneous electrical acupoint stimulation on postoperative pain in pediatric orthopedic surgery with the enhanced recovery after surgery protocol: a prospective randomized controlled trial.,Li,2023,English,yes,No,EXCLUDE_POPULATION,The trial enrolled only children aged 3 to 15 years.,Paediatric-only population does not meet the adult age criterion.,high,primary_results,results,yes,not_applicable,yes,yes,sham TEAS,yes,yes,yes,yes,TEAS began 10 minutes before anaesthetic induction and continued through surgery.,no,no,no,yes,2026-07-23T14:25:18.826Z,,ChiCTR2200059577; identical ERAS protocol in both groups.
7,050,275,Effect of Acupoint Stimulation on Improving Gastrointestinal Motility in Patients After Gastrectomy: A Systematic Review and Meta-Analysis.,Cheng,2023,English,yes,No,EXCLUDE_PUBLICATION_TYPE,The title and methods explicitly identify a systematic review and meta-analysis of six prior studies.,Secondary evidence synthesis without original participant-level trial results.,high,systematic_review,results,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T14:25:52.489Z,,
8,050,276,Electroacupuncture for Pain Relief After Endoscopic Sinus Surgery: A Randomized Controlled Trial.,Yue,2023,English,yes,Yes,INCLUDE_CLEAR,Patients undergoing endoscopic sinus surgery were randomized to needle EA or sham EA beginning before surgery and continuing within hours after surgery with clinical recovery outcomes.,Eligible randomized perioperative EA with a separable sham comparison and timely stimulation.,high,primary_results,results,yes,not_applicable,yes,yes,sham electroacupuncture,yes,not_applicable,yes,yes,EA sessions began 2 hours before surgery and again 2 hours after surgery.,no,no,no,yes,2026-07-23T14:26:22.811Z,,ChiCTR1900024183.
9,050,278,[Effects of transcutaneous electrical acupoint stimulation at different times assisted general anesthesia on stress response of patients undergoing open posterior lumbar surgery].,Xu,2023,Chinese,yes,No,EXCLUDE_NO_ELIGIBLE_OUTCOME,The stated measurements were limited to heart rate blood pressure stress hormones cortisol and blood glucose without a clinical perioperative outcome or adverse-event assessment.,The record is an exclusively physiological and laboratory study despite otherwise eligible randomized perioperative TEAS.,high,primary_results,results,yes,not_applicable,yes,yes,sham TEAS,yes,not_applicable,yes,yes,TEAS was delivered for 30 minutes before induction or from incision through the end of surgery.,yes,yes,no,yes,2026-07-23T14:27:04.862Z,,
10,050,279,Effect of perioperative acupuncture-assisted general anesthesia on the anesthetic dosage required in adult surgical patients: a network meta-analysis of randomized controlled trials.,Qiu,2023,English,yes,No,EXCLUDE_PUBLICATION_TYPE,The title and methods explicitly identify a Bayesian network meta-analysis of 76 prior randomized controlled trials.,Secondary evidence synthesis without original participant-level trial results.,high,meta_analysis,results,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T14:27:55.711Z,,
