Canonicalstudy,Reconciliationbatch,Solreconciliationstatus,Solsourcecorrectionnote,Identitycorrection,Antigravitystudylabel,Antigravitystudykey,CovidenceinternalID,Candidatesourceresultsummary,Knownfabricatedpayloadsignatu,Antigravityauthorcontactflag,CorrectedRoB2complete,CorrectedselectedRoBresult,Correctedresulttimepoint,CorrectedoverallRoB2,Analysisreadiness,Masteruserule,Sourcesummarystatus,Sourcehierarchy,Projectsourcefolder,Reconciliationindex,Sourcenormalizedoutcomerows
Zhu 2022,Batch 19,FULL REPLACEMENT,Jin-labeled RoB is a different 103-patient morphine trial; true source is four-arm 413-randomized gynecologic EA/PONV study.,,Zhu 2022,381,1879896528,**Pain intensity during movement at 24h (NRS 0-10) (PRIMARY)**: Group Pre (n=101) 1.15 ± 1.02 vs Group 30 (n=98) 1.12 ± 1.03 vs Group Comb (n=100) 1.17 ± 1.1...,Yes,Yes,Yes,Postoperative vomiting,6-24 h,Some concerns,PARTIAL — selected RoB corrected; multi-arm outcome rows added,Use arm-specific denominators; shared usual-care comparator requires multi-arm handling,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,6
Zhou 2025,Batch 16,FULL REPLACEMENT,"Wrong analyzed n, acupoints/frequency, QoR-15 values and complete-data claim.",Antigravity 'Gao 2018' row rejected; Zhou 2025 restored from source-grounded extraction,(Antigravity matrix omitted/misidentified),,,"Source-grounded correction: 100 randomized (50/group), 97 analyzed (48 TEAS, 49 sham). Primary QoR-15 on POD1: 112.00 ± 10.67 vs 107.62 ± 10.27 (P=0.042). POD1 resting VAS median 3 (3-4) vs 4 (4-5); POD1 PONV 10/48 vs 19/49. Exact 0-24 h opioid dose/MME not reported; rescue tramadol only reported as POD1-3 binary use 6/48 vs 13/49.",No,No,Yes,Global QoR-15,POD1,High,PARTIAL — selected RoB corrected; source-normalized outcomes added,QoR-15 usable; exact 0-24 h opioid dose remains unreported,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,6
Zhou 2021,Batch 9,FULL REPLACEMENT,"Stored RoB changes journal/design/sham, intervention and flatus result.",,Zhou 2021,433,1879896611,**Cumulative postoperative systemic opioid consumption (equivalent dose of morphine in mg / IV MME) (PRIMARY)**: TG (n=41) 8.94 ± 3.66 mg vs CG Usual care (n...,Yes,Yes,Yes,Time to first flatus,Postoperative,High,PARTIAL — selected RoB corrected; source-normalized outcomes added,GI result usable with high RoB; opioid-equivalent result not strict 0-24 h,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,2
Zheng 2025,Batch 15,FULL REPLACEMENT,"Invented 80/80 complete trial, postoperative session and PONV counts.",,Zheng 2025,72,1879896014,"**Pain intensity at rest at 24h (NRS 0-10) (PRIMARY)**: TEAS (n=42) 1.70 ± 0.80 vs Sham TEAS (n=43) 2.20 ± 1.10 (P = 0.042*) [MD -0.50, 95% CI -0.91 to -0.09...",Yes,Yes,Yes,Any PONV,Within 24 h,Some concerns,PARTIAL — selected RoB corrected; source-normalized outcomes added,Use reported percentages; 24-h postoperative sufentanil mass remains unavailable,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,4
Zhan 2020,Batch 6,FULL REPLACEMENT,Stored RoB invents sham structure and 24-h sufentanil endpoint not reported by source.,,Zhan 2020,1389,1881841076,"**Pain intensity at rest at 24h (VAS 0-10) (PRIMARY)**: TAP+TEAS (n=30) 1.70 ± 2.20 vs TAP Control (n=30) 2.00 ± 3.00 (P = 0.03*) [MD -0.30, 95% CI -1.63 to ...",Yes,Yes,Yes,VAS pain intensity,24 h,High,PARTIAL — selected RoB corrected; source-normalized QC rows added,Pain source format remains ambiguous; actual 24-h opioid consumption not reported,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,2
Zhang 2025,Batch 15,FULL REPLACEMENT,"Changes surgery, sample, acupoints/schedule and pain/opioid results.",,Zhang 2025,71,1879896013,**Cumulative postoperative systemic opioid consumption at 24h (total sufentanil in IV MME) (PRIMARY)**: TEAS (n=45) 50.53 ± 4.46 mg vs Control Sham TEAS (n=4...,Yes,Yes,Yes,Total sufentanil consumption,POD1 (~24 h),High,PARTIAL — selected RoB corrected; source-normalized outcomes added,POD1 sufentanil is directly reported but strict 0-24-h clock window needs confirmation,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,3
Zhang 2023,Batch 12,FULL REPLACEMENT,Changes sample/analysis/intervention and fabricates first-voiding result.,,Zhang 2023,308,1879896412,**Cumulative postoperative systemic opioid consumption within 48h (IV MME)**: TEAS (n=922) median 110.0 mg (IQR 80.0-110.0) vs Sham TEAS (n=916) median 110.0...,Yes,Yes,Yes,Time to first spontaneous void,Postoperative,High,PARTIAL — selected RoB corrected; source-normalized urinary/opioid rows added,Use Table 2 median 7.1 h for sham; 24-h opioid dose remains unavailable,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,5
Zhang 2014,Batch 4,FULL REPLACEMENT,RoB describes a different trial and QoR-40 endpoint.,,Zhang 2014,711,1879897091,"**Intraoperative systemic remifentanil consumption rate (µg/kg/min)**: TEAS (n=33) 0.06 ± 0.02 vs Sham TEAS (n=32) 0.09 ± 0.03 (P = 0.01*) [MD -0.03, 95% CI ...",Yes,Yes,Yes,Recovery-room stay,Recovery-room discharge,Some concerns,PARTIAL — selected RoB corrected; source-normalized recovery/intraop-opioid rows added,Use flowchart 65 randomized/analyzed; no exact postoperative 24-h opioid total,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,5
Yu 2020,Batch 6,FULL REPLACEMENT,Changes protocol/result and incorrectly treats retrospective registration as prospective.,,Yu 2020,483,1879896692,"**Pain intensity at rest at 24h (VAS 0-10) (PRIMARY)**: TEAS (n=30) 3.70 ± 1.53 vs Con Sham TEAS (n=30) 4.73 ± 1.53 (P < 0.05*) [MD -1.03, 95% CI -1.81 to -0...",Yes,Yes,Yes,Global QoR-40,POD1 (~24 h),High,PARTIALLY READY — corrected RoB available for one selected result; confirm outcome matches planned synthesis,Use source data; DO NOT use original stored RoB. Rebuild result-specific RoB.,Candidate summary from Antigravity report; use only after source-level confirmation,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,1
Yeh 2010,Batch 2,SPECIAL / SOURCE-QC,Probable/possible cohort overlap with Yeh 2011; epidural morphine route requires clarification before systemic MME use.,,Yeh 2010,828,1879897280,**Cumulative postoperative systemic opioid consumption at 24h (PRIMARY)**: AES (n=30) 19.3 ± 9.7 mg vs Sham AES (n=30) 21.6 ± 13.1 mg (P = 0.443) [MD -2.30 m...,Yes,Yes,Yes,24-h morphine PCA dose,First 24 postoperative hours,Some concerns,SOURCE-NORMALIZED — DUPLICATE/OVERLAP HOLD,Do not count independently from Yeh 2011 until cohort overlap is resolved; PCA route is printed as epidural.,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,2
