assessment_id,result_id,study,question_id,short_question,answer,justification,final_domain_judgment,judgment_basis,source_text,source_pdf,result_location,reviewer,review_date
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,1.1,Random sequence?,Y,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,1.2,Concealed allocation?,NI,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,1.3,Baseline pattern suggests randomization failure?,PN,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,2.1,Participant aware?,PY,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,2.2,Care personnel aware?,PY,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,2.3,Trial-context deviations?,NI,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,2.4,Deviations affect outcome?,NI,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,2.5,Deviations balanced?,NI,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,2.6,Assignment-effect analysis appropriate?,PY,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,2.7,Analysis departure materially consequential?,NA,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
