sentinel_id,pmid,suspected_modality,pubmed_recall_denominator,retrieved_by_teas_line,retrieved_by_ea_line,retrieved_by_combined_v0_1,recall_result,investigation_or_note
S001,41604189,TEAS,yes,yes,no,yes,retrieved,"Retrieved by the intended TEAS line."
S002,39957303,TEAS,yes,yes,no,yes,retrieved,"Retrieved by the intended TEAS line."
S003,25926298,TEAS,yes,yes,yes,yes,retrieved,"Retrieved by TEAS; also mapped into the EA line because PubMed wording/indexing uses acupuncture/electrical terminology."
S004,20962656,TEAS,yes,yes,no,yes,retrieved,"Retrieved through contextual TENS-at-acupoints logic."
S005,24576720,TEAS,yes,yes,no,yes,retrieved,"Retrieved by the intended TEAS line."
S006,39943756,TEAS,yes,yes,no,yes,retrieved,"Retrieved by the intended TEAS line."
S007,24865978,TEAS,yes,yes,yes,yes,retrieved,"Retrieved by TEAS; also mapped into the EA line through PubMed indexing."
S008,24195218,TEAS,yes,yes,no,yes,retrieved,"Retrieved by reordered TEAS terminology."
S009,24579355,TEAS,yes,yes,no,yes,retrieved,"Retrieved through surface electrical stimulation at named acupuncture points."
S010,40691032,TEAS,yes,yes,no,yes,retrieved,"Retrieved by the intended TEAS line."
S011,26571899,TEAS,yes,yes,no,yes,retrieved,"Retrieved without an outcome requirement."
S012,9806695,TEAS,yes,yes,no,yes,retrieved,"Retrieved through contextual TENS-at-acupoints logic."
S013,26964180,TEAS,yes,yes,no,yes,retrieved,"Retrieved through acronym plus acupuncture/electrical context."
S014,34271271,TEAS,yes,yes,no,yes,retrieved,"Retrieved by the intended TEAS line."
S015,15385352,TEAS,yes,yes,yes,yes,retrieved,"Retrieved by electro-acupoint wording; intentional overlap between modality lines."
S016,11226090,TEAS,yes,yes,no,yes,retrieved,"Retrieved by reordered TEAS terminology."
S017,28527545,TEAS,yes,yes,no,yes,retrieved,"Retrieved through descriptive/indexed acupoint-device terminology."
S018,42145755,TEAS,yes,yes,no,yes,retrieved,"Retrieved by the intended TEAS line."
S019,33488793,TEAS,yes,yes,no,yes,retrieved,"Retrieved by the intended TEAS line."
S020,32062864,TEAS,yes,yes,no,yes,retrieved,"Retrieved by the intended TEAS line."
S021,31915045,TEAS,yes,yes,no,yes,retrieved,"Retrieved through TEAS acronym context and exact terminology in metadata."
S022,33603487,TEAS,yes,yes,no,yes,retrieved,"Retrieved by the intended TEAS line."
S023,27776761,EA,yes,no,yes,yes,retrieved,"Retrieved by the intended electroacupuncture line."
S024,28105066,EA,yes,no,yes,yes,retrieved,"Retrieved by the intended electroacupuncture line."
S025,29391879,EA,yes,no,no,no,missed,"PubMed title and abstract say only acupuncture; the record has no MeSH headings and contains no electrical, electroacupuncture, needle, current, or stimulation term. The prior local full text clearly describes filiform needles connected to an electronesthesia device. Retrieving it would require a generic acupuncture backstop that would intentionally retrieve excluded manual and other acupuncture modalities."
S026,,TEAS,no,not_applicable,not_applicable,not_applicable,outside_denominator,"Previous-review exact DOI/title checks found no PubMed record; no PubMed query can retrieve a non-indexed report. Retained for later database validation."

