item,study,body,current,ceiling,include_requires,sensitivity_if,exclude_if,hold_if,notes
C1,Jin 2023,EA vs sham,HOLD,INCLUDE,"GA confirmed (or GA-subset arm data); verified fentanyl concentration so delivered mL x ug/mL; all pump opioids factored; G3 a,b,c,e","GA confirmed but concentration missing or volume programmed/demanded","all neuraxial; or mixed with no GA-subset data",,Active arms combined vs sham
C2,Xie 2014,EA vs sham,HOLD,INCLUDE (realistically SENSITIVITY),"delivered 0-24 h sufentanil total with SD AND no participant received dezocine or other unfactored opioid within 0-24 h; G3 a,b,e","dezocine within 0-24 h in any participant; or only 48 h / whole-period total",,,"Table 2 133/134 vs text 133.5/134.3: table retained unless authors confirm (G9); arm A classed by G10"
C3,Yeh 2010/2011,TEAS vs sham,HOLD,INCLUDE,"IV route AND cohort relationship resolved (family contributes one result); G3 a,b,c,e",,epidural/neuraxial 24-h opioid,IV confirmed but cohort relationship unresolved,Family counted once regardless
C4,Ntritsou 2014,EA vs sham,EXCLUDE,EXCLUDE,none possible (tramadol unfactored),,always for IV-MME bodies,,Reply used for narrative accuracy only
D1,Chen 1998,TEAS vs sham,SENSITIVITY,INCLUDE,"supplemental 0-24 h analgesics non-opioid AND 24-h hydromorphone total includes PACU and is delivered; OR supplemental opioid factored with combined total + SD","factored supplemental opioid as components only; or any unfactored supplemental opioid",,,Group I with current anywhere -> active control (G10)
D2,Lee 2011,TEAS vs sham,SENSITIVITY,INCLUDE,"no recovery-room opioid or included in Table 8 delivered dose; or combined factored total + SD; sham interval-sum discrepancy resolved; G3 a-e","recovery-room components only; or interval-sum discrepancy unresolved",,,Groups 3+4 combined vs Group 2
D3,Lin 2002,EA vs sham,SENSITIVITY,INCLUDE (realistically SENSITIVITY),"no participant in compared arms received pethidine or any opioid before PCA connection; G3 a,e",any pethidine in compared arms,,,Groups III+IV combined vs Group II
D4,Sim 2002,EA vs sham,SENSITIVITY,INCLUDE,"absolute delivered morphine mg per arm with SD, 0-24 h from end of surgery; no other opioid or included+factored with combined SD",body-weight summaries only,,,Intraop alfentanil outside window; Groups II+III vs I
D5,Coura 2011,EA vs sham,SENSITIVITY (UNDELIVERED),INCLUDE,"absolute delivered fentanyl ug per arm with SD, end of surgery to 24 h; sedative-infusion opioid absent or included+factored","unfactored opioid in sedative infusion; or weight summaries only",,,Stands until a working route delivers (G7); as-analysed 13 vs 9 accepted
B1,Chen 2020,TEAS vs sham,SENSITIVITY,INCLUDE,"delivered sufentanil (basal + delivered demand) end of surgery to 24 h per arm with SD; rescue none or factored in combined total + SD","demand-only totals; or unfactored rescue",,,G11: suf 0.25/1.0 become mandatory sensitivities for principal body; 48-h totals never qualify
B2,He 2026 hepatectomy,TEAS vs sham,SENSITIVITY,INCLUDE,"IV MME confirmed with drug list and factors matching registered factors; or native totals supplied and recomputed; G3 a,b,c,e","oral MME without native totals; factor mismatch without native totals; any unfactored opioid; weight-normalised without absolute totals",,,No oral-to-IV factor assumed
