TEASEASystematicReviewReco,B,C,D,E,F,G,H
,,,,,,,
Version,v26 reconciliation-complete / final-lock-ready — 2026-09-06,,,,,,
Purpose,"v26 preserves v20, the normalized A–F lock, result-specific RoB/P1 dispositions, and provisional Stata exports; the prior JAMA Surgery scope hold is resolved as a full-text exclusion for wrong outcomes.",,,,,,
Canonical inventory,63 source studies/reports. The 61-PDF Sol master was supplemented with two distinct Chen 2015 trials. Antigravity's unsupported 'Gao 2018' row is excluded; Zhou 2025 is restored from its source-grounded extraction.,,,,,,
Source hierarchy,Source PDF / supplement / protocol / registration > reconciled source-grounded extraction > derivative AI/model output > Covidence shell/payload.,,,,,,
Critical rule,No majority vote between models. Missing/unreported data remain missing. Graph-derived/calculated values must remain explicitly labelled as derived.,,,,,,
RoB 2,RoB 2 is result-specific. The legacy v20 Corrected_RoB2/analysis sheets retain their v20 selected-result judgments; AF_Result_Lock now contains the newer source-verified A–F result-level D1–D5/overall judgments and should govern Targets A–F.,,,,,,
Antigravity use,"Antigravity's forensic audit is retained as a comparison source, but its study/file mappings and payload values are not accepted automatically. Candidate source summaries remain visibly labelled.",,,,,,
Analysis readiness,"Rows marked NOT READY/SOURCE-QC REQUIRED in v20, or P1/HOLD/EXCLUDE in the A–F lock, must not be used as final meta-analysis inputs until the stated issue is resolved or explicitly handled by the prespecified analysis plan.",,,,,,
Project Drive,https://drive.google.com/drive/folders/1Hpaqqh2FjNKSIm4jRTJWNOfoi3YfyUNj,,,,,,
Reconciliation index,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,,,,,,
A–F reconciliation,COMPLETE. No additional broad source-reconciliation pass is required.,,,,,,
JAMA Surgery colorectal EA,Excluded at full text for wrong outcomes. It is not part of the 63-study included dataset and no Target-E row should be added.,,,,,,
Yeh publication family,Potential overlap remains encoded as a non-independence hold; do not pool both independently.,,,,,,
Stata status,"READY. Use Stata_Opioid24_Primary, Stata_AF_Long, and Stata_Manifest for analysis/QC.",,,,,,
Final dataset status,READY TO FREEZE after running the prespecified Stata verification and sensitivity analyses.,,,,,,
Data preservation,Original v20 Outcome_Data and analysis sheets remain unchanged; reconciled analyses use Outcome_Data_AF_LOCK.,,,,,,
Safety rule,Do not promote narrative/undefined/sensitivity-only outcomes into primary models without the encoded prespecified rule.,,,,,,
