report,trial_id,modality,comparator,tier,basis,n_outcome_mentions,excerpt,checked,documented_reason,E2_disposition
Chen 2015,Chen_2015,TEAS,Sham-Controlled (Placebo Double-Blind),B1,Opioid-outcome phrase co-located with a 24-hour window marker AND numeric data,3,"with the control group (168 [154-183]) (P < 0.001). Compared with the control group, postoperative pain intensity and the cumulative number of opioids administered was lower in the TEAS group patients (P < 0.001). TEAS reduced the incidence of PONV and dizziness (P = 0.001), as well as the duration of PACU",B1: extracted under E2,A5 (count; median/IQR not converted per Methods line 317); A2 (window unstated),NOT ADMITTED
Gu 2019,Gu_2019,TEAS,Sham-Controlled (Placebo Double-Blind),B1,Opioid-outcome phrase co-located with a 24-hour window marker AND numeric data,9,"39 vs. 2.72 ± 0.73) were significantly decreased in the L-TEAS group (P < 0.05) after the operation. Compared to the C-TEAS group, analgesic consumption at 4 h (10.02 ± 2.26 vs. 13.38 ± 2.98), 8 h (20.55 ± 4.59 vs. 24.63 ± 3.94) and 36 h (72.64 ± 9.74 vs. 76.01 ± 10.43) was significantly decreased in the L-TEAS group",B1: extracted under E2,A5 (24-h value printed only as a plotted point; review has never read values off figures),ADMITTED under E2.1 (figure digitised) — FLAGGED source contradiction; leave-out sensitivity mandatory
Tu 2024,Tu_2024,TEAS,Sham-Controlled (Placebo Double-Blind),B1,Opioid-outcome phrase co-located with a 24-hour window marker AND numeric data,5,"The pain score was measured using a standard VAS at 0–2, 2–6, and 6–24 h after craniotomy. The total rescue antiemetic and analgesic dosages 0–24 h after craniotomy were recorded. The reasons for withdrawal and TEAS adverse events, including malignant arrhythmia, abnormal blood pressure fluctuations",B1: extracted under E2,A4 (tramadol unfactored) and A5 (count of patients only),NOT ADMITTED
Wu 2025,Wu_2025,TEAS,Sham-Controlled (Placebo Double-Blind),B1,Opioid-outcome phrase co-located with a 24-hour window marker AND numeric data,11,"Interestingly, while an earlier systematic review corroborated that TEAS can reduce the frequency and dosage of postoperative opioid usage,30,31 there was no significant difference in the oral doses of oxycodone and acetaminophen between the two groups of patients in this trial. Although opioids are recommended",B1: extracted under E2,A4 (oxycodone unfactored; oral route; tablets),NOT ADMITTED
Yang 2020,Yang_2020,EA,Usual Care (Open-Label Control),B1,Opioid-outcome phrase co-located with a 24-hour window marker AND numeric data,3,"to achieve adequate pain scores. Minimally invasive techniques combined with a multimodal analgesic regimen, including lower opioid dose and PVB application, may produce sufficient postoperative pain relief, leading to little scope for improvement with EA. Variables EA group UC group P 0–24 h after surgery",B1: extracted under E2,A5 (no opioid quantity reported); A4 (bucinnazine unfactored),NOT ADMITTED
Zhang 2025,Zhang_2025,TEAS,Sham-Controlled (Placebo Double-Blind),B1,Opioid-outcome phrase co-located with a 24-hour window marker AND numeric data,9,"Between the Two Groups on POD1 Compared with the control group, patients in the TEAS group exhibited significantly reduced total sufentanil consumption (mean differece= −3.26, 95% CI [−5.25, −1.27], P=0.002), total PCIA bolus demands (mean differece= −1.75, 95% CI [−2.96, −0.53], P<0.001), and rescue",B1: extracted under E2,A2 (POD1 not defined as first 24 h),ADMITTED under E2.1 (POD1 taken as first 24 h)
Zhou 2025,Zhou_2025,TEAS,Sham-Controlled (no current output),B1,Opioid-outcome phrase co-located with a 24-hour window marker AND numeric data,3,"time point, and the scores for each dimension were analyzed separately. Secondary outcomes included: (1) Postoperative pain and analgesic consumption: Pain levels were measured using a Visual Analog Scale (VAS) at rest and during exercise (coughing and movement) preoperatively and on POD 1, 2, and 3. Rescue",B1: extracted under E2,A4 (tramadol unfactored); A5 (proportion only); A2 (72 h),NOT ADMITTED
Zhu 2022,Zhu_2022,EA,Usual Care (Open-Label Control),B1,Opioid-outcome phrase co-located with a 24-hour window marker AND numeric data,4,"422 Acupuncture in Medicine Acupuncture in Medicine, 40(5) Table 3. Severity of postoperative pain on movement (NRS), analgesic requirements, time to passage of first flatus after surgery and QoR score. Variable Group Pre (n = 101) Group 30 (n = 98) Group Comb (n = 100) Group Usual (n = 101) F DF p value",B1: extracted under E2,A4/A5 (no opioid quantity; non-opioid rescue),NOT ADMITTED
Ao 2021,Ao_2021,TEAS,Sham-Controlled (Placebo Double-Blind),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",5,"electrical acupoint stimulation. EXPERIMENTAL AND THERAPEUTIC MEDICINE 21: 184, 2021 5 and lower analgesic consumption. In addition, the incidences of nausea, vomiting and headache were lower in the TEAS group, which suggested that TEAS could attenuate the incidence of adverse",B2: re-checked under E2,A2 (48 h); X1/X3 (mL of weight-based concentration cannot be converted without individual weights),NOT ADMITTED
Grech 2016,Grech_2016,EA,Usual Care (Open-Label Control),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",2,"the sham control in a rat model of bone cancer pain [24]. 2.2. Clinical end-points All analgesic treatments were converted to morphine equivalents of milligrams. Pain score (0e10) was determined using a visual analog scale. The Quality of Recovery scores, a nine-item validated tool (with a maximum best possible",B2: re-checked under E2,A2 (PACU-only and 3-day windows; no 24-h value),NOT ADMITTED
