study,result_assessed,timepoint_window,effect_of_interest,comparison,randomized_n_int,randomized_n_comp,analyzed_n_int,analyzed_n_comp,d1_judgement,d1_rationale,d2_judgement,d2_rationale,d3_judgement,d3_rationale,d4_judgement,d4_rationale,d5_judgement,d5_rationale,overall_draft,differs_from_existing,why_it_differs,registration_id,key_quotes,assessor_uncertainty,result_id,assessment_status,adjudicated_by,adjudicated_on,source_sha256,source_verified_by,disposition
Tu 2024,Binary rescue opioid use (0-24h/POD1),0–24 h / POD1,Assignment to intervention,TEAS vs sham TEAS,60,60,57,58,Low,1.1=Y computer-generated list; 1.2=Y sealed opaque sequentially numbered envelopes; 1.3=N no concerning baseline imbalance reported.,Some concerns,"Assignment effect. 2.1=Probably no (patients stated unaware), but active de-qi vs severed-wire no-current sham may compromise sensory masking; 2.2=Yes for intervention personnel/ward doctors. Rescue was protocol-triggered at VAS>6, reducing discretion. 2.3-2.5 no clear differential deviation; 2.6 complete-case rather than full randomized analysis; 2.7 exclusions could matter.",Some concerns,3.1=N: 57/60 vs 58/60 analysed. Five post-randomization clinical exclusions; one sham exclusion was vomiting from intracranial hypertension. For rescue tramadol the dependence of missingness on true rescue need is uncertain.,Some concerns,"4.1=N: any IM tramadol is a valid binary outcome. 4.2=Probably no: same VAS>6 rule. 4.3=Doctors deciding medication were not clearly stated blinded, although outcome assessors/data collectors were. 4.4-4.5 possible but protocol threshold limits influence.",Some concerns,"5.1=Some concerns: registry and published protocol cited, but exact prespecified analysis for this binary rescue result was not independently verified here; 5.2/5.3 multiple postoperative intervals/treatments existed.",Some concerns,Yes,"Result-specific reassessment for Binary rescue opioid use (0-24h/POD1); existing overall (High) concerned Vomiting incidence. Draft overall is Some concerns because domains relevant to this result differ, especially outcome generation/measurement and missingness.",ChiCTR-TRC-13003026,"p2: 'Patients with a visual analog scale (VAS) pain score of >6 received an intramuscular injection of 10 mg tramadol.' | p2: 'All patients were unaware of the group to which they were assigned. Outcome assessors, data collectors, and statisticians were also blinded.' | p2: 'registered ... ChiCTR-TRC-13003026.'",Published protocol/registry should be checked directly for prespecification of binary rescue tramadol and analysis method.,bff0cfe3142f94d1,PREPARATORY DRAFT — NOT ADJUDICATED,,,d8c202e815c1f83f2578cb305112115dc3edc2912ffe74e89df7ec897abce8bc,,PENDING HUMAN ADJUDICATION
Liu 2026 (burn),Binary rescue opioid use (0-24h/POD1),0–24 h / POD1,Assignment to intervention,TEAS vs placebo/sham TEAS,44,44,43,43,Low,1.1=Y randomized trial; 1.2=adequate concealment reported in source audit; 1.3=N no material baseline concern identified.,Some concerns,"Assignment effect. Rescue dezocine was standardized; all rescue users received one 5-mg IM dose and no repeat dose. Participant/carer masking is not fully demonstrated in the material available, so 2.1-2.2 retain some concern; no clear differential deviation; analysis excluded one per arm.",Low,3.1=Y/nearly all: 43/44 per arm contributed; balanced one-per-arm loss. 3.2-3.4 little evidence that this small balanced loss depended on true rescue use.,Low,4.1=N binary administration is objective; 4.2=N same rescue regimen; 4.3-4.5 no evidence that recording differed. Standardized single-dose rescue reduces assessor discretion.,Some concerns,"5.1=Some concerns because exact preregistration of this rescue endpoint/analysis was not verified; 5.2-5.3 source contains a P-value conflict (table 0.106 vs prose 0.430), although raw 3/43 vs 8/43 is stable.",Some concerns,No,"Result-specific reassessment for Binary rescue opioid use (0-24h/POD1); existing overall (Some concerns) concerned Intraoperative remifentanil consumption. Same overall category, but domain rationale is result-specific and was reassessed.",Registration reported in source; exact ID requires source-page verification,Source audit: 'All rescue users received one 5-mg IM dezocine dose; no repeat rescue doses were required.' | Result: 3/43 vs 8/43. | Publication discrepancy: table P=0.106; prose P=0.430.,Need registry/protocol and exact rescue-trigger/blinding text; published P-value conflict should remain flagged.,44ac970e9c2f29bd,PREPARATORY DRAFT — NOT ADJUDICATED,,,d8c202e815c1f83f2578cb305112115dc3edc2912ffe74e89df7ec897abce8bc,,PENDING HUMAN ADJUDICATION
Yu 2020,Binary rescue opioid use (0-24h/POD1),0–24 h / POD1,Assignment to intervention,Preoperative TEAS vs control/no current,30,30,30,30,Some concerns,1.1 random assignment reported; 1.2 concealment insufficiently documented in currently retrieved evidence; 1.3 no major baseline signal.,Some concerns,"Assignment effect. Sensory masking and rescue-decision blinding are incompletely reported. Exact rescue sufentanil trigger/dose was not reported, leaving potential clinician discretion; no evidence of major deviations otherwise; all 60 analysed.",Low,3.1=Y 30/30 vs 30/30; 3.2-3.4 no missing outcome data for this result.,Some concerns,4.1=N binary rescue use is valid. 4.2 unclear because exact trigger is not reported. 4.3 rescue decision-maker blinding unclear. 4.4-4.5 knowledge could influence discretionary rescue administration.,Some concerns,5.1=Some concerns: registration was retrospective; exact prespecification not secure. 5.2/5.3 multiple pain/rescue measurements possible.,Some concerns,Yes,"Result-specific reassessment for Binary rescue opioid use (0-24h/POD1); existing overall (High) concerned Global QoR-40. Draft overall is Some concerns because domains relevant to this result differ, especially outcome generation/measurement and missingness.",Registration reported as retrospective in source audit; exact ID needs source verification,24-h rescue-sufentanil result: 13/30 vs 24/30; P<0.01. | Source audit: 'Rescue sufentanil dose and exact trigger not reported; registration retrospective.',"Need full Methods/registry for allocation concealment, rescue trigger/dose, decision-maker blinding and prespecified analysis.",c40e932759d696dd,PREPARATORY DRAFT — NOT ADJUDICATED,,,d8c202e815c1f83f2578cb305112115dc3edc2912ffe74e89df7ec897abce8bc,,PENDING HUMAN ADJUDICATION
Zheng 2025,Intraoperative remifentanil,Intraoperative,Assignment to intervention,TEAS vs no-current sham,45,45,42,43,Low,1.1=Y computer random generator by third-party statistician; 1.2=Y sequential opaque sealed envelopes; 1.3=N no concerning baseline imbalance identified.,Some concerns,"Assignment effect. 2.1 participants blinded; 2.2 anesthesiologists explicitly unblinded. Remifentanil was adjusted to keep MAP within 20% of baseline, which protocolises dosing, but the unblinded anesthesiologist still controlled the titration. No specific differential deviation documented; analysis is complete-case.",Low,3.1=nearly all: 42/45 vs43/45 completed; exclusions were prespecified trial withdrawal conditions. No clear evidence missingness depended on remifentanil consumption.,Low,"4.1=N dose recording is objective; 4.2=N same anesthesia algorithm; 4.3 recorder may be unblinded anesthesiologist, but 4.4-4.5 recording the administered dose itself is unlikely to be distorted; allocation influence belongs mainly in D2.",Some concerns,"5.1=Some concerns: trial registered, but protocol available only on request and exact prespecified remifentanil analysis not verified; 5.2/5.3 several anesthetic/recovery endpoints.",Some concerns,No,"Result-specific reassessment for Intraoperative remifentanil; existing overall (Some concerns) concerned Any PONV. Same overall category, but domain rationale is result-specific and was reassessed.",ChiCTR2200058283,p3: 'All participants and outcome assessors remained blinded ... Although the anesthesiologists were unblinded...' | anesthesia: 'The remifentanil infusion rate was adjusted to maintain MAP within 20% of MAP0.' | p2: 'ChiCTR2200058283'.,Registry/protocol should confirm remifentanil was prespecified and whether the anesthesiologist recording/titrating dose had any permitted discretion beyond MAP algorithm.,92534778b853e52a,PREPARATORY DRAFT — NOT ADJUDICATED,,,d8c202e815c1f83f2578cb305112115dc3edc2912ffe74e89df7ec897abce8bc,,PENDING HUMAN ADJUDICATION
Wu 2022,Intraoperative remifentanil,Intraoperative,Assignment to intervention,pTEAS vs control,45,45,44,40,Some concerns,1.1 randomization reported; 1.2 concealment details insufficient; 1.3 no decisive baseline problem.,Some concerns,"Assignment effect. Anesthetist masking/titration details are incomplete; remifentanil is clinician-titrated, so awareness could affect dosing. No documented major deviations.",Some concerns,3.1=N: 44/45 vs40/45 analysed (6/90 excluded; imbalance 1 vs5). Dependence of exclusions on true intraoperative opioid requirement cannot be excluded.,Low,"4.1=N objective administered dose; 4.2 no evidence recording differed; 4.3 assessor/recorder awareness uncertain; 4.4-4.5 dose recording itself unlikely to be influenced, while titration concern is D2.",Some concerns,5.1-5.3 prespecification not verified; multiple anesthetic endpoints possible.,Some concerns,Yes,"Result-specific reassessment for Intraoperative remifentanil; existing overall (High) concerned VAS pain intensity. Draft overall is Some concerns because domains relevant to this result differ, especially outcome generation/measurement and missingness.",NO REGISTRATION FOUND in currently retrieved evidence,"Source audit: remifentanil 1383±494 vs 1637±630 μg; P=0.042. | Source audit: '6/90 excluded, imbalance 1 vs5.'","Need full allocation-concealment, anesthesiologist masking/titration protocol and registration/SAP.",25c60ed29d7de87e,PREPARATORY DRAFT — NOT ADJUDICATED,,,d8c202e815c1f83f2578cb305112115dc3edc2912ffe74e89df7ec897abce8bc,,PENDING HUMAN ADJUDICATION
Wu 2025,Intraoperative remifentanil,Intraoperative,Assignment to intervention,PACU TEAS vs sham/no current,50,50,50,50,Some concerns,1.1 randomization reported but sequence/concealment details need source confirmation; 1.3 no major baseline issue.,Low,"Assignment effect for intraoperative exposure is conceptually problematic: TEAS/randomized treatment occurred after surgery in PACU, so intraoperative opioid exposure precedes the intervention. It cannot be caused by assigned PACU TEAS; no intervention-related deviation can affect it.",Low,3.1=Y 50/50 vs50/50 for Table 1 intraoperative exposure.,Some concerns,"4.1=N objective dose; 4.2 no differential measurement expected. However, because this is pre-intervention exposure rather than a treatment outcome, interpretation as an outcome is inappropriate even if measurement itself is objective.",Some concerns,5.1-5.3 unclear whether this baseline/pre-intervention exposure was prespecified as an outcome; likely descriptive Table 1 information.,Some concerns,Yes,"Result-specific reassessment for Intraoperative remifentanil; existing overall (High) concerned VAS pain intensity. Draft overall is Some concerns because domains relevant to this result differ, especially outcome generation/measurement and missingness.",Registration not verified in current audit,Source audit: 'Randomization/TEAS occurred after surgery in PACU.' | Table 1 remifentanil 489.4±226.0 vs533.8±263.6 μg; sufentanil 24.2±9.5 vs24.3±10.9 μg.,This should be excluded as a treatment-effect outcome regardless of RoB. Verify timing of randomization itself relative to surgery.,ed6b19016d14704e,PREPARATORY DRAFT — NOT ADJUDICATED,,,d8c202e815c1f83f2578cb305112115dc3edc2912ffe74e89df7ec897abce8bc,,EXCLUDED: outcome predates PACU randomization
Ntritsou 2014,Intraoperative remifentanil,Intraoperative,Assignment to intervention,EA vs sham acupuncture,37,38,37,38,Some concerns,1.1=Y computer-generated sequence; 1.2=probably yes/unclear details: randomization concealed by anaesthesiology director; 1.3 no baseline concern.,Some concerns,"Assignment effect. Participants/observer blinded, but intraoperative anaesthetists knew allocation during EA application. For intraoperative opioid exposure this awareness could influence dosing; the paper does not establish a strict remifentanil titration algorithm.",Low,3.1=Y/nearly all for reported intraoperative exposure; no material missingness identified.,Low,"4.1=N objective administered drug amount; 4.2=N same recording method; 4.3 intraoperative clinicians aware, but 4.4-4.5 recording is objective; concern about dosing belongs D2.",Some concerns,5.1-5.3 no registry/protocol/SAP located; multiple perioperative analgesic outcomes.,Some concerns,Yes,"Result-specific reassessment for Intraoperative remifentanil; existing overall (High) concerned Total tramadol exposure. Draft overall is Some concerns because domains relevant to this result differ, especially outcome generation/measurement and missingness.",NO REGISTRATION FOUND,p2: 'randomly divided ... using a computer-generated randomisation sequence.' | p2: 'The randomisation was concealed by the director of the anaesthesiology department.' | p3: 'Anaesthetists during the EA application knew the group...' ,Need supplement for concealment details and intraoperative opioid dosing protocol; no registration located.,cdda779f77902b2a,PREPARATORY DRAFT — NOT ADJUDICATED,,,d8c202e815c1f83f2578cb305112115dc3edc2912ffe74e89df7ec897abce8bc,,PENDING HUMAN ADJUDICATION
Lu 2021,Intraoperative remifentanil,Intraoperative,Assignment to intervention,Combined-acupoint TEAS vs sham,190,188,190,188,Low,1.1=Y centralized computer-generated randomization; 1.2=Y centralized system; 1.3=N no major baseline concern.,Low,Assignment effect. Anesthesiologists and surgeons were blinded; this directly protects titrated intraoperative remifentanil from allocation-driven dosing. No important deviations identified; ITT analysis reported.,Low,3.1=Y for the analyzed comparison; source reports ITT and only small overall loss across three arms.,Low,4.1=N objective drug consumption; 4.2=N; 4.3 blinded anesthesiologists; 4.4-4.5 unlikely.,Some concerns,5.1=Some concerns because exact prespecified remifentanil analysis was not independently checked against registry/protocol; multiple perioperative endpoints.,Some concerns,Yes,"Result-specific reassessment for Intraoperative remifentanil; existing overall (High) concerned Post-mastectomy chronic pain incidence. Draft overall is Some concerns because domains relevant to this result differ, especially outcome generation/measurement and missingness.",Registration reported in article; exact ID requires source lookup,"Article abstract: 'Patients were randomly and equally grouped ... using a centralized computer-generated randomization system.' | 'Anesthesiologists, surgeons, and outcome assessors were blinded to the interventions.' | remifentanil 1.2±0.5 vs1.4±0.7 mg.",Verify registration/protocol and exact prespecification of intraoperative remifentanil.,844fe231c413003f,PREPARATORY DRAFT — NOT ADJUDICATED,,,d8c202e815c1f83f2578cb305112115dc3edc2912ffe74e89df7ec897abce8bc,,PENDING HUMAN ADJUDICATION
Guo 2023,Intraoperative remifentanil,Intraoperative,Assignment to intervention,TEAS vs sham TEAS,64,64,55,55,Some concerns,1.1=Y SPSS-generated sequence; 1.2=NI: independent technician held code but concealment from recruiters not fully established; 1.3 no clear baseline problem.,Some concerns,Assignment effect. Masking of the anesthesiologist responsible for titrating remifentanil is not securely established in retrieved evidence; potential allocation influence remains. Complete-case analysis used.,Some concerns,"3.1=N: 110/128 analysed, 55/64 per arm. 18 exclusions included conversions, altered procedures, declined follow-up and deaths. Missingness could relate to perioperative course and thus opioid requirement.",Low,4.1=N objective drug amount; 4.2 no evidence measurement differed; 4.3 recorder awareness uncertain; 4.4-4.5 recording itself unlikely biased.,Some concerns,5.1=Some concerns: two registrations cited but separate registry/protocol/SAP unavailable in review folder; exact prespecification not verified.,Some concerns,Yes,"Result-specific reassessment for Intraoperative remifentanil; existing overall (High) concerned Postoperative cognitive dysfunction. Draft overall is Some concerns because domains relevant to this result differ, especially outcome generation/measurement and missingness.",ChiCTR2000035552; ChiMCTR2000003560 reported,"Results: '128 ... randomly assigned ... 110 (85.94%) completed ... 18 (14.06%) ... excluded from the analyses.' | 'remifentanil ... 1.01 ± 0.39 vs 0.87 ± 0.30 mg, P=0.040.'","Need allocation concealment detail, anesthesiologist masking/titration rules, and registry/protocol.",121f0a8936bef7cb,PREPARATORY DRAFT — NOT ADJUDICATED,,,d8c202e815c1f83f2578cb305112115dc3edc2912ffe74e89df7ec897abce8bc,,PENDING HUMAN ADJUDICATION
Zhu 2022,Intraoperative remifentanil,Intraoperative,Assignment to intervention,EA arms vs usual care,,,,,Some concerns,1.1 randomization reported; 1.2 concealment not sufficiently verified in currently retrieved source evidence; 1.3 no major baseline concern identified.,Some concerns,"Assignment effect. Intraoperative opioid quantities are objective, but anesthesiologist masking and exact titration rules require verification. Because active EA/no-stimulation can be apparent to staff, allocation could influence titrated opioid dosing.",Low,"3.1 source tables provide arm-level opioid results; no material result-specific missingness identified in current extraction, but exact randomized/analysed arm N must be verified.",Low,4.1=N objective administered dose; 4.2 no evidence of differential recording; 4.3 awareness uncertain; 4.4-4.5 unlikely for recording itself.,Some concerns,5.1-5.3 exact registration/protocol and prespecification of intraoperative sufentanil/remifentanil not verified.,Some concerns,No,"Result-specific reassessment for Intraoperative remifentanil; existing overall (Some concerns) concerned Postoperative vomiting. Same overall category, but domain rationale is result-specific and was reassessed.",Registration not verified in current audit,"Source-verified Table 1 values: sufentanil 38.1±4.97, 39.1±4.83, 39.0±5.12 vs37.8±4.87 μg; remifentanil 0.58±0.23, 0.58±0.23, 0.50±0.25 vs0.57±0.26 mg.","Need full Methods pages for sequence concealment, arm N, anesthesiologist masking/titration, and registration.",bdfb58be8b0e6cc8,PREPARATORY DRAFT — NOT ADJUDICATED,,,d8c202e815c1f83f2578cb305112115dc3edc2912ffe74e89df7ec897abce8bc,,PENDING HUMAN ADJUDICATION
