report,modality,comparator,what_is_reported,E2_rule_failed,E2_disposition,flag
Ao 2021,TEAS,Sham,"PCA 'consumption of opioids (ml)' 102.8 +/- 7.4 vs 120.6 +/- 9.2; sufentanil 1.5 ug/kg in 150 mL (weight-based concentration); window 48 h","A2 (48 h); X1/X3 (mL of weight-based concentration cannot be converted without individual weights)",NOT ADMITTED,
Grech 2016,EA,Usual care,"Analgesic use in mg morphine equivalents, PACU and 3 days after surgery (Fig. 1, mean +/- SE)",A2 (PACU-only and 3-day windows; no 24-h value),NOT ADMITTED,
He 2026 (breast/WJCO),EA,Sham,"Rescue IV morphine 1-3 mg or paracetamol per protocol; no arm-level total found in text",A5 (no quantity reported),NOT ADMITTED,
Hou 2023,TEAS,Sham,"PCIA sufentanil 1 ug/mL; only 'amount of rescue analgesics' reported, rescue = IV flurbiprofen",A4/A5 (non-opioid rescue; no sufentanil total),NOT ADMITTED,
Huang 2017,TEAS,Sham,Intraoperative opioid only (remifentanil-equivalent); no postoperative consumption,No postoperative quantity,NOT ADMITTED,
Huang 2024,EA,Sham,"'Additional dose released by PCA pump', POD2, median [Q1,Q3] counts; pump contents unclear",A5 (median of counts; not converted per Methods line 317),NOT ADMITTED,
Li 2021,TEAS,Sham,Sufentanil dosage 48 h after operation,A2 (48 h),NOT ADMITTED,
Li 2022,EA,Sham,Intraoperative remifentanil/sufentanil; postoperative 'need for rescue analgesics' frequency only,A5 (frequency only),NOT ADMITTED,
Liang 2021,TEAS,Usual care,"'Extra analgesia' 3.8 (1.9) vs 5.0 (2.9), unit and drug unspecified; intraoperative sufentanil in Table 1",A4/A5 (drug and unit unidentified),NOT ADMITTED,
Liu 2026 (ESD),TEAS,Sham,Proportion of patients needing morphine,A5 (proportion only),NOT ADMITTED,
Liu 2026 (burn),TEAS,Sham,"PCIA sufentanil + butorphanol mixed; no PCIA consumption reported; rescue dezocine n (%)",A5 (no quantity); A4 (butorphanol co-infused),NOT ADMITTED,
Lu 2021,TEAS,Sham,Intraoperative remifentanil only,No postoperative quantity,NOT ADMITTED,
Lu 2022,TEAS,Sham,Recovery parameters only; no opioid quantity,No postoperative quantity,NOT ADMITTED,
Ma 2026,TEAS,Sham,Intraoperative vasopressors only,No postoperative quantity,NOT ADMITTED,
Ng 2013,EA,Sham and no acupuncture,"Number of 50-mg pethidine injections 2.7 +/- 2.3 vs 5.2 +/- 4.7 (sham); window not stated",A4 (pethidine unfactored); A2 (window unstated),NOT ADMITTED,
Pan 2023,TEAS,Usual care,Analgesic drug utilisation rate n (%) within 24 h,A5 (proportion only),NOT ADMITTED,
Song 2020,TEAS,Active non-acupoint,"PCA butorphanol + propacetamol; sufentanil total is intraoperative",A4 (butorphanol unfactored),NOT ADMITTED,
Sun 2017,TEAS,Sham (4-arm),Supplemental analgesics (%); intraoperative morphine,A5 (proportion only),NOT ADMITTED,
Wu 2022,TEAS,Sham,Intraoperative remifentanil; postoperative medication use n (%),A5 (proportion only),NOT ADMITTED,
Xiong 2021,TEAS,Sham,PCA sufentanil described; no consumption reported,A5 (no quantity),NOT ADMITTED,
Yao 2015,TEAS,Sham,"Cumulative number of rescue analgesia 1 (1-3) vs 3.5 (2-7.8), median (IQR)",A5 (median count),NOT ADMITTED,"Rescue statistics nearly identical to Chen 2015 (1 (1-3) vs 3.5 (2-7), P=0.004 in both) despite different surgery (gynaecological vs thyroidectomy) and n (35/36 vs 41/42). Possible data-integrity or related-report concern; for human review, not resolved here."
Yeh 2010,TEAS,Sham,Part of Yeh 2010/2011 family,HOLD persists (cohort overlap; E2 does not resolve source questions),HOLD,
Yu 2020,TEAS,Sham,Cases of remedial analgesia n (%),A5 (proportion only),NOT ADMITTED,
Zhang 2023,TEAS,Sham,"Post-surgery opioid within 48 h in IV MME, median [IQR] 110 (80-110) vs 110 (90-110); n=922/916",A2 (48 h); A5 (median),NOT ADMITTED,Largest trial in the review; no admissible 24-h opioid result.
