record_id,comparison_id,study,endpoint_family,outcome,window,time_class,statistic_type,modality,comparator_type,intervention,comparator,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,eligibility,reason,rob2,analysis_population,source,source_location,selected_model,effect,se,measure,effect_note,scale_factor,hedges_g,hedges_se
V33-OD-0015,CHEN20_TEAS_vs_SHAM_VAS,Chen 2020,Pain — unspecified context,VAS pain intensity,24 h postoperatively,24 h point,Mean/SD,TEAS,Sham,Perioperative TEAS,Sham low/zero-current protocol,VAS 0-10,40,40,2.91,0.2,5.97,0.56,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1y0_cC1NCl5g2vYxDMOtYmxVA_YEE-rsR/view?usp=drivesdk,24-h VAS result,,-3.06,0.094021,MD,Native MD; no pooled interpretation without compatible model.,1,-7.207267,0.61209
V33-OD-0017,AO21_TEAS_vs_SHAM_VAS,Ao 2021,Pain — unspecified context,VAS pain intensity,24 h postoperatively,24 h point,Graph-digitized mean/SD,TEAS,Sham,TEAS,Sham/no current,VAS 0-10,32,33,2.51,0.49,2.95,0.53,,,CONDITIONAL,No new graph digitization; historical digitized data require their original validation before pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1tNFnY0fJpx53hrtY4DIaE1RsNjE55Xvd/view?usp=drivesdk,Figure-only 24-h VAS,,,,,,1,,
V33-OD-0026,ZHOU25_TEAS_vs_SHAM_PAINREST,Zhou 2025,Pain — rest,Resting pain VAS,POD1,pod1,Median/IQR,TEAS,Sham,PACU TEAS,Sham/no current,VAS 0-10,48,49,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,"Table 3, p8",,,,,,1,,
V33-OD-0031,ZHOU21_TEAS_vs_UC_PAIN,Zhou 2021,Pain — unspecified context,Average postoperative pain,POD1-POD5 average,pod1-pod5 average,Mean/SD,TEAS,Usual care,Postoperative TEAS + ERAS,ERAS/usual care,pain score,41,40,2.55,0.21,3.1,0.42,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1PxYyULBv_ZjWeqAm_bNYkDn_j2_lNYLq/view?usp=drivesdk,"Table 3, p6",,-0.55,0.074065,MD,Native MD; no pooled interpretation without compatible model.,1,-1.646922,0.257164
V33-OD-0037,ZHAN20_TAPTEAS_vs_TAP_PAIN24,Zhan 2020,Pain — unspecified context,VAS pain intensity,24 h postoperatively,24 h point,Source-format ambiguous,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,TAP block + postoperative TEAS,TAP block,VAS,30,30,,,,,,,HOLD,"Unresolved source statistic, denominator or timepoint.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1GYG7JxUOQxbt724-Ng7dWv3sYeC8dDSr/view?usp=drivesdk,"Table 2, p4",,,,,,1,,
V33-OD-0041,ZHANG25_TEAS_vs_SHAM_VISCERAL_POD1,Zhang 2025,Pain — unspecified context,Moderate-to-severe visceral pain,POD1,pod1,Events/total,TEAS,Sham,Perioperative TEAS,Sub-sensory sham,participants,45,48,,,,,4,18,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1eHx6Hk16vmIfMgoiZ5eNae4zmCR5ktwJ/view?usp=drivesdk,"Figure 3D, p8",,-1.439539,0.512348,logRR,Uncorrected log risk ratio,1,,
V33-OD-0064,XING22_NTG_vs_NG_RESTVAS24,Xing 2022,Pain — rest,Rest pain VAS,24 h,24 h point,Mean/SD,TEAS,Sham,TEAS + active TAPB,Sham TEAS + active TAPB,VAS 0-10,29,29,1.18,0.42,1.4,0.52,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,24-h pain result,,-0.22,0.124125,MD,Native MD; no pooled interpretation without compatible model.,1,-0.459197,0.266051
V33-OD-0071,WU22_PTEAS_vs_CTRL_PAINPOD1,Wu 2022,Pain — unspecified context,VAS pain intensity,POD1,pod1,Mean/SD,TEAS,Sham,Perioperative pTEAS,No-current control,VAS 0-10,44,40,1.77,0.91,2.25,0.71,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1XR_8qmeHR7ulwV7NaaI0CeYbpwKdc_ym/view?usp=drivesdk,Table 3 / POD1 pain,,-0.48,0.177265,MD,Native MD; no pooled interpretation without compatible model.,1,-0.579306,0.222991
V33-OD-0075,WU25_TEAS_vs_SHAM_VAS24,Wu 2025,Pain — unspecified context,VAS pain intensity,24 h,24 h point,Mean/SD,TEAS,Sham,PACU TEAS,Sham/no current,VAS 0-10,50,50,1.7,0.9,4,1.4,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1ZV6JFjevGSPqnISdX61KPdcC_yEtq3vf/view?usp=drivesdk,Table 2 / primary 24-h VAS,,-2.3,0.235372,MD,Native MD; no pooled interpretation without compatible model.,1,-1.939358,0.242499
V33-OD-0076,WU25_TEAS_vs_SHAM_MODPAIN12,Wu 2025,Pain — unspecified context,Moderate-to-severe pain (VAS >4),Within 12 h,within 12h,Events/total,TEAS,Sham,PACU TEAS,Sham/no current,participants,50,50,,,,,6,37,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1ZV6JFjevGSPqnISdX61KPdcC_yEtq3vf/view?usp=drivesdk,Moderate-to-severe pain outcome,,-1.819158,0.392038,logRR,Uncorrected log risk ratio,1,,
V33-OD-0083,WANG23_TEAS_vs_SHAM_PAIN24,Wang 2023,Pain — movement/activity,Activity pain VAS,24 h,24 h point,Graph-only mean/SD,TEAS,Sham,Nighttime TEAS,Sham/no current,VAS 0-10,40,43,,,,,,,GRAPH ONLY,No new graph digitization; historical digitized data require their original validation before pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/177A4aH42GD90DhsvvtD-VOBSChBBpIWL/view?usp=drivesdk,"Figure 4, p8",,,,,,1,,
