study,outcome,window,stat,reason
Yao 2015,Cumulative rescue administrations,0-24 h,"Median (IQR) 1 (1-3) vs 3.5 (2-7.8), P=0.004","Rescue COUNT, not dose. Multiplying a median count by 0.05 ug/kg and a mean body weight would not recover any individual-level quantity."
Chen 2015 (Hyperalgesia),Rescue sufentanil PCIA boluses,0-24 h,Median (IQR) 3 (2-4) vs 7 (6-8),"Rescue COUNT in boluses; weight-normalised per-bolus dosing not reconstructable. Different unit from Yao 2015, so the two counts are not pooled with each other either."
Yao 2015,Time to first rescue analgesia,0-24 h,"Median 59 (31-1440) vs 47 (13-196) min, P=0.039",k=1; dispersion is a reported range and the upper bound is the 24-h censoring point. Narrative only.
Liang 2021,Postoperative analgesia requirement,unclear,"3.8 (1.9) vs 5.0 (2.9), P=0.045","HOLD. Source calls it a count of patients, which 3.8/35 cannot be. Metric, unit and window all undefined."
Yu 2020,Resting pain VAS,POD1 and POD2,POD1 3.70 vs 4.73; POD2 1.83 vs 2.30,"CONFLICTED. Table 2 and abstract disagree on the TEAS SDs (1.53/0.98 vs 1.41/0.88) and on the POD2 P value (table stars P<0.05, Results text says P=0.26)."
Zhou 2021,Any postoperative opioid use,undefined,18/41 vs 30/40,"Postoperative window not defined in the source, so it cannot join the 0-24 h binary rescue model."
Liu 2026 (ESD),Any rescue IV morphine use,through 48 h,19/58 vs 40/62,48-h window; kept out of the 0-24 h binary rescue model.
Hou 2023,Any rescue flurbiprofen use,postoperative,15/36 vs 28/36,"Flurbiprofen is an NSAID, not an opioid. Not pooled with opioid rescue."
Oztas 2019,Rescue pethidine / dexketoprofen,0-24 h,mean/SD reported,No sourced IV MME factor for pethidine; dexketoprofen is an NSAID.
Zhu 2022,Intraoperative sufentanil and remifentanil,intraoperative,4-group omnibus P only (0.892 / 0.948),Two of three active contrasts are dropped from each model so the shared usual-care arm (n=101) is not counted more than once.
Lu 2021,Total remifentanil,intraoperative,two active arms vs one sham arm,Multi-arm; only the combined PC6+CV17 contrast enters the model.
