record_id,comparison_id,study,endpoint_family,outcome,window,time_class,statistic_type,modality,comparator_type,intervention,comparator,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,eligibility,reason,rob2,analysis_population,source,source_location,selected_model,effect,se,measure,effect_note,scale_factor,hedges_g,hedges_se
V33-OD-0003,SEEVA16_EA_vs_UC,Seevaunnamtum 2016,Postoperative opioid dose (native window/unit),Cumulative IV PCA morphine requirement,First 24 h postoperatively,cumulative 0–24 h (locked primary source adjudication),Mean/SD,EA,Usual care,Intraoperative EA,Standard care,mg morphine,32,32,21.38,14.38,33.94,20.24,,,INCLUDE,Locked strict primary result; prespecified source adjudication and conversions retained.,EXISTING_LOCKED_PRIMARY: Some concerns,,https://drive.google.com/file/d/1OhuqhDUCEmOij7fZFhHHCJNwfQ9xpMzd/view?usp=drivesdk,Table 2 / 24-h PCA morphine,,-12.56,4.389056,MD,Native MD; no pooled interpretation without compatible model.,1,-0.706727,0.257686
V33-OD-0004,LIN02_HIGH_vs_CONTROL,Lin 2002,Postoperative opioid dose (native window/unit),Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),postoperative hour 1 through next 23h (published as 24-h test-period value),Mean/SD,EA,CONTROL_TYPE_REVIEW_REQUIRED,100-Hz EA,Untreated control,mg morphine,25,25,15,10.7,38.1,16,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,Table 2,,-23.1,3.849623,MD,Native MD; no pooled interpretation without compatible model.,1,-1.670564,0.328493
V33-OD-0005,LIN02_LOW_vs_CONTROL,Lin 2002,Postoperative opioid dose (native window/unit),Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),postoperative hour 1 through next 23h (published as 24-h test-period value),Mean/SD,EA,CONTROL_TYPE_REVIEW_REQUIRED,2-Hz EA,Untreated control,mg morphine,25,25,21.8,14.7,38.1,16,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,Table 2,,-16.3,4.345526,MD,Native MD; no pooled interpretation without compatible model.,1,-1.044275,0.301505
V33-OD-0006,LIN02_HIGH_vs_SHAM,Lin 2002,Postoperative opioid dose (native window/unit),Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),postoperative hour 1 through next 23h (published as 24-h test-period value),Mean/SD,EA,Sham,100-Hz EA,Sham EA,mg morphine,25,25,15,10.7,30.2,14.4,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,Table 2,,-15.2,3.588036,MD,Native MD; no pooled interpretation without compatible model.,1,-1.179387,0.306447
V33-OD-0007,LIN02_LOW_vs_SHAM,Lin 2002,Postoperative opioid dose (native window/unit),Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),postoperative hour 1 through next 23h (published as 24-h test-period value),Mean/SD,EA,Sham,2-Hz EA,Sham EA,mg morphine,25,25,21.8,14.7,30.2,14.4,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,Table 2,,-8.4,4.11558,MD,Native MD; no pooled interpretation without compatible model.,1,-0.568222,0.288494
V33-OD-0011,CHEN98_NONACU_vs_SHAM,Chen 1998,Postoperative opioid dose (native window/unit),Cumulative IV PCA hydromorphone,First 24 h postoperatively,first 24h postoperatively,Mean/SD,TEAS,Sham,Active nonacupoint shoulder TENS,Sham ST36 TENS (0 mA),mg hydromorphone,25,25,10.5,6.2,10.7,5,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk,Table 2 / first-24-h hydromorphone,,-0.2,1.592985,MD,Native MD; no pooled interpretation without compatible model.,1,-0.034953,0.282864
V33-OD-0012,CHEN98_DERM_vs_SHAM,Chen 1998,Postoperative opioid dose (native window/unit),Cumulative IV PCA hydromorphone,First 24 h postoperatively,first 24h postoperatively,Mean/SD,TEAS,Sham,Active dermatomal/peri-incisional TENS,Sham ST36 TENS (0 mA),mg hydromorphone,25,25,6.8,4.2,10.7,5,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk,Table 2 / first-24-h hydromorphone,,-3.9,1.305986,MD,Native MD; no pooled interpretation without compatible model.,1,-0.831372,0.294808
V33-OD-0013,CHEN98_ACU_vs_SHAM,Chen 1998,Postoperative opioid dose (native window/unit),Cumulative IV PCA hydromorphone,First 24 h postoperatively,cumulative 0–24 h (locked primary source adjudication),Mean/SD,TEAS,Sham,Active ST36 acupoint TENS,Sham ST36 TENS (0 mA),mg hydromorphone,25,25,6.5,3.5,10.7,5,,,INCLUDE,Locked strict primary result; prespecified source adjudication and conversions retained.,EXISTING_LOCKED_PRIMARY: Some concerns,,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk,Table 2 / first-24-h hydromorphone,,-4.2,1.220656,MD,Native MD; no pooled interpretation without compatible model.,1,-0.957912,0.298623
V33-OD-0014,CHEN20_TEAS_vs_SHAM,Chen 2020,Postoperative opioid dose (native window/unit),Cumulative sufentanil,24 h postoperatively,cumulative 0–24 h (locked primary source adjudication),Mean/SD,TEAS,Sham,Perioperative TEAS,Sham low/zero-current protocol,µg sufentanil,40,40,72.43,4.78,100.62,10.2,,,INCLUDE,Locked strict primary result; prespecified source adjudication and conversions retained.,EXISTING_LOCKED_PRIMARY: Some concerns,,https://drive.google.com/file/d/1y0_cC1NCl5g2vYxDMOtYmxVA_YEE-rsR/view?usp=drivesdk,Cumulative sufentanil result,,-28.19,1.78107,MD,Native MD; no pooled interpretation without compatible model.,1,-3.505011,0.356064
V33-OD-0016,COURA11_EA_vs_SHAM,Coura 2011,Postoperative opioid dose (native window/unit),Cumulative fentanyl,First 24 h postoperatively,first 24h postoperatively,Mean/SD,EA,Sham,Preoperative EA,Sham stimulation,µg/kg fentanyl,13,9,13.1,2.2,16.3,1.6,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/120NJxCmxsdiyqWTXzjmaUWAaVa1i8iZz/view?usp=drivesdk,Published cumulative first-24-h fentanyl result,,-3.2,0.810402,MD,Native MD; no pooled interpretation without compatible model.,1,-1.553284,0.492816
