record_id,comparison_id,study,endpoint_family,outcome,window,time_class,statistic_type,modality,comparator_type,intervention,comparator,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,eligibility,reason,rob2,analysis_population,source,source_location,selected_model,effect,se,measure,effect_note,scale_factor,hedges_g,hedges_se,not_pooled_reason
V33-OD-0002,YANG20_EA_vs_UC,Yang 2020,GI — first flatus,Time to first postoperative flatus,From surgery to first flatus,from surgery to first flatus,Mean/SD,EA,Usual care,EA + usual care,Usual care,hours,29,28,20.8,4.6,24.1,6.2,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1hsQR_K6W-5QNP4rqkVxHQaopRp4f1XF0/view?usp=drivesdk,GI recovery results/table,,-3.3,1.450004,MD,Native MD; no pooled interpretation without compatible model.,1,-0.59781,0.270799,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0004,LIN02_HIGH_vs_CONTROL,Lin 2002,Postoperative opioid dose (native window/unit),Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),postoperative hour 1 through next 23h (published as 24-h test-period value),Mean/SD,EA,CONTROL_TYPE_REVIEW_REQUIRED,100-Hz EA,Untreated control,mg morphine,25,25,15,10.7,38.1,16,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,Table 2,,-23.1,3.849623,MD,Native MD; no pooled interpretation without compatible model.,1,-1.670564,0.328493,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0005,LIN02_LOW_vs_CONTROL,Lin 2002,Postoperative opioid dose (native window/unit),Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),postoperative hour 1 through next 23h (published as 24-h test-period value),Mean/SD,EA,CONTROL_TYPE_REVIEW_REQUIRED,2-Hz EA,Untreated control,mg morphine,25,25,21.8,14.7,38.1,16,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,Table 2,,-16.3,4.345526,MD,Native MD; no pooled interpretation without compatible model.,1,-1.044275,0.301505,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0006,LIN02_HIGH_vs_SHAM,Lin 2002,Postoperative opioid dose (native window/unit),Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),postoperative hour 1 through next 23h (published as 24-h test-period value),Mean/SD,EA,Sham,100-Hz EA,Sham EA,mg morphine,25,25,15,10.7,30.2,14.4,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,Table 2,,-15.2,3.588036,MD,Native MD; no pooled interpretation without compatible model.,1,-1.179387,0.306447,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0007,LIN02_LOW_vs_SHAM,Lin 2002,Postoperative opioid dose (native window/unit),Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),postoperative hour 1 through next 23h (published as 24-h test-period value),Mean/SD,EA,Sham,2-Hz EA,Sham EA,mg morphine,25,25,21.8,14.7,30.2,14.4,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,Table 2,,-8.4,4.11558,MD,Native MD; no pooled interpretation without compatible model.,1,-0.568222,0.288494,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0009,YU20_TEAS_vs_CONTROL,Yu 2020,QoR-40,Global QoR-40,Postoperative day 1 (~24 h),postoperative day 1 (~24h),Mean/SD,TEAS,Sham,Preoperative TEAS,Control/no current,QoR-40 points,30,30,175.33,9.66,166.07,8.44,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1fXpHc9FzhpPCkXto8c5lfcLoA3ROdOEz/view?usp=drivesdk,POD1 QoR-40 result,,9.26,2.342002,MD,Native MD; no pooled interpretation without compatible model.,1,1.00763,0.274094,POD1/POD2 preserved separately from exact 24-h QoR-40.
V33-OD-0010,PAN23_TEAS_vs_CONTROL,Pan 2023,GI — first flatus,Time to first postoperative flatus,Postoperative recovery endpoint,postoperative recovery endpoint,Median/IQR,TEAS,Usual care,TEAS,Control/usual care,minutes,52,53,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,Postoperative recovery table,,,,,,1,,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.
V33-OD-0011,CHEN98_NONACU_vs_SHAM,Chen 1998,Postoperative opioid dose (native window/unit),Cumulative IV PCA hydromorphone,First 24 h postoperatively,first 24h postoperatively,Mean/SD,TEAS,Sham,Active nonacupoint shoulder TENS,Sham ST36 TENS (0 mA),mg hydromorphone,25,25,10.5,6.2,10.7,5,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk,Table 2 / first-24-h hydromorphone,,-0.2,1.592985,MD,Native MD; no pooled interpretation without compatible model.,1,-0.034953,0.282864,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0012,CHEN98_DERM_vs_SHAM,Chen 1998,Postoperative opioid dose (native window/unit),Cumulative IV PCA hydromorphone,First 24 h postoperatively,first 24h postoperatively,Mean/SD,TEAS,Sham,Active dermatomal/peri-incisional TENS,Sham ST36 TENS (0 mA),mg hydromorphone,25,25,6.8,4.2,10.7,5,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk,Table 2 / first-24-h hydromorphone,,-3.9,1.305986,MD,Native MD; no pooled interpretation without compatible model.,1,-0.831372,0.294808,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0015,CHEN20_TEAS_vs_SHAM_VAS,Chen 2020,Pain — unspecified context,VAS pain intensity,24 h postoperatively,24 h point,Mean/SD,TEAS,Sham,Perioperative TEAS,Sham low/zero-current protocol,VAS 0-10,40,40,2.91,0.2,5.97,0.56,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1y0_cC1NCl5g2vYxDMOtYmxVA_YEE-rsR/view?usp=drivesdk,24-h VAS result,,-3.06,0.094021,MD,Native MD; no pooled interpretation without compatible model.,1,-7.207267,0.61209,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
