LockID,Target,Canonicalmasterstudy,Sourcestudylabel,Outcomeestimand,Window,Sourceverifiedresult,D1,D2,D3,D4,D5,OverallRoB,Endpointstratum,Synthesisstatus,Includestrictmodel,Includesensitivitymodel,Narrativeevidencemap,Excludeholdreason,Authorcontactpriority,Overlapfamily,v20comparisonIDs,v20matchcount,Reconciliationaction,Reconciliationnote,KeyQCnote,SourceRoBfile,v20sourceURLs
A-001,A,Chen 2020,Chen 2020,Cumulative postoperative sufentanil,0–48 h,118.52±9.77 vs 140.15±7.87 μg,Low,Low,Low,Low,Some concerns,Some concerns,A_0-48h_cumulative_opioid,PRIMARY strict,1,0,0,,,,CHEN20_TEAS_vs_SHAM_SUF48,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,Clean 48-h cumulative result; preserve μg; registration retrospective.,Chen_2020_RoB2_0-48h_cumulative_opioid.md,
A-002,A,Zhang 2023,Zhang 2023,"Post-surgery opioid dose, IV MME",within first 48 h,110 (80–110) vs 110 (90–110) mg IV MME,Low,Some concerns,Some concerns,Low,Some concerns,Some concerns,A_0-48h_cumulative_opioid,PRIMARY strict,1,0,0,,P2,,ZHANG23_TEAS_vs_SHAM_MME48,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,Exact data capture source not reported; substantial post-randomization exclusions.,Zhang_2023_RoB2_0-48h_cumulative_opioid.md,https://drive.google.com/file/d/1LXNXNhVJaOcYXBODulFUuMD4FQXC5dph/view?usp=drivesdk
A-003,A,An 2014,An 2014,Total fentanyl PCIA dose,0–48 h,0.67±0.09 vs 0.73±0.12 mg,Some concerns,Some concerns,Some concerns,Low,Some concerns,Some concerns,A_0-48h_cumulative_opioid,PRIMARY strict,1,0,0,,P1,,AN14_EA_vs_CTRL_FENT48,1,MATCHED,Existing v20 row(s) represent this source-verified estimand. v25 result-specific P1 disposition: RESOLVED_BY_MANDATORY_SENSITIVITY.,Author clarification needed for reservoir/plausibility issue.,An_2014_RoB2_0-48h_cumulative_opioid.md,https://drive.google.com/file/d/1Ygu3g28udKuPe0OS95oge2ryIGNeJ0te/view?usp=drivesdk
A-004,A,Xie 2014,Xie 2014,Total sufentanil,through postoperative 48 h,115.0±6.0 vs 133.5±7.0 μg (EAS vs sham),Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,A_0-48h_cumulative_opioid,SENSITIVITY / broader 48-h,0,1,0,,P1,,XIE14_EAS_vs_SHAM_TOTALSUF; XIE14_EAS_vs_CONTROL_TOTALSUF,2,CORRECTED_V22,Existing v20 row retained in original Outcome_Data; source-level value/window correction applied only in Outcome_Data_AF_LOCK v22. v25 result-specific P1 disposition: RESOLVED_BY_SENSITIVITY.,Sufentanil began 30 min before surgery ended; infusion rate 2.25 vs 2.5 μg/h conflict.,Xie_2014_RoB2_total_sufentanil_through_48h.md,https://drive.google.com/file/d/17faY_h0rMJTuhjPOC5PL_S59jYmHDPee/view?usp=drivesdk
A-005,A,He 2026 (breast/WJCO),He 2026 (WJCO),Eligibility audit,—,—,—,—,—,—,—,—,A_0-48h_cumulative_opioid,EXCLUDE,0,0,1,EXCLUDE,,,,0,NO_DATA_ROW_REQUIRED,Eligibility/exclusion decision only; no new numerical outcome row required.,No numerical cumulative postoperative opioid result,—,
A-006,A,Wong 2006,Wong 2006,Eligibility audit,—,—,—,—,—,—,—,—,A_0-48h_cumulative_opioid,EXCLUDE,0,0,1,EXCLUDE,,,,0,NO_DATA_ROW_REQUIRED,Eligibility/exclusion decision only; no new numerical outcome row required.,No exact cumulative 0–48-h total,—,
A-007,A,Hou 2023,Hou 2023,Eligibility audit,—,—,—,—,—,—,—,—,A_0-48h_cumulative_opioid,EXCLUDE,0,0,1,EXCLUDE,,,,0,NO_DATA_ROW_REQUIRED,Eligibility/exclusion decision only; no new numerical outcome row required.,48-h PCIA protocol but cumulative opioid dose not reported,—,
A-008,A,Yao 2015,Yao 2015,Eligibility audit,—,—,—,—,—,—,—,—,A_0-48h_cumulative_opioid,EXCLUDE,0,0,1,EXCLUDE,,,,0,NO_DATA_ROW_REQUIRED,Eligibility/exclusion decision only; no new numerical outcome row required.,"24-h rescue-administration count, not cumulative 48-h dose",—,
A-009,A,Lin 2002,Lin 2002,Eligibility audit,—,—,—,—,—,—,—,—,A_0-48h_cumulative_opioid,EXCLUDE,0,0,1,EXCLUDE,,,,0,NO_DATA_ROW_REQUIRED,Eligibility/exclusion decision only; no new numerical outcome row required.,Cumulative morphine only through 24 h,—,
A-010,A,Zhang 2025,Zhang 2025,Eligibility audit,—,—,—,—,—,—,—,—,A_0-48h_cumulative_opioid,EXCLUDE,0,0,1,EXCLUDE,,,,0,NO_DATA_ROW_REQUIRED,Eligibility/exclusion decision only; no new numerical outcome row required.,POD1 sufentanil only,—,
