report,result_id,modality,comparator,reported,window,unit,systemic_capture,decision,models,source_location,rationale,src
An 2014,V33-OD-0254,EA,usual_care,Total postoperative fentanyl PCIA dose,Through reported 48-h PCIA period,mg fentanyl,PCA_fentanyl_0_48h,INCLUDE,opioid48_EA_usual_PCA,Opioid/PCIA results,Source construct/window/contrast reviewed; direct data admitted.,model_inputs
Chen 2020,V35-CHEN20-48,TEAS,sham,Cumulative postoperative PCIA sufentanil consumption,0-48 h,µg sufentanil,PCA_or_author_equivalent_0_48h,SENSITIVITY,opioid48_TEAS_sham_uncertain_suf0.25,48-h cumulative pump result; preserve native µg. Registration retrospective.,Chen unresolved basal contradiction and He unknown equivalence basis; no principal claim.,model_inputs
Chen 2020,V35-CHEN20-48,TEAS,sham,Cumulative postoperative PCIA sufentanil consumption,0-48 h,µg sufentanil,PCA_or_author_equivalent_0_48h,SENSITIVITY,opioid48_TEAS_sham_uncertain_suf0.5,48-h cumulative pump result; preserve native µg. Registration retrospective.,Chen unresolved basal contradiction and He unknown equivalence basis; no principal claim.,model_inputs
Chen 2020,V35-CHEN20-48,TEAS,sham,Cumulative postoperative PCIA sufentanil consumption,0-48 h,µg sufentanil,PCA_or_author_equivalent_0_48h,SENSITIVITY,opioid48_TEAS_sham_uncertain_suf1,48-h cumulative pump result; preserve native µg. Registration retrospective.,Chen unresolved basal contradiction and He unknown equivalence basis; no principal claim.,model_inputs
He 2026 (hepatectomy/JIS),V35-HE26-48,TEAS,sham,Total postoperative opioid consumption in morphine equivalents,0–48 h,mg MME,PCA_or_author_equivalent_0_48h,SENSITIVITY,opioid48_TEAS_sham_uncertain_suf0.25,"Supplemental material 2 eTable 1 (he2026_sm8843.docx; v36 label corrected from sm8842, which is the SAP); mITT80/79",Chen unresolved basal contradiction and He unknown equivalence basis; no principal claim.,model_inputs
He 2026 (hepatectomy/JIS),V35-HE26-48,TEAS,sham,Total postoperative opioid consumption in morphine equivalents,0–48 h,mg MME,PCA_or_author_equivalent_0_48h,SENSITIVITY,opioid48_TEAS_sham_uncertain_suf0.5,"Supplemental material 2 eTable 1 (he2026_sm8843.docx; v36 label corrected from sm8842, which is the SAP); mITT80/79",Chen unresolved basal contradiction and He unknown equivalence basis; no principal claim.,model_inputs
He 2026 (hepatectomy/JIS),V35-HE26-48,TEAS,sham,Total postoperative opioid consumption in morphine equivalents,0–48 h,mg MME,PCA_or_author_equivalent_0_48h,SENSITIVITY,opioid48_TEAS_sham_uncertain_suf1,"Supplemental material 2 eTable 1 (he2026_sm8843.docx; v36 label corrected from sm8842, which is the SAP); mITT80/79",Chen unresolved basal contradiction and He unknown equivalence basis; no principal claim.,model_inputs
Lee 2011,V33-OD-0184+V33-OD-0185,TEAS,sham,Cumulative IV PCA morphine delivered,First 24 postoperative hours,mg IV morphine,PCA_partial_1_to_24h,SENSITIVITY,opioid_partial_TEAS_sham,Table 8 / total morphine delivered | Table 8 / total morphine delivered,Lee Table8 excludes recovery-room doses; combine low/high arms; sham interval sum differs fromTable8.,model_inputs
Lin 2002,V33-OD-0004+V33-OD-0005,EA,usual_care,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),mg morphine,PCA_partial_1_to_24h,SENSITIVITY,opioid_partial_EA_usual,Table 2 | Table 2,Source construct/window/contrast reviewed; direct data admitted.,model_inputs
Lin 2002,V33-OD-0006+V33-OD-0007,EA,sham,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),mg morphine,PCA_partial_1_to_24h,SENSITIVITY,opioid_partial_EA_sham,Table 2 | Table 2,Source construct/window/contrast reviewed; direct data admitted.,model_inputs
Oztas 2019,V33-OD-0299,TEAS,usual_care,Cumulative IV PCA tramadol HCl consumption,0-24 h,mg tramadol,PCA_tramadol_0_24h,SENSITIVITY,tramadol24_TEAS_usual_PCA,Table 4 / Tramadol HCl (0–24 h),Source construct/window/contrast reviewed; direct data admitted.,model_inputs
Oztas 2019,V33-OD-0300,TEAS,active_electrical,Cumulative IV PCA tramadol HCl consumption,0-24 h,mg tramadol,PCA_tramadol_0_24h,SENSITIVITY,tramadol24_TEAS_active_PCA,Table 4 / Tramadol HCl (0–24 h),Source construct/window/contrast reviewed; direct data admitted.,model_inputs
Oztas 2019,V33-OD-0303,TEAS,usual_care,Rescue IM pethidine HCl consumption,0-24 h,mg pethidine,rescue_pethidine_0_24h,INCLUDE,pethidine24_TEAS_usual_rescue,Table 4 / Pethidine HCl (0–24 h),Source construct/window/contrast reviewed; direct data admitted.,model_inputs
Oztas 2019,V33-OD-0304,TEAS,active_electrical,Rescue IM pethidine HCl consumption,0-24 h,mg pethidine,rescue_pethidine_0_24h,INCLUDE,pethidine24_TEAS_active_rescue,Table 4 / Pethidine HCl (0–24 h),Source construct/window/contrast reviewed; direct data admitted.,model_inputs
Sim 2002,V33-OD-0107+V33-OD-0108,EA,sham,Cumulative postoperative IV PCA morphine,0-24 h,mg/kg morphine,PCA_morphine_0_24h_weight_normalized,SENSITIVITY,opioid24_EA_sham_weight_normalized,Figure 4 / cumulative 24-h morphine | Figure 4 / cumulative 24-h morphine,Source construct/window/contrast reviewed; direct data admitted.,model_inputs
Wong 2006,V33-OD-0250,EA,sham,IV PCA morphine consumption,First 3 postoperative days total,mg IV morphine,PCA_morphine_0_72h,INCLUDE,opioid72_EA_sham_PCA,Table 2 / postoperative PCA morphine,Published three-day PCA mean/SD; separate from strict systemic24h outcome.,model_inputs
Yang 2024,V35-YANG24-72,EA,usual_care,Cumulative morphine use via IV PCA,0-72 h / POD1-3,mg morphine,PCA_morphine_0_72h,SENSITIVITY,opioid72_EA_usual_PCA,Extracted from PCA device records; full ITT.,Yang unquantified IM rescue not included in device total.,model_inputs
