"screening_sequence","covidence_number","decision","covidence_reason","decision_basis","status"
"1","357","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"2","359","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"3","362","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"4","370","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"5","381","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"6","385","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"7","393","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"8","397","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"9","400","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"10","404","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"11","405","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"12","406","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"13","414","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"14","421","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"15","424","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
