study,outcome,old_dashboard_value,verified_value,unit,analysed_n,source_pdf,source_location,direct_or_derived,derivation,date_verified,status,reason
Guo 2023,intraop_opioid,620±140 vs 710±160 (n=30/30),870±300 vs 1010±390,µg remifentanil,55/55,006_guo_2023.pdf,"Table 2, Perioperative information",derived,Reported 0.87±0.30 vs 1.01±0.39 mg; ×1000 to µg,2026-09-10,CORRECTED,Placeholder arms; source reports n=55/group and different means
Liang 2021,intraop_opioid,533±125 vs 582±140 (n=30/30),521.5±206.8 vs 464.7±156.0,µg remifentanil,35/35,014_liang_2021.pdf,"Table 1, Patient characteristics and intraoperative anesthetic dosage",direct,,2026-09-10,CORRECTED,Placeholder arms; direction was also reversed (true MD favours control)
Pan 2023,intraop_opioid,890±210 vs 960±230 (n=32/32),740.1±276.9 vs 854.0±287.5,µg remifentanil,52/53,getfile.php-4.pdf,"Table 2, Intraoperative General Conditions",direct,,2026-09-10,CORRECTED,Placeholder arms; source reports n=52/53
Wu 2022,intraop_opioid,1100±240 vs 1380±280 (n=30/30),1383±494 vs 1637±630,µg remifentanil,44/40,s12871-022-01875-3.pdf,"Table 2, Consumption of anaesthetics; Control column printed first",direct,,2026-09-10,CORRECTED,Placeholder arms; contradicted the study's own audit.corrections narrative
Lu 2021,intraop_opioid,1580±390 vs 1720±410,1200±500 vs 1400±700,µg remifentanil,190/188,covidence_414_full_article.pdf,"Table 3, Postoperative short-term outcomes",derived,Reported 1.2±0.5 vs 1.4±0.7 mg; ×1000 to µg. Three-arm trial: combined-acupoint vs sham; single-acupoint arm (n=198) not used,2026-09-10,CORRECTED,Placeholder means; arm sizes were already correct
Xing 2022,intraop_opioid,1330±310 vs 1620±380,1182.61±253.61 vs 1415.41±295.67,µg remifentanil,29/29,s40122-022-00429-2.pdf,"Table 3, Consumption of anesthetics",direct,Three-arm trial: NTG vs NG isolates the TEAS increment; Group G (1619.13±328.98) is not the comparator,2026-09-10,CORRECTED,Placeholder means; stored comparator resembled Group G
Zheng 2025,intraop_opioid,750±180 vs 820±190,233.1±29.6 vs 289.5±37.9,µg remifentanil,42/43,109499.pdf,"Table 3, Perioperative Data Between the Two Groups",direct,Low absolute doses are genuine: opioid-sparing regimen (remifentanil 0.6-1.0 µg/kg/h + sevoflurane + TAP block),2026-09-10,CORRECTED,Placeholder means ~3.5× the true values
Yang 2024,flatus_time,83.0±12.0 vs 85.0±12.0,15.4±3.2 vs 17.0±3.7,hours,90/90,covidence_1930_full_article.pdf,"Table 2, Outcomes on gastrointestinal function",direct,,2026-09-10,CORRECTED,Placeholder means; arm sizes were already correct
Yang 2020,flatus_time,67.45±10.42 vs 73.55±12.18,20.8±4.6 vs 24.1±6.2,hours,29/28,covidence_464_verified.pdf,Table 3,direct,,2026-09-10,CORRECTED,Placeholder means; arm sizes were already correct
Xing 2022,flatus_time,48.86±11.45 vs 51.07±12.24,32.57±6.94 vs 36.83±6.19,hours,29/29,s40122-022-00429-2.pdf,"Table 3, Postoperative time to first flatus",direct,Three-arm trial: NTG vs NG,2026-09-10,CORRECTED,Placeholder means; arm sizes were already correct
Lu 2022,flatus_time,38.8±8.2 vs 46.2±8.9,34.5±16.7 vs 42.4±22.9,hours,47/47,getfile.php-3.pdf,"Table 3, Recovery Parameters of the Patients",direct,,2026-09-10,CORRECTED,Placeholder means and SDs; arm sizes were already correct
Ng 2013,flatus_time,31.92±8.64 vs 32.16±8.88 (n=6/6),48.0±21.6 vs 55.2±26.4,hours,55/55,covidence_1970_ng_2013.pdf,"Table 4, Outcome Measures of Electroacupuncture Versus Sham Acupuncture Groups",derived,Reported 2.0±0.9 vs 2.3±1.1 days (P=.095); ×24 to hours. Three-arm trial: EA vs sham acupuncture arm,2026-09-10,CORRECTED,Fabricated arms AND fabricated provenance note; source values 1.33/1.34 days do not exist
Xie 2014,rescue_analgesia,4/20 vs 10/20,1/20 vs 6/20,participants,20/20,covidence_701_full_article.pdf,Rescue dezocine,direct,,2026-09-10,CORRECTED,Placeholder event counts
Yu 2020,rescue_analgesia,5/30 vs 11/30,13/30 vs 24/30,participants,30/30,s13063-019-3892-4.pdf,Participants requiring rescue sufentanil,direct,,2026-09-10,CORRECTED,Placeholder event counts
Tu 2024,rescue_analgesia,9/77 vs 17/76,3/57 vs 6/58,participants,57/58,study_244_Tu_2023.pdf,Any rescue tramadol use,direct,,2026-09-10,CORRECTED,Placeholder event counts AND wrong denominators (randomised rather than analysed population)
Zhang 2023,opioid_48h,100±22.24 (lock mean/sd blank),100±22.239 vs 103.333±14.826,mg IV MME,922/916,covidence_308_full_article.pdf,"Table 1, post-surgery opioid dosage within 48 h",derived,"Source reports median [IQR] 110.0 [80.0-110.0] vs 110.0 [90.0-110.0] mg MME; Wan et al. transformation: mean=(q1+median+q3)/3, SD=IQR/1.35. Reproduces the locked values exactly.",2026-09-10,VERIFIED - NO CHANGE,Earlier 'unverifiable' flag was an artifact of reading mean_i rather than the derived mean_i_mme column
Xie 2014,opioid_48h,115±6 vs 133.5±7 (n=20/20),Excluded from the strict 48 h set,µg sufentanil,20/20,covidence_701_full_article.pdf,"Table 2, total dose of sufentanil",direct,"Three-arm trial (A control 134±5.9, B sham EA 133±7.0, C EAS 115±6.0). The two lock rows are two different comparators, not competing values for one; both carry include_strict=0 (shared-control).",2026-09-10,RESOLVED - RECORD REMOVED,data.js presented an include_strict=0 contrast as a pooled 48 h record
