Priority,Target,Studyresult,Unresolvedissue,Datasetactionnow,Resolutionneeded,Dispositionclass,Dispositionstatus,Globalfinallockblocker,v23analysishandling
P1,Cross-target,Yeh 2010 ATHM / Yeh 2011 IJNS,Potential overlapping/companion cohort; identical sham PCA/morphine values and near-identical active/control values.,HOLD one publication family from any common model; do not double-count.,Confirm cohort overlap using recruitment dates/participant IDs; choose unique cohort/primary report.,HARD_HOLD_DEPENDENCY,HARD HOLD,NO,Exclude both publications from any common pooled model until overlap is adjudicated; keep one unresolved publication-family study unit.
P1,F-intra,Liu 2026 burn remifentanil,Abstract medians/IQR differ from main Results/Figure 4.,include_primary=0 for remifentanil until resolved.,Confirm correct group medians/IQR and exact unit; provide raw data/correction.,RESOLVED_BY_SOURCE_HIERARCHY,DISPOSITIONED,NO,Use main Results/Figure 4 values: 0.70 (0.50–1.10) vs 0.90 (0.65–1.25) mg; retain abstract discrepancy as QC; sensitivity-only per AF lock.
P1,F-rescue,Liu 2026 burn rescue dezocine,Same 3/43 vs8/43 counts have P=0.106 in Table 2 vs P=0.430 in prose.,Use raw counts if analysis proceeds; flag publication error; do not quote a P value as definitive.,Confirm correct test/P value.,RESOLVED_BY_RAW_DATA_RULE,DISPOSITIONED,NO,Use raw events 3/43 vs 8/43 to calculate RR/CI in Stata; do not use either published P value as the meta-analytic effect.
P1,F-rescue,Yao 2015,Cumulative rescue count has P=0.004 in Table 3 vs0.04 in prose.,Keep medians/IQR; set published_p_unresolved=1.,Confirm correct P value/test.,RESOLVED_BY_NATIVE_DATA_RULE,DISPOSITIONED,NO,Retain median/IQR rescue-administration counts 1 (1–3) vs 3.5 (2–7.8); do not infer effect from the conflicting P value. Pool only with a prespecified method suitable for non-normal count data.
P1,F-mixed,Zhang 2025,"14/45 vs29/48; endpoint mixes PACU sufentanil and ward indomethacin; printed RR0.70 (0.44–1.10), P=0.005 is incompatible with raw counts.",Do not pool as opioid rescue; include_primary=0.,Define event composition; provide separate sufentanil/indomethacin counts and corrected effect/CI/P.,RESOLVED_BY_EXCLUSION,DISPOSITIONED,NO,Exclude from opioid-specific rescue pooling. Retain 14/45 vs 29/48 only in mixed/undefined rescue evidence map; do not use printed RR/CI.
P1,F-rescue-nonopioid,Lu 2021,Rescue parecoxib table P=0.35 vs narrative P=0.58.,Use raw 4/190 vs7/188 if needed; flag P discrepancy.,Confirm correct P and whether endpoint is ≥1 parecoxib dose by24 h.,RESOLVED_BY_RAW_DATA_RULE,DISPOSITIONED,NO,For parecoxib rescue use raw counts 4/190 vs 7/188; calculate RR/CI directly. Ignore conflicting publication P=.35/.58 for quantitative synthesis.
P1,F-PCA,He 2026 hepatectomy,48-h mean effective deliveries slightly exceed mean attempts in TEAS arm; exact MME totals only in unavailable supplement.,Do not use 48-h PCA count or MME until source clarified; 24-h counts remain usable.,Provide eTable1; confirm 48-h attempt/delivery values and PCA final concentration/volume.,RESOLVED_BY_PARTIAL_EXCLUSION,DISPOSITIONED,NO,Use verified 24-h PCA attempts/deliveries only. Exclude unresolved 48-h counter values and unavailable 48-h MME detail until supplement clarification.
P1,A,Xie 2014,Published 'up to postoperative48 h' total may include 30-min pre-end-of-surgery sufentanil; 2.25 vs2.5 μg/h infusion conflict.,Sensitivity only; exclude strict A primary.,Confirm calculation interval and actual infusion rate.,RESOLVED_BY_SENSITIVITY,DISPOSITIONED,NO,Keep total sufentanil only in broader/sensitivity 48-h analysis; exclude from strict postoperative-only 0–48-h primary model.
P1,F-mixed,Zhou 2021 gastric,Exact opioid-consumption time window unclear; morphine-equivalent conversion differs between Methods and Table footnote.,Exclude fixed 24/48/72-h pools.,"Confirm time window, opioid drugs/doses, and conversion actually used.",RESOLVED_BY_EXCLUSION,DISPOSITIONED,NO,Exclude from fixed 24/48/72-h opioid pools. Retain binary opioid-use and author-defined MME only in evidence map/native-scale descriptive analyses.
P1,F-mixed,Liang 2021 extra analgesia,"3.8(1.9) vs5.0(2.9) has no drug, unit, time window or interpretable metric.",Exclude quantitative synthesis.,"Define medication, unit, metric, trigger and window.",RESOLVED_BY_EXCLUSION,DISPOSITIONED,NO,Exclude from quantitative synthesis; retain source text 3.8(1.9) vs 5.0(2.9) as unresolved descriptive result.
P1,F-intra,Liang 2021,Printed intraoperative sufentanil 0.1 mg/kg per30 min appears implausible.,Do not use this sufentanil statement/conversion.,Confirm correct unit/dose; provide corrected source.,RESOLVED_BY_FIELD_EXCLUSION,DISPOSITIONED,NO,Do not use the implausibly printed sufentanil dosing statement. The separately verified remifentanil result remains usable in its own sensitivity stratum.
P1,F-mixed,Wang 2023 rescue,"Cumulative rescue-dose count reported, but drug, dose and trigger unspecified.",Do not classify as opioid/non-opioid until clarified.,"Identify medication(s), dosing, trigger and prescribing clinician/blinding.",RESOLVED_BY_EXCLUSION,DISPOSITIONED,NO,Retain rescue-dose-count result in mixed/undefined evidence map only; do not classify as opioid or non-opioid rescue.
P1,F-PCA,Huang 2024 TKA,Additional PCA-dose unit/drug/concentration not defined; POD2 anchored to first EA rather than surgery.,Do not convert to opioid dose or surgery-to-24 h result.,Provide PCA drug/concentration/settings/unit and surgery-to-measurement interval.,RESOLVED_BY_EXCLUSION,DISPOSITIONED,NO,Keep additional-PCA metric as descriptive native-scale result only; do not convert to opioid dose or assign to surgery-to-24-h pool.
P1,F-PCA,Zheng 2025,Total/effective PCIA use reported without exact cumulative time window.,Do not assign to 24/48-h stratum.,Specify window and device-counter definitions.,RESOLVED_BY_EXCLUSION,DISPOSITIONED,NO,Retain PCIA-use counts in evidence map; do not assign to 24-h or 48-h PCA stratum.
P1,F-rescue,Ntritsou 2014,"Rescue algorithm reported and significant, but exact group rescue quantities not given.",Narrative only.,Provide rescue tramadol/morphine counts/doses by group/time.,RESOLVED_BY_NARRATIVE_ONLY,DISPOSITIONED,NO,Narrative/supportive rescue evidence only; no quantitative rescue effect because exact group rescue quantities are absent.
P1,F-postop-dose,Gu 2019,Exact 24-h mixed-PCIA volume is graph-only; text only gives4/8/36 h.,No 24-h numeric synthesis unless digitization is prespecified/validated.,Provide exact16/24-h values or raw pump data.,RESOLVED_BY_TIMEPOINT_EXCLUSION,DISPOSITIONED,NO,"Use exact text-reported 4-, 8-, and 36-h mixed-PCIA volumes only where relevant; exclude exact 24-h analysis unless a prespecified validated digitization is performed."
P1,A,An 2014,Reported total fentanyl means approach/exceed nominal reservoir implied by weight-based formulation.,Keep source result but flag plausibility; sensitivity if necessary.,Confirm PCA reservoir preparation and actual total fentanyl accounting.,RESOLVED_BY_MANDATORY_SENSITIVITY,DISPOSITIONED,NO,"Retain source-reported 48-h fentanyl result in Target-A strict dataset, but require a leave-one-study-out/sensitivity model excluding An 2014 because of the reservoir plausibility concern."
P1,F-intra,Jiang 2026,Anesthesiologist masking and explicit remifentanil titration algorithm not reported; analyzed denominator smaller than randomized.,"Keep as exposure-only, not clean titrated requirement.","Confirm anesthesiologist blinding, titration rule, and why intraop data omitted for later follow-up losses.",RESOLVED_BY_STRATIFICATION,DISPOSITIONED,NO,Keep as intraoperative opioid exposure only; do not pool with clean protocol-titrated opioid-requirement studies.
P2,F-mixed,Yang 2020,Bucinnazine rescue result has no exact cumulative time window.,Evidence map / no fixed-time pool.,Specify rescue observation window.,,OPEN / LOWER PRIORITY,NO,Evidence map / no fixed-time pool.
P2,F-mixed,Yang 2024,Bucinnazine rescue result has no exact cumulative time window.,Evidence map / no fixed-time pool.,Specify rescue observation window.,,OPEN / LOWER PRIORITY,NO,Evidence map / no fixed-time pool.
P2,D,Zhou 2025 PONV,POD1 not explicitly defined as cumulative 0–24 h.,Sensitivity only unless protocol accepts POD1 proxy.,Confirm exact POD1 clock boundary.,,OPEN / LOWER PRIORITY,NO,Sensitivity only unless protocol accepts POD1 proxy.
P2,E,Zhou 2025 first flatus,Time zero and ascertainment method not reported.,Retain with timing caveat.,Define time origin and who recorded/verified flatus.,,OPEN / LOWER PRIORITY,NO,Retain with timing caveat.
P2,E,Yang 2020 first flatus,'Checked regularly' but reporter/frequency/time zero incomplete.,Retain with timing caveat.,"Define time zero, reporter and checking interval.",,OPEN / LOWER PRIORITY,NO,Retain with timing caveat.
P2,E,Xing 2022 first flatus,Detection method and exact postoperative time origin not reported.,Retain with timing caveat.,Define event ascertainment/time zero.,,OPEN / LOWER PRIORITY,NO,Retain with timing caveat.
P2,E,Lu 2022 first flatus,Ascertainment/time zero unclear; 6/100 randomized excluded.,Retain; sensitivity by RoB.,Define time zero/verification; provide excluded-participant data.,,OPEN / LOWER PRIORITY,NO,Retain; sensitivity by RoB.
P2,E,Ng 2013 first flatus,"Independent assessor reported, but exact verification/time origin unclear; nonopaque envelope.",Retain; sensitivity by RoB.,Define verification/time zero and allocation safeguards.,,OPEN / LOWER PRIORITY,NO,Retain; sensitivity by RoB.
P2,F-postop-dose,Lee 2011,Direct active-vs-sham pairwise P values not reported; two low-frequency participants excluded.,Effect size can be computed from means/SDs; keep P as NR.,Provide direct pairwise statistics and excluded participants' PCA data.,,OPEN / LOWER PRIORITY,NO,Effect size can be computed from means/SDs; keep P as NR.
P2,F-PCA,Lu 2022,PCA drug/concentration/settings not reported in primary text.,Keep as behavioral counts only; never convert to opioid dose.,Provide PCA formulation/settings and confirm electronic pump source.,,OPEN / LOWER PRIORITY,NO,Keep as behavioral counts only; never convert to opioid dose.
P2,F-intra,Huang 2017,Anesthesiologist titrating remifentanil not explicitly stated blinded.,Sensitivity stratum.,Confirm titrating anesthesiologist masking.,,OPEN / LOWER PRIORITY,NO,Sensitivity stratum.
P2,A,Zhang 2023,Exact source of 48-h opioid capture (pump log vs MAR/chart) not stated.,Retain primary; document measurement-source uncertainty.,Clarify source records and exact calculation.,,OPEN / LOWER PRIORITY,NO,Retain primary; document measurement-source uncertainty.
P2,F-postop-dose,El-Rakshy 2009,Original patient-level dataset inaccessible; outcome-specific n=95/107.,High-RoB sensitivity only.,Recover raw data if possible; clarify missing 24-h values/analgesic composition.,,OPEN / LOWER PRIORITY,NO,High-RoB sensitivity only.
P3,F-intra,Zhang 2014,"Abstract says72 randomly allocated, detailed flow supports65 randomized/analyzed.",Use detailed flow denominator; flag manuscript inconsistency.,Confirm randomized denominator and allocation concealment.,,OPEN / LOWER PRIORITY,NO,Use detailed flow denominator; flag manuscript inconsistency.
