#	Covidence ID	First author	Year	Short title	DOI/PMID	MedSök searched	Full text found	Source/provider	PDF uploaded to Covidence	Order option available	Status/notes
1	4	Jiang	2026	TEAS and gastrointestinal recovery after non-GI laparoscopy	10.1016/j.ctcp.2026.102076; PMID 42400966	Yes	No	MedSök/EBSCO exact record	No	No	TECHNICAL_ERROR - Exact match confirmed; Fulltext resolver remained on a separate EBSCO Sign In page after MedSök authentication
2	121	Zhou	2025	TEAS preoperative analgesia for elderly intertrochanteric fracture	10.13702/j.1000-0607.20241048; PMID 40551652	Yes	No	MedSök exact citation; no enabled access route	No	No	CNKI_OR_CHINESE_DATABASE_REQUIRED - Chinese journal record matched; MedSök exposes citation only
3	190	Zhao	2024	TEAS and recovery quality after sinus surgery	10.13703/j.0255-2930.20231123-0001; PMID 39401810	Yes	No	MedSök exact citation; Lund University Library/Finn DOI, PMID, and title fallback	No	Yes	ORDER_AVAILABLE - No valid Lund full-text match; unrelated title result rejected; no order submitted
4	244	Tu	2023	TEAS for PONV after craniotomy	10.1016/j.ctcp.2023.101824; PMID 38150863	Yes	No	MedSök exact citation; Fulltext resolver	No	No	TECHNICAL_ERROR - Exact match confirmed; Fulltext resolver opened a separate EBSCO Sign In page despite authenticated MedSök session
5	252	Yang	2023	Perioperative EA and GI recovery after lung surgery	10.1016/j.explore.2023.11.004; PMID 38007308	Yes	Yes	Lund University Library/Finn institutional ScienceDirect access; published Version of Record	Yes	Yes	FOUND_AND_UPLOADED - First page verified: exact title, Jie Yang, EXPLORE 20 (2024) 450-455, DOI 10.1016/j.explore.2023.11.004; Covidence attachment confirmed as 005_yang_2023_lund.pdf; no order submitted
6	260	Guo	2023	TEAS and cognitive function in older lung cancer patients	10.1016/j.heliyon.2023.e19386; PMID 37809441	Yes	Yes	MedSök Open Access PDF (published Version of Record)	Yes	No	FOUND_AND_UPLOADED - First page verified: title, first author, Heliyon, 2023; Covidence attachment confirmed as 006_guo_2023.pdf
7	295	Hou	2023	Perioperative TEAS in living donor nephrectomy ERAS	10.1016/j.heliyon.2023.e14423; PMID 36950567	Yes	Yes	MedSök Open Access PDF (published Version of Record)	Yes	No	FOUND_AND_UPLOADED - First page verified: title, first author, Heliyon, 2023; Covidence attachment confirmed as 007_hou_2023.pdf
8	311	Wang	2022	EA before gastrectomy and GI dysfunction	10.1089/acu.2021.0085; PMID 36644423	Yes	Yes	Covidence LibKey linked from the MedSök-identified citation; published PDF	Yes	Yes	FOUND_AND_UPLOADED - First page verified: title, Liping Wang, Medical Acupuncture, 2022; Covidence attachment confirmed as 008_wang_2022.pdf; no order submitted
9	326	Jin	2022	EA plus IV PCA after cesarean delivery	10.1016/j.ajogmf.2022.100826; PMID 36464237	Yes	Yes	MedSök Open Access PDF (published Version of Record)	Yes	No	FOUND_AND_UPLOADED - First page verified: title, first author, American Journal of Obstetrics & Gynecology MFM, 2023 issue; Covidence attachment confirmed as 009_jin_2023.pdf
10	393	Tian	2021	TEAS promotes recovery from general anesthesia in GI surgery	10.13702/j.1000-0607.201152; PMID 34865335	Yes	No	Lund University Library/Finn DOAJ route to 针刺研究 publisher abstract page only	No	Yes	EXCLUDED_ABSTRACT_ONLY - Covidence full-text vote changed to Exclude with reason Abstract only; publisher page contained citation, abstracts, keywords, and funding but no article body; no order submitted
11	397	Yu	2021	TEAS and stress response during thoracoscopic intubation/extubation	10.1155/2021/1098915; PMID 34630601	Yes	Yes	MedSök Open Access PDF (published Version of Record)	Yes	No	FOUND_AND_UPLOADED - First page verified: title, first author, Evidence-Based Complementary and Alternative Medicine, 2021; Covidence attachment confirmed as 011_yu_2021.pdf
12	405	Ge	2021	Adductor canal block plus TEAS for knee arthroplasty	10.12200/j.issn.1003-0034.2021.08.011; PMID 34423619	Yes	No	MedSök exact citation; Lund University Library/Finn DOI, PMID, and title fallback	No	Yes	ORDER_AVAILABLE - No valid Lund full-text match; no order submitted
