result_id,model_id,decision,construct,window,modality,comparator,population,rationale,factor
V33-OD-0350,opioid24_TEAS_sham,INCLUDE,systemic_opioid_0_24h,0–24 h postoperative,TEAS,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0351,opioid24_TEAS_usual,INCLUDE,systemic_opioid_0_24h,0–24 h postoperative,TEAS,usual_care,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0252,opioid24_EA_usual,INCLUDE,systemic_opioid_0_24h,First 24 h,EA,usual_care,Outcome-specific analyzed population,El-Rakshy outcome Table2 retained with High RoB/source caveat; Seeva includes rescue.,1
V33-OD-0003,opioid24_EA_usual,INCLUDE,systemic_opioid_0_24h,First 24 h postoperatively,EA,usual_care,Outcome-specific analyzed population,El-Rakshy outcome Table2 retained with High RoB/source caveat; Seeva includes rescue.,1
V33-OD-0003,opioid24_EA_usual_without_ElRakshy,SENSITIVITY,systemic_opioid_0_24h,First 24 h postoperatively,EA,usual_care,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0013,opioid24_TEAS_sham_expanded_suf0.25,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,First 24 h postoperatively,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,5
V33-OD-0214,opioid24_TEAS_sham_expanded_suf0.25,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,0-24 h,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,1
V33-OD-0350,opioid24_TEAS_sham_expanded_suf0.25,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,0–24 h postoperative,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,1
V33-OD-0014,opioid24_TEAS_sham_expanded_suf0.25,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,24 h postoperatively,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,0.25
V33-OD-0013,opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,First 24 h postoperatively,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,5
V33-OD-0214,opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,0-24 h,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,1
V33-OD-0350,opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,0–24 h postoperative,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,1
V33-OD-0013,opioid24_TEAS_sham_expanded_suf0.5,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,First 24 h postoperatively,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,5
V33-OD-0214,opioid24_TEAS_sham_expanded_suf0.5,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,0-24 h,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,1
V33-OD-0350,opioid24_TEAS_sham_expanded_suf0.5,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,0–24 h postoperative,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,1
V33-OD-0014,opioid24_TEAS_sham_expanded_suf0.5,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,24 h postoperatively,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,0.5
V33-OD-0013,opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,First 24 h postoperatively,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,5
V33-OD-0214,opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,0-24 h,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,1
V33-OD-0350,opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,0–24 h postoperative,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,1
V33-OD-0013,opioid24_TEAS_sham_expanded_suf1,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,First 24 h postoperatively,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,5
V33-OD-0214,opioid24_TEAS_sham_expanded_suf1,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,0-24 h,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,1
V33-OD-0350,opioid24_TEAS_sham_expanded_suf1,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,0–24 h postoperative,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,1
V33-OD-0014,opioid24_TEAS_sham_expanded_suf1,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,24 h postoperatively,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,1.0
V33-OD-0013,opioid24_TEAS_sham_expanded_suf1_without_Chen2020,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,First 24 h postoperatively,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,5
V33-OD-0214,opioid24_TEAS_sham_expanded_suf1_without_Chen2020,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,0-24 h,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,1
V33-OD-0350,opioid24_TEAS_sham_expanded_suf1_without_Chen2020,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,0–24 h postoperative,TEAS,sham,Outcome-specific analyzed population,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,1
V33-OD-0252,opioid24_EA_usual_expanded,SENSITIVITY,device_or_systemic_opioid_0_24h,First 24 h,EA,usual_care,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0003,opioid24_EA_usual_expanded,SENSITIVITY,device_or_systemic_opioid_0_24h,First 24 h postoperatively,EA,usual_care,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0052,opioid24_EA_usual_expanded,SENSITIVITY,device_or_systemic_opioid_0_24h,First 24 h / POD1,EA,usual_care,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0006,opioid_partial_EA_sham,SENSITIVITY,PCA_partial_1_to_24h,Postoperative hour 1 through next 23 h (published as 24-h test-period value),EA,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0007,opioid_partial_EA_sham,SENSITIVITY,PCA_partial_1_to_24h,Postoperative hour 1 through next 23 h (published as 24-h test-period value),EA,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0004,opioid_partial_EA_usual,SENSITIVITY,PCA_partial_1_to_24h,Postoperative hour 1 through next 23 h (published as 24-h test-period value),EA,usual_care,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0005,opioid_partial_EA_usual,SENSITIVITY,PCA_partial_1_to_24h,Postoperative hour 1 through next 23 h (published as 24-h test-period value),EA,usual_care,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0184,opioid_partial_TEAS_sham,SENSITIVITY,PCA_partial_1_to_24h,First 24 postoperative hours,TEAS,sham,Outcome-specific analyzed population,Lee Table8 excludes recovery-room doses; combine low/high arms; sham interval sum differs fromTable8.,1
V33-OD-0185,opioid_partial_TEAS_sham,SENSITIVITY,PCA_partial_1_to_24h,First 24 postoperative hours,TEAS,sham,Outcome-specific analyzed population,Lee Table8 excludes recovery-room doses; combine low/high arms; sham interval sum differs fromTable8.,1
V33-OD-0107,opioid24_EA_sham_weight_normalized,SENSITIVITY,PCA_morphine_0_24h_weight_normalized,0-24 h,EA,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0108,opioid24_EA_sham_weight_normalized,SENSITIVITY,PCA_morphine_0_24h_weight_normalized,0-24 h,EA,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0016,opioid24_EA_sham_fentanyl_per_kg,SENSITIVITY,fentanyl_0_24h_weight_normalized,First 24 h postoperatively,EA,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0027,ponv24_TEAS_sham,INCLUDE,composite_PONV_0_24h,POD1,TEAS,sham,Outcome-specific analyzed population,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,1
V33-OD-0033,ponv24_TEAS_sham,INCLUDE,composite_PONV_0_24h,Within 24 h postoperatively,TEAS,sham,Outcome-specific analyzed population,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,1
V33-OD-0130,ponv24_TEAS_sham,INCLUDE,composite_PONV_0_24h,24 h,TEAS,sham,Outcome-specific analyzed population,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,1
V33-OD-0131,ponv24_TEAS_sham,INCLUDE,composite_PONV_0_24h,24 h,TEAS,sham,Outcome-specific analyzed population,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,1
V33-OD-0168,ponv24_TEAS_sham,INCLUDE,composite_PONV_0_24h,Through POD1 / approximately 24 h,TEAS,sham,Outcome-specific analyzed population,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,1
V33-OD-0195,ponv24_TEAS_sham,INCLUDE,composite_PONV_0_24h,Within 24 h,TEAS,sham,Outcome-specific analyzed population,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,1
V33-OD-0215,ponv24_TEAS_sham,INCLUDE,composite_PONV_0_24h,0-24 h,TEAS,sham,Outcome-specific analyzed population,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,1
V33-OD-0257,ponv24_TEAS_sham,INCLUDE,composite_PONV_0_24h,0-24 h,TEAS,sham,Outcome-specific analyzed population,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,1
V33-OD-0261,ponv24_TEAS_sham,INCLUDE,composite_PONV_0_24h,0-24 h,TEAS,sham,Outcome-specific analyzed population,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,1
V33-OD-0276,ponv24_TEAS_sham,INCLUDE,composite_PONV_0_24h,0-24 h,TEAS,sham,Outcome-specific analyzed population,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,1
AUDIT-0359,ponv24_TEAS_sham,INCLUDE,composite_PONV_0_24h,0–24 h,TEAS,sham,Intention-to-treat; all randomized participants analyzed,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,1
V33-OD-0027,ponv24_TEAS_sham_point_window_sensitivity,SENSITIVITY,PONV_24h_including_point_window_uncertain,POD1,TEAS,sham,Outcome-specific analyzed population,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,1
V33-OD-0033,ponv24_TEAS_sham_point_window_sensitivity,SENSITIVITY,PONV_24h_including_point_window_uncertain,Within 24 h postoperatively,TEAS,sham,Outcome-specific analyzed population,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,1
V33-OD-0130,ponv24_TEAS_sham_point_window_sensitivity,SENSITIVITY,PONV_24h_including_point_window_uncertain,24 h,TEAS,sham,Outcome-specific analyzed population,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,1
V33-OD-0131,ponv24_TEAS_sham_point_window_sensitivity,SENSITIVITY,PONV_24h_including_point_window_uncertain,24 h,TEAS,sham,Outcome-specific analyzed population,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,1
V33-OD-0168,ponv24_TEAS_sham_point_window_sensitivity,SENSITIVITY,PONV_24h_including_point_window_uncertain,Through POD1 / approximately 24 h,TEAS,sham,Outcome-specific analyzed population,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,1
V33-OD-0195,ponv24_TEAS_sham_point_window_sensitivity,SENSITIVITY,PONV_24h_including_point_window_uncertain,Within 24 h,TEAS,sham,Outcome-specific analyzed population,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,1
V33-OD-0215,ponv24_TEAS_sham_point_window_sensitivity,SENSITIVITY,PONV_24h_including_point_window_uncertain,0-24 h,TEAS,sham,Outcome-specific analyzed population,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,1
V33-OD-0257,ponv24_TEAS_sham_point_window_sensitivity,SENSITIVITY,PONV_24h_including_point_window_uncertain,0-24 h,TEAS,sham,Outcome-specific analyzed population,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,1
V33-OD-0261,ponv24_TEAS_sham_point_window_sensitivity,SENSITIVITY,PONV_24h_including_point_window_uncertain,0-24 h,TEAS,sham,Outcome-specific analyzed population,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,1
