assessment_id,result_id,study,domain,source_text,source_text_sha256,line_start,line_end,excerpt
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,1,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yao_2015.txt,8a196fed942d9398e2dae6aa32a56cd978655acfc586f73b184f49271205bf77,90,97,"2.2. Randomization and Blinding. Patients were assigned to
either the TEAS group or the control group by a table of
computer-generated random numbers. The allocation ratio
was 1 : 1 for the two groups. Group assignments were sealed
in sequentially numbered opaque envelopes. The patients,
attending anesthesiologist, surgeons, recovery ward nurses,
data collectors, and the person who performed the final
statistical analysis were blinded to group assignment."
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,2,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yao_2015.txt,8a196fed942d9398e2dae6aa32a56cd978655acfc586f73b184f49271205bf77,98,156,"2.3. Study Protocol. Patients in the TEAS group received pre-
operative TEAS for 30 min before the induction of anesthesia
in the holding area. TEAS was applied to four pairs of acu-
points: bilateral Hegu (LI4), Neiguan (PC6), Zusanli (ST36),
and Sanyinjiao (SP6). These acupoints were identified accord-
ing to the traditional anatomical localisations (Figure 1).
TEAS was performed with a dense-disperse frequency of
2/10 Hz and an intensity of 6–9 mA for 30 min using the
Hans electronic acupuncture apparatus (HANS-100B, Nan-
jing Jisheng Medical Technology Company, Nanjing, China).
The optimal intensity was adjusted to maintain a slight
twitching of the regional muscle according to individual
maximum tolerance. In the control group, the patients were
connected to the apparatus, but electronic stimulation was
not applied.
2.4. Standardized Anesthesia. All patients were fasted for at
least 8 h and premedicated with IV midazolam 0.05 mg/kg
30 min before anesthesia induction. Standard monitoring,
including electrocardiogram, noninvasive blood pressure,
pulse oximetry, and temperature, was used in all patients
for the duration of surgery. General anesthesia was induced
(Hegu)
LI4
(Neiguan)
PC6
(Zusanli)
ST36
(Sanyinjiao)
SP6
Figure 1: Location of Hegu (LI4), Neiguan (PC6), Zusanli (ST36),
and Sanyinjiao (SP6) acupoints.
with IV sufentanil 0.5 𝜇g/kg and propofol 2.0 mg/kg. Tracheal
intubation was facilitated with cisatracurium 0.15 mg/kg.
After intubation, mechanical ventilation was used to main-
tain PETCO2 at 35–45 mmHg. Anesthesia maintenance was
achieved with sevoflurane 2%-3% according to both hemo-
dynamic parameters and bispectral index (BIS) of 40–60.
Perioperative fluids were administrated in a standardized
way, and normothermia (36∘C to 37∘C) was maintained by
a warming device (Bair Hugger; Augustine Medical Inc.,
Eden Prairie, USA). All patients received IV tropisetron 5 mg
30 min before the end of surgery. Neuromuscular blockade
was antagonized using neostigmine 0.02 mg/kg and atropine
0.01 mg/kg.
2.5. Study Outcomes. The primary outcome was the quality
of recovery, which was assessed on the day before surgery
and 24 h after surgery using a 40-item questionnaire (QoR-
40) [10]. The global QoR-40 score ranges from 40 to 200,
representing extremely poor to excellent quality of recovery,
respectively.
Secondary outcomes were postoperative pain scores, the
incidence of nausea and vomiting, duration of PACU stay,
and patient’s satisfaction. Postoperative pain was assessed
using Visual Analogue Scale (VAS) in 24 h after surgery. If
the VAS score was greater than or equal to 4, the patient
received IV sufentanil 0.05 𝜇g/kg as rescue analgesia. Patient’s
satisfaction was evaluated on postoperative 24 h with a 10-
point numerical rating scale: 10 = excellent, 1 = bad. Patient’s
satisfaction is defined as the scale with a threshold value of"
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,3,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yao_2015.txt,8a196fed942d9398e2dae6aa32a56cd978655acfc586f73b184f49271205bf77,173,224,"Assessed for eligibility (n = 103)
Excluded (n = 29)
Not meeting inclusion criteria (n = 21)
Declined to participate (n = 8)
Randomized (n = 74)
Allocated to control (n = 37)
Received allocated control (n = 37)
Allocated to TEAS (n = 37)
Received allocated TEAS (n = 37)
Discontinued intervention (n = 2)
Protocol breach
Lost to follow-up (n = 0)
Discontinued intervention (n = 1)
Protocol breach
Lost to follow-up (n = 0)
Analysed (n = 36)
n = 0
Excluded from analysis (
)
Analysed (n = 35)
Excluded from analysis (n = 0)
Figure 2: Consolidated Standards of Reporting Trials (CONSORT) flow diagram depicting the progress of subject through the trail. TEAS:
transcutaneous electric acupoint stimulation group.
(standard deviation) of the QoR score at 24 h postoperative
equivalent to 171 (14.3) was estimated based on our pilot study.
A power analysis using a type I error estimate of 5% (alpha =
0.05) and a power (1-Beta) of 80% indicated that a sample
of 34 subjects per group would be required. Allowing for
approximately 10% incomplete follow-up or dropout, a total
of 74 subjects were enrolled in this study.
Statistical analysis was performed using SPSS version 18.0
(SPSS Inc., Chicago, IL, USA). The normality of distribution
was assessed with the Kolmogorov-Smirnov test. Parametric
data were reported as mean (standard deviation (SD)) and
analyzed with the independent 𝑡-test, and nonparametric
data were reported as median and (interquartile range (IQR))
and analyzed using the Mann-Whitney 𝑈test. Categorical
variables were reported as the number of patients (%) and
evaluated using the 𝑥2 or Fisher’s exact test when appropriate.
The level of significance was considered at a 𝑃value of less
than 0.05.
3. Results
We initially assessed 103 patients for eligibility to participate
in this study (Figure 2). Of these, 21 patients did not meet the
inclusion criteria, 8 declined to participate, and the remaining
74 patients enrolled to the study. Two patients from the TEAS
group and one patient from the Control group were later
excluded because of protocol breach. A total of 71 patients
randomized to treatment allocation completed the study and
their data were included in the analysis. Patient demographic
characteristics, type, and durations of procedures were sim-
ilar with no statistically significant differences (𝑃> 0.05)"
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,4,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yao_2015.txt,8a196fed942d9398e2dae6aa32a56cd978655acfc586f73b184f49271205bf77,94,116,"in sequentially numbered opaque envelopes. The patients,
attending anesthesiologist, surgeons, recovery ward nurses,
data collectors, and the person who performed the final
statistical analysis were blinded to group assignment.
2.3. Study Protocol. Patients in the TEAS group received pre-
operative TEAS for 30 min before the induction of anesthesia
in the holding area. TEAS was applied to four pairs of acu-
points: bilateral Hegu (LI4), Neiguan (PC6), Zusanli (ST36),
and Sanyinjiao (SP6). These acupoints were identified accord-
ing to the traditional anatomical localisations (Figure 1).
TEAS was performed with a dense-disperse frequency of
2/10 Hz and an intensity of 6–9 mA for 30 min using the
Hans electronic acupuncture apparatus (HANS-100B, Nan-
jing Jisheng Medical Technology Company, Nanjing, China).
The optimal intensity was adjusted to maintain a slight
twitching of the regional muscle according to individual
maximum tolerance. In the control group, the patients were
connected to the apparatus, but electronic stimulation was
not applied.
2.4. Standardized Anesthesia. All patients were fasted for at
least 8 h and premedicated with IV midazolam 0.05 mg/kg
30 min before anesthesia induction. Standard monitoring,
including electrocardiogram, noninvasive blood pressure,"
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,5,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yao_2015.txt,8a196fed942d9398e2dae6aa32a56cd978655acfc586f73b184f49271205bf77,143,163,"of recovery, which was assessed on the day before surgery
and 24 h after surgery using a 40-item questionnaire (QoR-
40) [10]. The global QoR-40 score ranges from 40 to 200,
representing extremely poor to excellent quality of recovery,
respectively.
Secondary outcomes were postoperative pain scores, the
incidence of nausea and vomiting, duration of PACU stay,
and patient’s satisfaction. Postoperative pain was assessed
using Visual Analogue Scale (VAS) in 24 h after surgery. If
the VAS score was greater than or equal to 4, the patient
received IV sufentanil 0.05 𝜇g/kg as rescue analgesia. Patient’s
satisfaction was evaluated on postoperative 24 h with a 10-
point numerical rating scale: 10 = excellent, 1 = bad. Patient’s
satisfaction is defined as the scale with a threshold value of
greater than or equal to 8.
2.6. Statistical Analysis. Our sample size calculation for the
two-tailed testing of the TEAS superiority hypothesis was
based on the global QoR-40 score. A 10-point difference
represents a clinically relevant improvement in quality of
recovery based on data from a previous study [10]. A mean
 4747, 2015, 1, Downloaded from https://onlinelibrary.wiley.com/doi/10.1155/2015/324360 by John Ryan Nual Mendoza - Statens Beredning , Wiley Online Library on [17/08/2026]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License"
QOR24-V33-OD-0009,V33-OD-0009,Yu 2020,1,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yu_2020.txt,a1018b46eec1d8df75bd7c11d0a7ce0f5ec19a70194a7812a651c55f003871a1,100,112,"Randomization and blinding
Patients were assigned by the nurse to either TEAS
stimulus (TEAS group) or control (Con group) on the
basis of random numbers generated by a computer be-
fore the start of surgery (Fig. 1). Only the acupuncturist
was informed by the nurse of the randomization alloca-
tion, just before the onset of TEAS. None of the anesthe-
siologists, surgeons, physicians in the post-anesthesia
care unit (PACU), or participants were aware of the allo-
cation. Blinding of the patients was ensured by using gel
electrodes in the same therapeutic setting, which has
previously been proved to be a successful strategy [9].
TEAS protocol"
QOR24-V33-OD-0009,V33-OD-0009,Yu 2020,2,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yu_2020.txt,a1018b46eec1d8df75bd7c11d0a7ce0f5ec19a70194a7812a651c55f003871a1,113,174,"An experienced acupuncturist performed TEAS for
30 min before anesthesia. According to the theory of
traditional Chinese medicine, bilateral Baihui (GV20),
Yingtang
(EX-HN3),
Zusanli
(ST36)
and
Neiguan
(PC6) were chosen as the acupuncture points. These
acupoints were identified according to traditional ana-
tomic localization (Fig. 2). Gel electrodes were applied
to the skin after it had been cleaned with ethyl alco-
hol. The acupoints were then stimulated electrically
with an intensity of 12–15 mA and dense-disperse fre-
quency of 2/100 Hz for 30 min, using the Hwato elec-
tronic
acupuncture
treatment
instrument
(model
SDZ-V, Suzhou Medical Appliances Co., Ltd., Suzhou,
China). The intensity was adjusted to maintain slight
twitching of local muscles according to individual
maximum tolerance, indicating a satisfactory De-Qi
phenomenon and thus adequate stimulation. The pa-
tients in the control group had the electrodes applied
but received no stimulation.
Anesthesia and perioperative management
One surgeon conducted all surgery according to a
standard protocol; surgery commenced between 8:30
and 1:00 p.m. Anesthesia was induced intravenously
(i.v.) with propofol and remifentanil using a target-
controlled infusion (TCI) system. After loss of con-
sciousness,
vecuronium
(0.1 mg·kg−1)
was
adminis-
tered i.v., and patients were orotracheally intubated 5
min later. Anesthesia was maintained with TCI of
propofol and remifentanil. The depth of anesthesia
was monitored using the bispectral index (BIS). Con-
centrations at the affected sites of propofol and remi-
fentanil were adjusted to the hemodynamic index and
BIS. Patients’ lungs were mechanically ventilated in a
volume-controlled mode with a tidal volume of 8
ml·kg−1 body weight during the operation. In both
groups,
remifentanil
and
propofol
infusions
were
stopped 5 min before the end of surgery. Patients
were extubated and transferred to the Post Anasthesia
Care Unit (PACU) after surgery.
Yu et al. Trials (2020) 21:43 
Page 2 of 9


=== PDF PAGE 3 ==="
QOR24-V33-OD-0009,V33-OD-0009,Yu 2020,3,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yu_2020.txt,a1018b46eec1d8df75bd7c11d0a7ce0f5ec19a70194a7812a651c55f003871a1,221,238,"All statistical analysis was based on the intention-to-
treat principle. Normally distributed numeric data were
analyzed using the t test and are reported as mean and
standard deviation (SD). Variables measured at multiple
time points were analyzed using repeated-measures ana-
lysis of variance. Dichotomous variables were presented
as the number of patients (percent) and analyzed using
the chi-square (X2) test and are reported as counts with
percentages. Statistical significance was assessed at P <
0.05.
Results
Patient characteristics
Complete datasets were collected for all 60 participants
and all the data were analyzed (Fig. 3). The characteris-
tics of patients such as age, height, BMI, ASA physical
status, anesthesia duration, surgery duration, estimated
Fig. 1 Consolidated standards of reporting trials (Consort) flowchart. TEAS, Transcutaneous electrical acupoint stimulation
Yu et al. Trials (2020) 21:43 "
QOR24-V33-OD-0009,V33-OD-0009,Yu 2020,4,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yu_2020.txt,a1018b46eec1d8df75bd7c11d0a7ce0f5ec19a70194a7812a651c55f003871a1,100,140,"Randomization and blinding
Patients were assigned by the nurse to either TEAS
stimulus (TEAS group) or control (Con group) on the
basis of random numbers generated by a computer be-
fore the start of surgery (Fig. 1). Only the acupuncturist
was informed by the nurse of the randomization alloca-
tion, just before the onset of TEAS. None of the anesthe-
siologists, surgeons, physicians in the post-anesthesia
care unit (PACU), or participants were aware of the allo-
cation. Blinding of the patients was ensured by using gel
electrodes in the same therapeutic setting, which has
previously been proved to be a successful strategy [9].
TEAS protocol
An experienced acupuncturist performed TEAS for
30 min before anesthesia. According to the theory of
traditional Chinese medicine, bilateral Baihui (GV20),
Yingtang
(EX-HN3),
Zusanli
(ST36)
and
Neiguan
(PC6) were chosen as the acupuncture points. These
acupoints were identified according to traditional ana-
tomic localization (Fig. 2). Gel electrodes were applied
to the skin after it had been cleaned with ethyl alco-
hol. The acupoints were then stimulated electrically
with an intensity of 12–15 mA and dense-disperse fre-
quency of 2/100 Hz for 30 min, using the Hwato elec-
tronic
acupuncture
treatment
instrument
(model
SDZ-V, Suzhou Medical Appliances Co., Ltd., Suzhou,
China). The intensity was adjusted to maintain slight
twitching of local muscles according to individual
maximum tolerance, indicating a satisfactory De-Qi
phenomenon and thus adequate stimulation. The pa-
tients in the control group had the electrodes applied
but received no stimulation."
QOR24-V33-OD-0009,V33-OD-0009,Yu 2020,5,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yu_2020.txt,a1018b46eec1d8df75bd7c11d0a7ce0f5ec19a70194a7812a651c55f003871a1,176,232,"The primary end points were postoperative quality of re-
covery and cognitive functioning, and the secondary
endpoint was anesthesia-related side effects, including
pain scores, the incidence of nausea and vomiting and
use of postoperative pain medications and antiemetics.
The Quality of Recovery-40 (QoR-40) is a validated
scale with five domains [10–12]. These measure physical
comfort, emotional state, physical independence, psy-
chological support and pain. Each domain is scored to a
maximum global score of 200. QoR-40 scores have been
found to be associated with quality-of-life scales, patient
satisfaction indices [13] and postoperative pain [14]. In
the present study, QoR-40 evaluation was performed on
preoperative day 1 (T0), postoperative day 1 (T1) and
postoperative day 2 (T2).
The Mini-Mental State Examination (MMSE) is one of
the most widely used assessment instruments of postop-
erative cognitive functioning, and screens domains of
orientation to time and place, attention and memory,
concentration, language and praxis [15]. Patient cogni-
tive function was assessed using the MMSE on days T0,
T1 and T2.
The visual analog scale (VAS) is widely used in behav-
ioral science, and previous studies have reported their
usefulness and validity [16, 17]. We used VAS scores to
determine participants’ levels of pain at rest on postop-
erative day 1 (T1) and postoperative day 2 (T2).
Data collection
Baseline data included demographics, body mass index
(BMI) and ASA physical status. Surgical information re-
corded included anesthesia duration, surgery duration,
estimated blood loss and all other intraoperative medica-
tions. BN, who was blinded to grouping, conducted the
data collection and administered the questionnaires; FZ an-
alyzed the data.
Sample size
Sample size calculation was based on the primary out-
come of QoR-40 scores and MMSE. We calculated that
16 patients in each group were required to detect a 30%
difference between the groups, assuming two-sided type
I error (α) of 0.05 and power of 80%. To account for po-
tential loss to follow up and enable greater statistical
power for secondary analysis, the sample size was in-
creased to 60 patients (30 per group).
Statistical analysis
All statistical analysis was based on the intention-to-
treat principle. Normally distributed numeric data were
analyzed using the t test and are reported as mean and
standard deviation (SD). Variables measured at multiple
time points were analyzed using repeated-measures ana-
lysis of variance. Dichotomous variables were presented
as the number of patients (percent) and analyzed using
the chi-square (X2) test and are reported as counts with
percentages. Statistical significance was assessed at P <
0.05.
Results
Patient characteristics"
