model_id,label,certainty,risk_of_bias,inconsistency,indirectness,imprecision,publication_bias
opioid24_TEAS_sham,ASTRA FINAL GRADE RECOMMENDATION,Low,Serious: only trial has selective-reporting concerns and no full prespecified analysis plan; exact existing assessment Some concerns.,Not downgraded: single study; consistency cannot be evaluated.,Not downgraded for the hernia population itself; extrapolation across surgery remains limited.,Serious: CI crosses the registered10mg benefit threshold;48 analyzed participants cannot establish its magnitude reliably.,Not downgraded again: small evidence body; no informative funnel test. Review-level selection problem reported separately.
opioid24_EA_sham,ASTRA FINAL GRADE RECOMMENDATION,Not rated — insufficient evidence,No eligible quantitative body.,Not applicable.,Not applicable.,No estimate.,Cannot assess.
opioid24_TEAS_usual,ASTRA FINAL GRADE RECOMMENDATION,Very low,Serious: no-stimulation comparison is unblinded; exact comparator-specific RoB linkage unavailable.,Not assessable in one trial.,Not downgraded for the supportive usual-care question; not evidence for sham-specific efficacy.,Very serious:47 participants and CI crosses both8/10mg interpretation thresholds.,No separate downgrade; selective inclusion remains a review-level qualification.
opioid24_EA_usual,ASTRA FINAL GRADE RECOMMENDATION,Very low,Serious: El-Rakshy High RoB with internally conflicting arm and population descriptions; Seeva Some concerns.,Serious: clinically divergent morphine effects under different perioperative regimens; two studies cannot characterize distribution reliably.,Not downgraded for supportive question; usual-care effects cannot substitute for principal EA/sham.,Very serious: safeguarded HK CI includes substantial benefit and harm;159 analyzed participants.,No additional downgrade beyond floor; small evidence body cannot exclude missing unfavorable results.
ponv24_TEAS_sham,ASTRA FINAL GRADE RECOMMENDATION,Low,"Serious: subjective nausea component, variable sensory masking, postrandomization exclusions and incomplete exact RoB linkage.","Serious: variation in effects, surgery and prophylaxis; prediction interval permits null/slightly unfavorable effects despite average benefit.",Not downgraded: clinically relevant cumulative composite; POD1 reports carry modest timing uncertainty.,"Not downgraded:3447 participants; average RR interval supports a reduction, although magnitude across settings is uncertain.",Not downgraded separately: funnel asymmetry cannot distinguish heterogeneity from missing reports. Selection completeness problem is separate and blocks a final review-wide claim.
nausea24_EA_usual,ASTRA FINAL GRADE RECOMMENDATION,Very low,Serious: open-label thoracic trials and incomplete exact symptom-specific RoB linkage.,Not downgraded: broadly compatible direction in two studies; uncertainty is captured in imprecision.,Not downgraded for thoracic supportive question; do not generalize to all surgery/sham efficacy.,Very serious: k2 safeguarded intervals permit major benefit and harm.,No separate downgrade; sparse evidence cannot assess small-study effects.
vomiting24_EA_usual,ASTRA FINAL GRADE RECOMMENDATION,Very low,Serious: open-label thoracic trials and incomplete exact symptom-specific RoB linkage.,Not downgraded: broadly compatible direction in two studies; uncertainty is captured in imprecision.,Not downgraded for thoracic supportive question; do not generalize to all surgery/sham efficacy.,Very serious: k2 safeguarded intervals permit major benefit and harm.,No separate downgrade; sparse evidence cannot assess small-study effects.
nausea24_TEAS_sham,ASTRA FINAL GRADE RECOMMENDATION,Very low,"Serious: incomplete exact outcome-specific assessments, subjective nausea ascertainment and variable masking.",Serious: clinically heterogeneous surgeries and background prophylaxis; effect-size variation matters to absolute benefit.,No additional downgrade for specific symptom construct.,Serious: intervals cross no effect and permit materially different clinical effects; event evidence is less decisive than composite PONV.,No separate downgrade; missing-result bias cannot be excluded.
vomiting24_TEAS_sham,ASTRA FINAL GRADE RECOMMENDATION,Very low,"Serious: incomplete exact outcome-specific assessments, subjective nausea ascertainment and variable masking.",Serious: clinically heterogeneous surgeries and background prophylaxis; effect-size variation matters to absolute benefit.,No additional downgrade for specific symptom construct.,Serious: intervals cross no effect and permit materially different clinical effects; event evidence is less decisive than composite PONV.,No separate downgrade; missing-result bias cannot be excluded.
persistent_nausea24_TEAS_sham,ASTRA FINAL GRADE RECOMMENDATION,Low,Serious: exact persistent-nausea RoB assessment not established and subjective duration reporting can be affected by masking.,Not assessable in one trial.,Not downgraded for persistent-nausea question; not a substitute for any nausea.,Serious: relatively few persistent-nausea events and broad effect interval despite large trial N.,No additional downgrade; report availability limits publication-bias assessment.
