model_id,role,construct,modality,comparator,measure,unit,k,N,studies,result_ids,status,effect,ci_low,ci_high,tau2,I2,pi_low,pi_high,rob2_linked_results,grade,note
opioid24_TEAS_sham,PRINCIPAL,systemic_opioid_0_24h,TEAS,sham,MD,mg IVMME,1,48,Szmit 2021,V33-OD-0350,SINGLE STUDY — NOT POOLED,-7.700,-10.623,-4.777,0.0000,,,,1/1,Low,Source construct/window/contrast reviewed; direct data admitted.
opioid24_EA_sham,PRINCIPAL,systemic_opioid_0_24h,EA,sham,MD,mg IVMME,0,0,,,NO ELIGIBLE QUANTITATIVE DATA,,,,,,,,0/0,Not rated — insufficient evidence,Source construct/window/contrast reviewed; direct data admitted.
opioid24_TEAS_usual,SUPPORTIVE,systemic_opioid_0_24h,TEAS,usual_care,MD,mg IVMME,1,47,Szmit 2021,V33-OD-0351,SINGLE STUDY — NOT POOLED,-8.000,-10.920,-5.080,0.0000,,,,0/1,Very low,Source construct/window/contrast reviewed; direct data admitted.
opioid24_EA_usual,SUPPORTIVE,systemic_opioid_0_24h,EA,usual_care,MD,mg IVMME,2,159,El-Rakshy 2009;Seevaunnamtum 2016,V33-OD-0252;V33-OD-0003,REML + safeguarded Hartung–Knapp,-6.832,-76.391,62.727,43.5151,72.5,,,2/2,Very low,El-Rakshy outcome Table2 retained with High RoB/source caveat; Seeva includes rescue.
opioid24_EA_usual_without_ElRakshy,SENSITIVITY,systemic_opioid_0_24h,EA,usual_care,MD,mg IVMME,1,64,Seevaunnamtum 2016,V33-OD-0003,SINGLE STUDY — NOT POOLED,-12.560,-21.162,-3.958,0.0000,,,,1/1,NOT GRADED (sensitivity diagnostic),Source construct/window/contrast reviewed; direct data admitted.
opioid24_TEAS_sham_expanded_suf0.25,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,TEAS,sham,MD,assumed mg IVMME,4,337,Chen 1998;He 2026 (hepatectomy/JIS);Szmit 2021;Chen 2020,V33-OD-0013;V33-OD-0214;V33-OD-0350;V33-OD-0014,REML + safeguarded Hartung–Knapp,-7.356,-18.972,4.260,35.6948,98.1,,,4/4,NOT GRADED (sensitivity diagnostic),Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.
opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,TEAS,sham,MD,assumed mg IVMME,3,257,Chen 1998;He 2026 (hepatectomy/JIS);Szmit 2021,V33-OD-0013;V33-OD-0214;V33-OD-0350,REML + safeguarded Hartung–Knapp,-8.409,-32.665,15.847,76.4031,96.9,,,3/3,NOT GRADED (sensitivity diagnostic),Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.
opioid24_TEAS_sham_expanded_suf0.5,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,TEAS,sham,MD,assumed mg IVMME,4,337,Chen 1998;He 2026 (hepatectomy/JIS);Szmit 2021;Chen 2020,V33-OD-0013;V33-OD-0214;V33-OD-0350;V33-OD-0014,REML + safeguarded Hartung–Knapp,-9.764,-22.946,3.419,57.6388,97.9,,,4/4,NOT GRADED (sensitivity diagnostic),Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.
opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,TEAS,sham,MD,assumed mg IVMME,3,257,Chen 1998;He 2026 (hepatectomy/JIS);Szmit 2021,V33-OD-0013;V33-OD-0214;V33-OD-0350,REML + safeguarded Hartung–Knapp,-8.409,-32.665,15.847,76.4031,96.9,,,3/3,NOT GRADED (sensitivity diagnostic),Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.
opioid24_TEAS_sham_expanded_suf1,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,TEAS,sham,MD,assumed mg IVMME,4,337,Chen 1998;He 2026 (hepatectomy/JIS);Szmit 2021;Chen 2020,V33-OD-0013;V33-OD-0214;V33-OD-0350;V33-OD-0014,REML + safeguarded Hartung–Knapp,-13.995,-34.519,6.528,156.8823,98.6,,,4/4,NOT GRADED (sensitivity diagnostic),Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.
opioid24_TEAS_sham_expanded_suf1_without_Chen2020,SENSITIVITY,device_or_equivalence_uncertain_opioid_0_24h,TEAS,sham,MD,assumed mg IVMME,3,257,Chen 1998;He 2026 (hepatectomy/JIS);Szmit 2021,V33-OD-0013;V33-OD-0214;V33-OD-0350,REML + safeguarded Hartung–Knapp,-8.409,-32.665,15.847,76.4031,96.9,,,3/3,NOT GRADED (sensitivity diagnostic),Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.
opioid24_EA_usual_expanded,SENSITIVITY,device_or_systemic_opioid_0_24h,EA,usual_care,MD,mg IVMME,3,339,El-Rakshy 2009;Seevaunnamtum 2016;Yang 2024,V33-OD-0252;V33-OD-0003;V33-OD-0052,REML + safeguarded Hartung–Knapp,-3.936,-19.773,11.902,28.4713,77.2,,,3/3,NOT GRADED (sensitivity diagnostic),Source construct/window/contrast reviewed; direct data admitted.
opioid_partial_EA_sham,SENSITIVITY,PCA_partial_1_to_24h,EA,sham,MD,mg IV morphine,1,75,Lin 2002,V33-OD-0006;V33-OD-0007,SINGLE STUDY — NOT POOLED,-11.800,-18.524,-5.076,0.0000,,,,2/2,NOT GRADED (sensitivity diagnostic),Source construct/window/contrast reviewed; direct data admitted.
opioid_partial_EA_usual,SENSITIVITY,PCA_partial_1_to_24h,EA,usual_care,MD,mg IV morphine,1,75,Lin 2002,V33-OD-0004;V33-OD-0005,SINGLE STUDY — NOT POOLED,-19.700,-26.958,-12.442,0.0000,,,,0/2,NOT GRADED (sensitivity diagnostic),Source construct/window/contrast reviewed; direct data admitted.
opioid_partial_TEAS_sham,SENSITIVITY,PCA_partial_1_to_24h,TEAS,sham,MD,mg IV morphine,1,34,Lee 2011,V33-OD-0184;V33-OD-0185,SINGLE STUDY — NOT POOLED,-3.901,-8.927,1.125,0.0000,,,,2/2,NOT GRADED (sensitivity diagnostic),Lee Table8 excludes recovery-room doses; combine low/high arms; sham interval sum differs fromTable8.
opioid24_EA_sham_weight_normalized,SENSITIVITY,PCA_morphine_0_24h_weight_normalized,EA,sham,MD,mg/kg IV morphine,1,90,Sim 2002,V33-OD-0107;V33-OD-0108,SINGLE STUDY — NOT POOLED,-0.130,-0.278,0.018,0.0000,,,,1/2,NOT GRADED (sensitivity diagnostic),Source construct/window/contrast reviewed; direct data admitted.
opioid24_EA_sham_fentanyl_per_kg,SENSITIVITY,fentanyl_0_24h_weight_normalized,EA,sham,MD,µg/kg fentanyl,1,22,Coura 2011,V33-OD-0016,SINGLE STUDY — NOT POOLED,-3.200,-4.788,-1.612,0.0000,,,,1/1,NOT GRADED (sensitivity diagnostic),Source construct/window/contrast reviewed; direct data admitted.
ponv24_TEAS_sham,ADDITIONAL,composite_PONV_0_24h,TEAS,sham,RR,risk ratio,10,3447,Zhou 2025;Zheng 2025;Lu 2021;Liu 2026 (burn);Jiang 2026;He 2026 (hepatectomy/JIS);Chen 2015;Chen 2015 (Hyperalgesia);Gao 2022;Yu 2020,V33-OD-0027;V33-OD-0033;V33-OD-0130;V33-OD-0131;V33-OD-0168;V33-OD-0195;V33-OD-0215;V33-OD-0257;V33-OD-0261;V33-OD-0276;AUDIT-0359,REML + safeguarded Hartung–Knapp,0.640,0.517,0.793,0.0342,47.5,-0.916,0.024,4/11,Low,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.
