study,outcome,timepoint,source_location_A,value_A,source_location_B,value_B,current_structured_choice,reason_for_choice,analysis_status,requires_author_contact,notes
Liang 2021,CRBD,48 h,Abstract,4/35 vs 7/35,Table 2,4/35 vs 19/35,4/35 vs 19/35,Retain v33 table hierarchy; do not erase abstract conflict,HOLD,Yes,
Liang 2021,Randomized arm counts,Allocation,v33 CRBD rows,38/37,Source Figure 2,37/38,37/38,Correct to CONSORT; analyzed 35/35 unchanged,METADATA_CORRECTED,No,
Liang 2021,Extra analgesia requirement,Unclear,Table 4,3.8 (1.9) vs 5.0 (2.9),Endpoint definition,"Drug, unit, measurement, denominator and window undefined",Raw values only,Do not treat as dose/count,HOLD,Yes,
Liang 2021,PONV definition,End of surgery/PACU/24h/48h,Table 4,Row labelled PONV; printed event counts retained,Methods,Nausea verbal scale described; composite event definition unclear,Source label and counts retained; quantitative HOLD,Clarify whether these represent nausea or composite PONV; no silent relabelling,HOLD,Yes,
Yu 2020,Resting VAS dispersion,POD1,Table 2,3.70±1.53 vs 4.73±1.53,Abstract,TEAS 3.70±1.41,3.70±1.53 vs 4.73±1.53,Table hierarchy retained; no SD substitution,HOLD,Yes,
Yu 2020,Resting VAS dispersion,POD2,Table 2,1.83±0.98 vs 2.30±0.95,Abstract,TEAS 1.83±0.88,1.83±0.98 vs 2.30±0.95,Table hierarchy retained; no SD substitution,HOLD,Yes,
Yu 2020,Pain significance,POD2,Results prose,P=0.26,Table 2 / abstract,*P<0.05 / significant,Both P versions,P is not repaired by assumption,HOLD,Yes,
Yu 2020,MMSE direction,POD1/POD2,Table 3,TEAS numerically higher,Results prose,TEAS lower,Table values,Direction conflict preserved,SOURCE_NOTE / NUMERIC_CANDIDATE,Yes,
Lu 2021,Rest NRS,24 h,Table 3,P=0.94,Results prose,P=0.12,Table values; both P versions,P conflict does not change extracted group values,P_CONFLICT_RETAINED,Yes,
Lu 2021,Cough NRS,24 h,Table 3,P=0.89,Results prose,P=0.49,Table values; both P versions,P conflict does not change extracted group values,P_CONFLICT_RETAINED,Yes,
Lu 2021,Rescue parecoxib,24 h,Table 3,P=0.35,Results prose,P=0.58,Table values; both P versions,P conflict does not change extracted group values,P_CONFLICT_RETAINED,Yes,
Lu 2022,QoR-15,24 h,Table 3,"Median 54.5 (range 15–92) vs 59 (27–136), P=0.01",Results prose,"Median 50.5 (IQR 42.3–61.8) vs 44.5 (35–57), P=0.04",Table 3,"Preserve conflicting statistic, magnitude and direction; no averaging",HOLD,Yes,
Long 2025,VAS,24 h,Table 7,EA 2.78±0.97,Abstract,EA 2.65±0.94,Table 7,"Table hierarchy retained, material numeric conflict",HOLD,Yes,
Long 2025,PND denominator,POD1/POD3/POD7,Study flow,EA 27 / C 26,Table 2 count/percentage pairs,Imply EA 28 / C 25; POD7 1 (3.6%) vs 2 (8.0%),Printed events; no assumed result denominator,No denominator reconstruction,HOLD,Yes,
Zheng 2025,Pain significance,24 h,Results prose,P=0.042,Table 4 footnote,P=0.422,Both versions,Numerical means/SD unchanged; no invented P correction,P_CONFLICT_RETAINED,Yes,
Gu 2019,PCIA quantity,24 h,v33 label,Exact cumulative sufentanil,Figure 4,Graph-only multimodal PCIA solution volume,Graph-only mL solution,Reclassify; no pure opioid mass,CORRECTED / GRAPH_ONLY,No,
Gu 2019,Satisfaction,Postoperative,Prose,Composite 67.3% vs 42.4%,Table 4,"Category counts: 32/9, 19/32, 7/16, 0/2",Four printed category contrasts,Do not reconstruct prose composite,CATEGORY_DATA_ONLY,Yes,
Zhu 2022,Randomized allocation,Baseline,Abstract,Pre103 / 30min104 / Comb103 / Usual103,CONSORT Figure 1,Pre103 / 30min103 / Comb103 / Usual104,CONSORT,Prespecified source flow hierarchy,METADATA_CORRECTED,Yes,
Zhu 2022,Movement NRS,6–24 h,Methods,Movement pain at 24 h,Table 3,Pain at 6–24 h,6–24 h interval,Do not promote interval to exact clock point,INTERVAL_ONLY,Yes,
Zhu 2022,QoR-15,AMBIGUOUS,Table 3,Printed QoR-15 means/SD,Assessment label,Time not explicitly identified,AMBIGUOUS,No assumed 24-h window,HOLD,Yes,
Jiang 2026,NRS,AMBIGUOUS,Table 4,3 (2–3) vs 3 (2–3.5),Methods,"6,24,48 h planned; result not linked",AMBIGUOUS,No assumed 24-h window,HOLD,Yes,
Jiang 2026,Printed effect direction/CI,Defecation/cost,Table 4 / Results,Raw estimates and CI retained in V34_Audit_Dispositions,Arm summaries,Effect direction/CI formatting inconsistent,Group summaries unchanged; no corrected effect asserted,Use native data only if compatible; preserve printed effect,SOURCE_NOTE,Yes,
Tu 2024,Vomiting P,2–6 h,Table 3 / abstract,0.047,Results prose,0.47,0.047,Table hierarchy; preserve both,P_CONFLICT_RETAINED,Yes,
Tu 2024,Rescue tramadol window,6–24 h,v33 Outcome_Data,Within 24 h,Audit Reconciliation_Status / Table 4,6–24 h,6–24 h,Exclude from cumulative 0–24 h rescue set,CORRECTED,No,
Pan 2023,Participant flow,Trial flow,Methods,120 women,Abstract / Results,"105 final cohort, 52/53",Analyzed 52/53; no inferred randomized allocation,Source flow inconsistency,METADATA_HOLD,Yes,
Pan 2023,Mobile/PACU NRS statistic,1h/24h/PACU,Tables 6–7,"Parenthetical numbers, e.g. 2 (1.4) vs 3 (2.4)",Statistic definition,Parenthetical statistic undefined,Raw values only,No SD/IQR assumption,HOLD,Yes,
Huang 2025,QoR-40 direction,Discharge,Table 4,Median 196 vs 192,Results prose,Lower with EA,Table medians,No conversion; direction conflict retained,NARRATIVE_ONLY,Yes,
