assessment_id,result_id,study,question_id,short_question,answer,justification,domain_judgment
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,1.1,Random sequence?,Y,Computer-generated sequence; sequentially numbered opaque sealed envelopes. No baseline pattern suggesting randomization failure was identified.,Low
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,1.2,Concealed allocation?,Y,Computer-generated sequence; sequentially numbered opaque sealed envelopes. No baseline pattern suggesting randomization failure was identified.,Low
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,1.3,Baseline pattern suggests randomization failure?,PN,Computer-generated sequence; sequentially numbered opaque sealed envelopes. No baseline pattern suggesting randomization failure was identified.,Low
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,2.1,Participant aware?,PY,Standardized anesthesia/rescue care and masked clinical staff; sensory stimulation before anesthesia could reveal assignment. Three protocol-breach exclusions make assignment-effect analysis uncertain; their details are unavailable. Material trial-context deviations are not established.,Some concerns
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,2.2,Care personnel aware?,PN,Standardized anesthesia/rescue care and masked clinical staff; sensory stimulation before anesthesia could reveal assignment. Three protocol-breach exclusions make assignment-effect analysis uncertain; their details are unavailable. Material trial-context deviations are not established.,Some concerns
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,2.3,Trial-context deviations?,NI,Standardized anesthesia/rescue care and masked clinical staff; sensory stimulation before anesthesia could reveal assignment. Three protocol-breach exclusions make assignment-effect analysis uncertain; their details are unavailable. Material trial-context deviations are not established.,Some concerns
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,2.4,Deviations affect outcome?,NI,Standardized anesthesia/rescue care and masked clinical staff; sensory stimulation before anesthesia could reveal assignment. Three protocol-breach exclusions make assignment-effect analysis uncertain; their details are unavailable. Material trial-context deviations are not established.,Some concerns
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,2.5,Deviations balanced?,NI,Standardized anesthesia/rescue care and masked clinical staff; sensory stimulation before anesthesia could reveal assignment. Three protocol-breach exclusions make assignment-effect analysis uncertain; their details are unavailable. Material trial-context deviations are not established.,Some concerns
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,2.6,Assignment-effect analysis appropriate?,PN,Standardized anesthesia/rescue care and masked clinical staff; sensory stimulation before anesthesia could reveal assignment. Three protocol-breach exclusions make assignment-effect analysis uncertain; their details are unavailable. Material trial-context deviations are not established.,Some concerns
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,2.7,Analysis departure materially consequential?,NI,Standardized anesthesia/rescue care and masked clinical staff; sensory stimulation before anesthesia could reveal assignment. Three protocol-breach exclusions make assignment-effect analysis uncertain; their details are unavailable. Material trial-context deviations are not established.,Some concerns
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,3.1,All or nearly all outcome data?,PN,"35/37 TEAS and 36/37 control analyzed. Reasons are only protocol breach, without outcome data or a robustness analysis; outcome-related missingness cannot be excluded.",Some concerns
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,3.2,Evidence missingness does not bias result?,NI,"35/37 TEAS and 36/37 control analyzed. Reasons are only protocol breach, without outcome data or a robustness analysis; outcome-related missingness cannot be excluded.",Some concerns
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,3.3,Missingness could depend on outcome?,PY,"35/37 TEAS and 36/37 control analyzed. Reasons are only protocol breach, without outcome data or a robustness analysis; outcome-related missingness cannot be excluded.",Some concerns
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,3.4,Such dependence likely?,NI,"35/37 TEAS and 36/37 control analyzed. Reasons are only protocol breach, without outcome data or a robustness analysis; outcome-related missingness cannot be excluded.",Some concerns
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,4.1,Measurement method inappropriate?,N,Global QoR-40 is self-reported. Current producing muscle twitching versus no current may reveal assignment despite the masking claim and midazolam premedication. No masking-success test establishes whether awareness influenced reporting.,Some concerns
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,4.2,Measurement differs between arms?,PN,Global QoR-40 is self-reported. Current producing muscle twitching versus no current may reveal assignment despite the masking claim and midazolam premedication. No masking-success test establishes whether awareness influenced reporting.,Some concerns
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,4.3,Outcome assessor aware?,PY,Global QoR-40 is self-reported. Current producing muscle twitching versus no current may reveal assignment despite the masking claim and midazolam premedication. No masking-success test establishes whether awareness influenced reporting.,Some concerns
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,4.4,Awareness could influence measurement?,Y,Global QoR-40 is self-reported. Current producing muscle twitching versus no current may reveal assignment despite the masking claim and midazolam premedication. No masking-success test establishes whether awareness influenced reporting.,Some concerns
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,4.5,Influence likely?,NI,Global QoR-40 is self-reported. Current producing muscle twitching versus no current may reveal assignment despite the masking claim and midazolam premedication. No masking-success test establishes whether awareness influenced reporting.,Some concerns
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,5.1,Prospective analysis plan verified?,NI,"The publication identifies 24-hour global QoR-40 as primary, but a prospective exact-result analysis plan was not independently verified. No direct evidence of selection among measurements or analyses was found.",Some concerns
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,5.2,Result selected from multiple measurements?,PN,"The publication identifies 24-hour global QoR-40 as primary, but a prospective exact-result analysis plan was not independently verified. No direct evidence of selection among measurements or analyses was found.",Some concerns
QOR24-V33-OD-0008,V33-OD-0008,Yao 2015,5.3,Result selected from multiple analyses?,PN,"The publication identifies 24-hour global QoR-40 as primary, but a prospective exact-result analysis plan was not independently verified. No direct evidence of selection among measurements or analyses was found.",Some concerns
QOR24-V33-OD-0009,V33-OD-0009,Yu 2020,1.1,Random sequence?,Y,Computer sequence and nurse-mediated assignment are reported; a tamper-resistant concealment mechanism is not described.,Some concerns
QOR24-V33-OD-0009,V33-OD-0009,Yu 2020,1.2,Concealed allocation?,NI,Computer sequence and nurse-mediated assignment are reported; a tamper-resistant concealment mechanism is not described.,Some concerns
QOR24-V33-OD-0009,V33-OD-0009,Yu 2020,1.3,Baseline pattern suggests randomization failure?,PN,Computer sequence and nurse-mediated assignment are reported; a tamper-resistant concealment mechanism is not described.,Some concerns
