screening_sequence,covidence_number,title,first_author,publication_year,language,abstract_available_yes_no,decision_yes_maybe_no,primary_reason_code,concise_evidence_from_title_or_abstract,concise_private_rationale,confidence_high_medium_low,protocol_or_results,cointerventions_balanced_yes_no_unclear,intervention_effect_separable_yes_no_unclear,translation_required_yes_no,possible_companion_report_yes_no,timestamp,interface_issue,notes
1,69,"Transcutaneous Electrical Acupoint Stimulation Reduces Postoperative Abdominal Pain after Endoscopic Submucosal Dissection: A Single-Center, Prospective, and Randomized Controlled Trial.",Liu,2025,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,Randomized TEAS versus sham during endoscopic submucosal dissection; anesthesia type is not stated.,"Eligible intervention, timing, comparator and outcomes are present, but general anaesthesia requires full-text confirmation.",medium,results,yes,yes,no,no,2026-07-23T10:51:57.761Z,,ChiCTR2100052837
2,70,Opposing needling in the treatment of knee osteoarthritis: an improved study protocol for a randomized controlled trial.,Li,2025,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,Title says study protocol and abstract uses future-tense enrollment and outcomes.,Protocol without participant outcome results.,high,protocol,unclear,unclear,no,no,2026-07-23T10:51:57.761Z,,ITMCTR2025001291
3,71,"Effects of Transcutaneous Electrical Acupoint Stimulation on Postoperative Acute Visceral, Incisional, and Low Back Pain and Recovery in Patients Undergoing Laparoscopic Hysterectomy: A Randomized Controlled Trial.",Zhang,2025,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,Randomized TEAS versus sham from before anesthesia induction through laparoscopic hysterectomy; anesthesia type is not stated.,"All other elements appear eligible, but general anaesthesia is not explicit.",medium,results,yes,yes,no,no,2026-07-23T10:51:57.761Z,,
4,72,"Effects of Transcutaneous Electrical Acupoint Stimulation on Recovery After Gynecological Laparoscopic Surgery: A Randomized, Single-Blind, Controlled Trial.",Zheng,2025,English,yes,Yes,INCLUDE_CLEAR,Randomized sham-controlled TEAS began before induction during gynecologic laparoscopy under general anesthesia and reported clinical recovery outcomes.,Clearly eligible TEAS randomized trial.,high,results,yes,yes,no,no,2026-07-23T10:51:57.761Z,,
5,73,"Efficacy of preoperative electroacupuncture for ureteral access sheath placement during first-stage flexible ureteroscopy in urolithiasis: a multicenter, randomized, single-blind, sham-controlled trial protocol.",Wang,2025,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,Title identifies a multicenter randomized trial protocol and abstract reports planned enrollment.,Protocol without participant outcome results.,high,protocol,yes,yes,no,no,2026-07-23T10:51:57.761Z,,ITMCTR2025001039
6,75,Effects of electroacupuncture on the incidence of postoperative supraventricular arrhythmia and sleep quality in patients undergoing thoracoscopic surgery: a randomized controlled trial.,Liu,2025,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,Randomized perioperative EA in adult thoracoscopic lung surgery with clinical results; anesthesia type is not stated.,"The trial otherwise appears eligible, but general anaesthesia needs confirmation.",medium,results,unclear,yes,no,no,2026-07-23T10:51:57.761Z,,ChiCTR2300077984
7,77,"A commentary on ""Transcutaneous electrical acupoint stimulation accelerates gastrointestinal function recovery after abdominal surgery: a systemic review and meta-analysis of randomized controlled trials"".",Liu,2025,English,no,No,EXCLUDE_PUBLICATION_TYPE,Title explicitly identifies a commentary; no abstract is available.,Commentary without original trial results.,high,other,unclear,unclear,no,no,2026-07-23T10:51:57.761Z,,
8,78,Effectiveness of transcutaneous electrical acupoint stimulation combined with press needle therapy for pain control after caesarean section: A randomized controlled trial.,Qin,2025,English,yes,No,EXCLUDE_NO_GENERAL_ANAESTHESIA,Caesarean sections were explicitly performed under combined spinal-epidural anesthesia.,The population did not receive general anaesthesia; the intervention also combined TEAS with press needles.,high,results,no,no,no,no,2026-07-23T10:51:57.761Z,,ChiCTR2400086645
9,79,The Effect of Transcutaneous Electrical Acupuncture Stimulation on Postoperative Pain Control and Mobility in Patients Undergoing Percutaneous Endoscopic Lumbar Discectomy: Study Protocol for a Prospective Randomized Trial.,Hu,2025,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,Title and abstract identify a prospective randomized study protocol with future enrollment.,Protocol without participant outcome results.,high,protocol,yes,yes,no,no,2026-07-23T10:51:57.761Z,,ITMCTR2025000779
10,80,Effect of electroacupuncture on postoperative gastrointestinal dysfunction in patients with perioperative oesophageal cancer: study protocol for a randomised controlled trial.,Pan,2025,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,Title says study protocol and abstract describes planned recruitment and future dissemination.,Protocol without participant outcome results.,high,protocol,yes,yes,no,no,2026-07-23T10:51:57.761Z,,ITMCTR2024000118
